"","site.name","year","slope","pvalue","LTER","n","sig","sig_slopes"
"1","ALBION",1982,-1.78879537219456,0.0141604713170125,"NWT",21,"sig",-1.78879537219456
"2","ALBION",1984,-0.40835098627037,0.385907464405319,"NWT",23,"not sig",NA
"3","ALBION",1985,-0.457233507051193,0.0832984398214916,"NWT",36,"sig",-0.457233507051193
"4","ALBION",1986,-0.360396499496617,0.373500484644788,"NWT",31,"not sig",NA
"5","ALBION",1987,-0.532944664094562,0.0043044722542895,"NWT",18,"sig",-0.532944664094562
"6","ALBION",1988,0.598297850365119,0.366287590147925,"NWT",14,"not sig",NA
"7","ALBION",1989,-0.926481678856129,0.0345916327647859,"NWT",17,"sig",-0.926481678856129
"8","ALBION",1990,-1.93737788626332,0.00884556888222283,"NWT",19,"sig",-1.93737788626332
"9","ALBION",1991,-0.52616672925448,0.581261449839772,"NWT",20,"not sig",NA
"10","ALBION",1992,-0.717722949720712,0.0692964969061373,"NWT",19,"sig",-0.717722949720712
"11","ALBION",1993,-0.00336483904156902,0.991417356389234,"NWT",32,"not sig",NA
"12","ALBION",1994,-0.0218722248773606,0.960637195968223,"NWT",38,"not sig",NA
"13","ALBION",1995,-0.00942780609760262,0.984679301477926,"NWT",31,"not sig",NA
"14","ALBION",1996,-0.194858420453337,0.593288079726711,"NWT",33,"not sig",NA
"15","ALBION",1997,-0.422432940248569,0.499361565514819,"NWT",31,"not sig",NA
"16","ALBION",1998,-1.07228500396025,0.116908386127636,"NWT",31,"not sig",NA
"17","ALBION",1999,0.571806624487332,0.518886491686172,"NWT",32,"not sig",NA
"18","ALBION",2000,0.100506862431594,0.908464286386254,"NWT",31,"not sig",NA
"19","ALBION",2001,0.970453417922301,0.211609815955853,"NWT",35,"not sig",NA
"20","ALBION",2002,0.0284282718401358,0.868686911791697,"NWT",33,"not sig",NA
"21","ALBION",2003,-1.09073396909741,0.0416574104047376,"NWT",29,"sig",-1.09073396909741
"22","ALBION",2004,0.356644407702889,0.51723170189158,"NWT",32,"not sig",NA
"23","ALBION",2005,0.0934438155151697,0.93365526562435,"NWT",32,"not sig",NA
"24","ALBION",2006,-1.6082464968275,0.161786306219577,"NWT",29,"not sig",NA
"25","ALBION",2007,-0.0956131520252165,0.823712988201957,"NWT",32,"not sig",NA
"26","ALBION",2008,-0.330426349185033,0.601148421397352,"NWT",21,"not sig",NA
"27","ALBION",2009,1.48843256163841,0.00063260309351737,"NWT",28,"sig",1.48843256163841
"28","ALBION",2010,0.709523064130725,0.157237910910431,"NWT",27,"not sig",NA
"29","ALBION",2011,-0.125270089677271,0.745991549917932,"NWT",25,"not sig",NA
"30","ALBION",2012,-0.367010608125736,0.0676828837108829,"NWT",29,"sig",-0.367010608125736
"31","ALBION",2013,-0.413201971515433,0.23225452848911,"NWT",22,"not sig",NA
"32","ALBION",2014,-0.0814333514653231,0.890602020648142,"NWT",23,"not sig",NA
"33","ALBION",2015,1.09244814296807,0.221407792097103,"NWT",20,"not sig",NA
"34","ALBION",2016,-1.12887171746782,0.084079055196144,"NWT",24,"sig",-1.12887171746782
"35","ALBION",2017,0.151844367596055,0.84132485738564,"NWT",22,"not sig",NA
"36","ALBION",2018,0.828894885251263,0.0217893714003411,"NWT",24,"sig",0.828894885251263
"37","Andersen Creek at H1",1995,-0.465617534417259,0.521187977222628,"MCM",3,"not sig",NA
"38","Andersen Creek at H1",1996,-4.35076939141098,0.189628860278828,"MCM",4,"not sig",NA
"39","Andersen Creek at H1",1998,-2.28778184304212,0.0278689285375112,"MCM",5,"sig",-2.28778184304212
"40","Andersen Creek at H1",1999,-1.01874408704168,0.104581908470824,"MCM",11,"not sig",NA
"41","Andersen Creek at H1",2004,-2.26757174071999,NA,"MCM",2,NA,NA
"42","Andersen Creek at H1",2006,0.209152683691563,0.662362848328943,"MCM",6,"not sig",NA
"43","Andersen Creek at H1",2007,-0.471504290144731,0.812908539084482,"MCM",3,"not sig",NA
"44","Andersen Creek at H1",2008,-2.38486131846456,0.0402095981811471,"MCM",7,"sig",-2.38486131846456
"45","Andersen Creek at H1",2010,-2.20611663542337,0.00659647152612104,"MCM",7,"sig",-2.20611663542337
"46","Andersen Creek at H1",2012,-0.660226690093731,0.239478951233942,"MCM",7,"not sig",NA
"47","Andersen Creek at H1",2013,-1.3547979343016,0.0393192758376543,"MCM",4,"sig",-1.3547979343016
"48","Andersen Creek at H1",2014,-6.32054034796659,0.285093878974124,"MCM",3,"not sig",NA
