"Date","remarks","Si"
1998-05-12,"",1.679
1998-05-18,"",1.816
1998-05-26,"",1.804
1998-06-09,"",2.257
1998-06-23,"",2.503
1998-07-07,"",2.616
1998-07-21,"",4.299
1998-08-04,"",5.26
1998-08-18,"",6.275
1998-08-24,"",6.833
1998-09-01,"",6.847
1998-09-15,"",7.597
1998-09-29,"",6.06299999999999
1998-10-13,"",6.15999999999999
1998-10-27,"",6.65900000000001
1998-11-09,"",6.23700000000001
1998-11-24,"",6.09899999999999
1998-12-08,"",6.361
1998-12-22,"",6.11500000000001
1999-01-05,"",5.94199999999999
1999-01-19,"",6.18799999999999
1999-01-25,"",5.535
1999-02-02,"",5.335
1999-02-16,"",5.05400000000001
1999-03-02,"",4.97500000000001
1999-03-16,"",4.353
1999-03-30,"",3.61000000000001
1999-04-13,"",0.392999999999999
1999-04-19,"",0.792000000000001
1999-04-27,"",0.620999999999999
1999-05-11,"",1.076
1999-05-25,"",0.848
1999-06-08,"",1.002
1999-06-22,"",1.29
1999-07-06,"",5.02999999999999
1999-07-20,"",4.313
1999-08-03,"",8.01300000000001
1999-08-17,"",8.36099999999999
1999-08-31,"",4.64700000000001
1999-09-16,"",4.95000000000001
1999-09-28,"",5.31199999999999
1999-10-12,"",4.87999999999999
1999-10-18,"",4.72999999999999
1999-10-26,"",3.334
1999-11-09,"",3.65099999999999
1999-11-23,"",4.41100000000001
1999-12-07,"",3.874
1999-12-21,"",3.61499999999999
2000-01-04,"",2.242
2000-01-18,"",1.421
2000-01-24,"",1.435
2000-02-01,"",1.186
2000-02-15,"",0.881000000000001
2000-02-29,"",0.784
2000-03-14,"",1.205
2000-03-28,"",1.489
2000-04-11,"",1.216
2000-04-17,"",1.259
2000-04-24,"",1.119
2000-05-09,"",1.395
2000-05-23,"",1.154
2000-06-06,"",0.951000000000001
2000-06-20,"",1.05
2000-07-05,"",0.711999999999998
2000-07-18,"",0.759999999999999
2000-07-25,"",1.001
2000-08-01,"",1.904
2000-08-15,"",3.763
2000-08-29,"",5.51500000000001
2000-09-12,"",6.35100000000001
2000-09-26,"",8.58100000000001
2000-10-10,"",8.597
2000-10-16,"",9.366
2000-10-24,"",9.49200000000001
2000-11-07,"",10.026
2000-11-21,"",10.343
2000-12-05,"",9.23599999999999
2000-12-19,"",9.75000000000001
2001-01-02,"",9.58599999999999
2001-01-16,"",9.108
2001-01-22,"",9.53
2001-01-30,"",9.22100000000001
2001-02-13,"",8.88599999999999
2001-02-27,"",8.14900000000001
2001-03-13,"",8.247
2001-03-27,"",8.319
2001-04-10,"",7.769
2001-04-16,"",7.76699999999999
2001-04-24,"",8.41300000000001
2001-05-08,"",7.08899999999999
2001-05-22,"",1.395
2001-06-05,"",1.19
2001-06-19,"",0.062
2001-07-16,"",4.27500000000001
2001-07-17,"",5.035
2001-07-31,"",8.072
2001-08-14,"",7.569
2001-08-28,"",6.71200000000001
2001-09-11,"",5.696
2001-09-25,"",4.12
2001-10-08,"",3.46099999999999
2001-10-09,"",3.573
2001-11-06,"",4.32299999999999
2001-11-20,"",3.74699999999999
2001-12-04,"",3.449
2001-12-18,"",3.109
2002-01-02,"",3.22199999999999
2002-01-15,"",2.604
2002-01-29,"",2.681
2002-02-12,"",2.754
2002-02-26,"",2.024
2002-03-12,"",1.54
2002-03-18,"",1.834
2002-03-26,"",1.77
2002-04-09,"",1.197
2002-04-23,"",0.708000000000001
2002-05-07,"",0.844999999999999
2002-05-21,"",0.859
2002-06-04,"",0.706999999999999
2002-06-18,"",1.134
2002-06-24,"",1.729
2002-07-02,"",6.004
2002-07-16,"",4.82200000000001
2002-07-30,"",4.595
2002-08-13,"",3.891
2002-08-27,"",3.823
2002-09-10,"",3.867
2002-09-16,"",3.77999999999999
2002-09-24,"",3.52800000000001
2002-10-08,"",3.484
2002-10-22,"",3.455
2002-11-05,"",3.277
2002-11-19,"",3.43299999999999
2002-12-03,"",3.98600000000001
2002-12-17,"",2.826
2002-12-30,"",1.418
2002-12-31,"",1.253
2003-01-14,"",1.622
2003-01-28,"",1.376
2003-02-11,"",0.928
2003-02-25,"",1.211
2003-03-11,"",1.691
2003-03-24,"",2.624
2003-03-25,"",2.513
2003-04-08,"",1.006
2003-04-22,"",1.191
2003-05-06,"",1.67
2003-05-20,"",1.706
2003-06-03,"",1.568
2003-06-16,"",2.117
2003-06-17,"",2.168
2003-07-01,"",4.86899999999999
2003-07-15,"",4.42
2003-07-29,"",3.595
2003-08-12,"",4.55000000000001
2003-08-26,"",4.17999999999999
2003-09-09,"",4.16
2003-09-15,"",4.05000000000001
2003-09-23,"",4.76
2003-10-07,"",4.90000000000001
2003-10-21,"",4.37999999999999
2003-11-04,"",3.38
2003-11-18,"",2.84999999999999
2003-12-02,"",2.92
2003-12-15,"",1.82
2003-12-16,"",1.75
2003-12-30,"",2.23
2004-01-13,"",0.74
2004-01-27,"",0.71
2004-02-10,"",1.04
2004-02-24,"",0.969999999999998
2004-03-09,"",1.5
2004-03-15,"",1.36
2004-03-23,"",1.16
2004-04-06,"",1.3
2004-04-20,"",1.48
2004-05-04,"",1.6
2004-05-17,"",1.75
2004-05-18,"",1.76
2004-06-08,"",1.2
2004-06-22,"",0.869999999999999
2004-07-06,"",0.929999999999998
2004-07-20,"",1.99
2004-08-03,"",3.21000000000001
2004-08-17,"",4.33999999999999
2004-08-23,"",6.03000000000001
2004-09-14,"",4.55000000000001
2004-09-29,"",4.66
2004-10-12,"",5.11
2004-10-26,"",4.71
2004-11-09,"",4.16
2004-11-22,"",3.78999999999999
2004-12-07,"",3.55000000000001
2004-12-21,"",3.86
2005-01-04,"",3.82
2005-01-18,"",3.70000000000001
2005-02-01,"",3.68999999999999
2005-02-14,"",3.08
2005-02-15,"",3.07
2005-03-01,"",2.34
2005-03-15,"",2.18
2005-03-29,"",1.51
2005-04-12,"",0.859999999999999
2005-04-26,"",0.74
2005-05-10,"",1.85
2005-05-16,"",2.59
2005-05-24,"",2.11
2005-06-07,"",3.90000000000001
2005-06-21,"",4.92999999999999
2005-07-05,"",5.04000000000001
2005-07-19,"",4.35000000000001
2005-08-02,"",4.60000000000001
2005-08-22,"",4.30000000000001
2005-08-30,"",4.64000000000001
2005-09-12,"",4.20000000000001
2005-10-11,"",3.51000000000001
2005-11-08,"",1.49
2005-11-14,"",1.39
2005-11-16,"",1.41
2005-12-06,"",1.88
2005-12-20,"",1.32
2006-01-03,"",0.959999999999999
2006-01-17,"",0.71
2006-01-30,"",0.72
2006-02-13,"",2.22
2006-02-21,"",1.44
2006-02-28,"",1.17
2006-03-13,"",1.06
2006-03-28,"",1.11
2006-04-11,"",1.24
2006-04-24,"",1.33
2006-05-08,"",1.39
2006-05-22,"",1.53
2006-05-23,"",1.44
2006-06-06,"",1.38
2006-06-19,"",1.4
2006-07-18,"",2.3
2006-07-31,"",3.57
2006-08-14,"",4.21
2006-08-21,"",4.35000000000001
2006-08-31,"",4.96999999999999
2006-09-11,"",6.55999999999999
2006-09-25,"",7.30999999999999
2006-10-10,"",8.09999999999999
2006-10-24,"",8.84
2006-11-07,"",8.83
2006-11-21,"",8.88
2006-11-27,"",8.96000000000001
2006-12-05,"",9.67
2006-12-19,"",9.51000000000001
2007-01-02,"",9.43999999999999
2007-01-16,"",9.68999999999999
2007-01-30,"",9.85000000000001
2007-02-13,"",10.84
2007-02-26,"",10.96
2007-02-27,"",10.89
2007-03-13,"",10.65
2007-03-27,"",10.21
2007-04-10,"",10.1
2007-04-24,"",10.02
2007-05-08,"",9.31000000000001
2007-05-21,"",8.04
2007-05-22,"",8.39999999999999
2007-06-05,"",7.68000000000001
2007-06-19,"",5.98000000000001
2007-07-02,"",3.38
2007-07-17,"",2
2007-08-06,"",7.84
2007-08-20,"",8.17000000000001
2007-08-21,"",8.35999999999999
2007-09-04,"",6.85999999999999
2007-09-17,"",4.97999999999999
2007-10-01,"",5.54000000000001
2007-10-15,"",5.31999999999999
2007-10-29,"",6.44
2007-11-05,"",6.49
2007-11-20,"",5.46999999999999
2007-11-26,"",5.06
2007-12-03,"",4.52
2007-12-18,"",4.56
2008-01-17,"",2.64
2008-01-29,"",2.18
2008-02-04,"",1.88
2008-02-19,"",0.929999999999998
2008-02-20,"",0.919999999999999
2008-03-03,"",0.63
2008-04-07,"",1.82
2008-04-21,"",2.29
