"","site.name","LTER","year","slope","pvalue","n","sig","sig_slopes","mblm_slope","mblm_intercept","mblm_pvalue","mblm_sig","mblm_n"
"1","ALBION","NWT",1982,-1.78879537219456,0.0141604713170125,21,"sig",-1.78879537219456,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"2","ALBION","NWT",1985,-0.457233507051193,0.0832984398214916,36,"sig",-0.457233507051193,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"3","ALBION","NWT",1987,-0.532944664094562,0.0043044722542895,18,"sig",-0.532944664094562,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"4","ALBION","NWT",1989,-0.926481678856129,0.0345916327647859,17,"sig",-0.926481678856129,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"5","ALBION","NWT",1990,-1.93737788626332,0.00884556888222283,19,"sig",-1.93737788626332,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"6","ALBION","NWT",1992,-0.717722949720712,0.0692964969061373,19,"sig",-0.717722949720712,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"7","ALBION","NWT",2003,-1.09073396909741,0.0416574104047376,29,"sig",-1.09073396909741,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"8","ALBION","NWT",2009,1.48843256163841,0.000632603093517376,28,"sig",1.48843256163841,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"9","ALBION","NWT",2012,-0.367010608125736,0.0676828837108829,29,"sig",-0.367010608125736,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"10","ALBION","NWT",2016,-1.12887171746782,0.084079055196144,24,"sig",-1.12887171746782,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"11","ALBION","NWT",2018,0.828894885251263,0.0217893714003411,24,"sig",0.828894885251263,0.0209302231209699,-42.4786195275172,0.0830078125,"sig",11
"12","Andersen Creek at H1","MCM",1998,-2.28778184304212,0.0278689285375112,5,"sig",-2.28778184304212,0.0893723415205963,-181.844523091822,0.0975125381781096,"sig",4
"13","Andersen Creek at H1","MCM",2008,-2.38486131846456,0.0402095981811471,7,"sig",-2.38486131846456,0.0893723415205963,-181.844523091822,0.0975125381781096,"sig",4
"14","Andersen Creek at H1","MCM",2010,-2.20611663542337,0.00659647152612104,7,"sig",-2.20611663542337,0.0893723415205963,-181.844523091822,0.0975125381781096,"sig",4
"15","Andersen Creek at H1","MCM",2013,-1.3547979343016,0.0393192758376543,4,"sig",-1.3547979343016,0.0893723415205963,-181.844523091822,0.0975125381781096,"sig",4
"16","BK01.0M","UMR",2001,-1.4306333509841,0.0340942145516403,13,"sig",-1.4306333509841,0.332961154003393,-667.685902511774,0.34577858615116,"not sig",2
"17","BK01.0M","UMR",2002,-1.09767219698071,0.0755615067427437,9,"sig",-1.09767219698071,0.332961154003393,-667.685902511774,0.34577858615116,"not sig",2
"18","Canada Stream at F1","MCM",1994,-3.95464050310075,0.0573463873495723,3,"sig",-3.95464050310075,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"19","Canada Stream at F1","MCM",1996,-4.42355102207699,0.00574567841535016,6,"sig",-4.42355102207699,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"20","Canada Stream at F1","MCM",1997,-5.98513605447386,0.0422826516267108,4,"sig",-5.98513605447386,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"21","Canada Stream at F1","MCM",2000,-10.5007815173565,0.00782370723940017,8,"sig",-10.5007815173565,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"22","Canada Stream at F1","MCM",2001,-3.54685691827683,0.000542128421381444,8,"sig",-3.54685691827683,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
