"","site.name","mblm_slope","mblm_intercept","mblm_pvalue","LTER","mblm_sig"
"1","ALBION",0,0,0.0346105575157073,"NWT","sig"
"2","Andersen Creek at H1",NA,0,0.0346105575157073,"MCM","sig"
"3","BK01.0M",0,0,1,"UMR","not sig"
"4","Canada Stream at F1",0.0584921839311035,-120.589716964415,0.121275800667467,"MCM","not sig"
"5","CH00.1M",0,0,0.528612125255688,"UMR","not sig"
"6","CN00.1M",0,0,0.371093369522698,"UMR","not sig"
"7","CU11.6M",0,0,0.371093369522698,"UMR","not sig"
"8","Green Creek at F9",-0.102252386515928,202.77333066056,0.0209745371127849,"MCM","sig"
"9","GSMACK",0.0123352007286648,-32.4095625169884,0.936802864074707,"AND","not sig"
"10","GSWS02",0.0161568922781691,-50.032620699504,0.811475747192162,"AND","not sig"
"11","GSWS06",-0.353431020739106,676.677778379325,0.195632934570312,"AND","not sig"
"12","GSWS07",0.175271705574262,-362.835069026265,0.0130296083948115,"AND","sig"
"13","GSWS08",-0.0643165250550619,110.549350284937,0.052341313987192,"AND","not sig"
"14","GSWS09",-0.1331043831259,256.04993260445,1.91084109246731e-05,"AND","sig"
"15","GSWS10",-0.265528610078097,519.802700726867,7.65215663705023e-05,"AND","sig"
"16","I080.2M",0,0,0.371093369522698,"UMR","not sig"
"17","Imnavait Weir",0,0,1,"ARC","not sig"
"18","Kolyma",NA,0,1,NA,"not sig"
"19","Lawson Creek at B3",0,0,0.528612125255688,"MCM","not sig"
"20","Lena",NA,0,0.528612125255688,NA,"not sig"
"21","LM00.5M",0,0,1,"UMR","not sig"
"22","LMP73",0.0938026033217521,-188.261824866756,0.123534253752569,"LMP","not sig"
"23","M078.0B",0,0,1,"UMR","not sig"
"24","M241.4K",0,0,0.672603817441517,"UMR","not sig"
"25","M556.4A",0,0,1,"UMR","not sig"
"26","M701.1B",0,0,1,"UMR","not sig"
"27","M764.3A",0,0,1,"UMR","not sig"
"28","M786.2C",0,0,1,"UMR","not sig"
"29","Mackenzie",0,0,0.371093369522698,NA,"not sig"
"30","MARTINELLI",0,0,0.0519129649350183,"NWT","not sig"
"31","MPR",-0.0417420960880231,81.8589112922826,2.51829624176025e-06,"LUQ","sig"
"32","MQ02.1M",0,0,1,"UMR","not sig"
"33","Ob",NA,0,1,NA,"not sig"
"34","Onyx River at Lake Vanda Weir",NA,0,1,"MCM","not sig"
"35","Onyx River at Lower Wright Weir",NA,0,1,"MCM","not sig"
"36","Priscu Stream at B1",NA,0,1,"MCM","not sig"
"37","Q1",0.0553416697268131,-111.041742648048,0.00186234304753111,"LUQ","sig"
"38","Q2",0.0278623545525458,-56.4945994933229,0.00606603672941683,"LUQ","sig"
"39","Q3",0,0,0.00210524537077069,"LUQ","sig"
"40","QS",-0.0132124688619339,24.6840928491015,0.454044791404158,"LUQ","not sig"
"41","RI",-0.0249644331588956,49.1453712096835,0.199615882232063,"LUQ","not sig"
"42","S65",0,0,1,"KRR","not sig"
"43","S65A",0,0,0.672603817441517,"KRR","not sig"
"44","S65D",0,0,0.833634883024682,"KRR","not sig"
"45","S65E",0,0,0.672603817441517,"KRR","not sig"
"46","SADDLE STREAM 007",0,0,0.177529852412153,"NWT","not sig"
"47","Sagehen",NA,0,0.177529852412153,"Sagehen","not sig"
"48","SG16.2C",0,0,0.422678074170635,"UMR","not sig"
"49","Toolik Inlet",0,0,0.759765825978067,"ARC","not sig"
"50","TW Weir",0,0,0.583882420770365,"ARC","not sig"
"51","Von Guerard Stream at F6",NA,0,0.583882420770365,"MCM","not sig"
"52","WP02.6M",0,0,0.0775561667436655,"UMR","not sig"
"53","ws1",0,0,0.236136970221653,"HBR","not sig"
"54","ws2",-0.0696192817192183,131.601356126301,0.000299465014843835,"HBR","sig"
"55","ws3",0,0,0.349608102266898,"HBR","not sig"
"56","ws4",0,0,0.450778168678402,"HBR","not sig"
"57","ws5",0,0,0.00696708052199203,"HBR","sig"
"58","ws6",0.00847872343843613,-22.7561774492348,0.0100740409481426,"HBR","sig"
"59","ws7",-0.00730011344039513,10.4114683809743,0.866585628639051,"HBR","not sig"
"60","ws8",0,0,0.856382731694504,"HBR","not sig"
"61","ws9",0,0,0.414823067184775,"HBR","not sig"
"62","Yenisey",NA,0,0.414823067184775,NA,"not sig"
"63","Yukon",NA,0,0.414823067184775,NA,"not sig"
