"","site.name","Date","Q","LTER","remarks","Si"
"1","ALBION",1982-02-11,4063.252,"NWT",NA,2.3367136
"2","ALBION",1982-04-08,3774.516,"NWT",NA,0.981419712
"3","ALBION",1982-04-22,3702.332,"NWT",NA,1.495496704
"4","ALBION",1982-05-06,3630.148,"NWT",NA,1.51886384
"5","ALBION",1982-05-20,3557.964,"NWT",NA,1.542230976
"6","ALBION",1982-05-27,3521.872,"NWT",NA,1.86937088
"7","ALBION",1982-06-03,3485.78,"NWT",NA,1.588965248
"8","ALBION",1982-06-08,3460,"NWT",NA,1.542230976
"9","ALBION",1982-06-16,39533,"NWT",NA,1.495496704
"10","ALBION",1982-06-24,61751,"NWT",NA,1.0889029205
"11","ALBION",1982-07-01,122995,"NWT",NA,0.981419712
"12","ALBION",1982-07-08,73072,"NWT",NA,1.046858927
"13","ALBION",1982-07-15,61349,"NWT",NA,0.7571008235
"14","ALBION",1982-07-29,51846,"NWT",NA,0.560811264
"15","ALBION",1982-08-12,40020,"NWT",NA,0.560811264
"16","ALBION",1982-08-26,36033,"NWT",NA,0.5841784
"17","ALBION",1982-09-17,11097,"NWT",NA,0.654279808
"18","ALBION",1982-10-01,10375,"NWT",NA,0.747748352
"19","ALBION",1982-10-15,2099.34090909091,"NWT",NA,0.93468544
"20","ALBION",1982-11-19,2348.31818181818,"NWT",NA,1.028153984
"21","ALBION",1982-12-16,2540.38636363636,"NWT",NA,1.1683568
"22","ALBION",1984-05-23,36811,"NWT",NA,1.430057489
"23","ALBION",1984-05-31,55476,"NWT",NA,1.1122700565
"24","ALBION",1984-06-07,21676,"NWT",NA,1.448762432
"25","ALBION",1984-06-14,78485,"NWT",NA,1.359956081
"26","ALBION",1984-06-21,84616,"NWT",NA,1.233796015
"27","ALBION",1984-06-28,84887,"NWT",NA,0.9019658325
"28","ALBION",1984-07-05,76588,"NWT",NA,0.9440379115
"29","ALBION",1984-07-12,58896,"NWT",NA,0.7851301525
"30","ALBION",1984-07-19,44540,"NWT",NA,0.35050704
"31","ALBION",1984-07-26,66208,"NWT",NA,0.252376303
"32","ALBION",1984-08-02,47150,"NWT",NA,0.303772768
"33","ALBION",1984-08-09,31340,"NWT",NA,0.2243188885
"34","ALBION",1984-08-17,31414,"NWT",NA,0.3832266475
"35","ALBION",1984-08-23,16586,"NWT",NA,0.509414799
"36","ALBION",1984-08-30,5916,"NWT",NA,1.215091072
"37","ALBION",1984-09-07,27064,"NWT",NA,1.3693085525
"38","ALBION",1984-09-14,4325,"NWT",NA,0.775777681
"39","ALBION",1984-09-21,3428,"NWT",NA,1.261825344
"40","ALBION",1984-09-28,3318,"NWT",NA,1.215091072
"41","ALBION",1984-10-05,3697.53917050691,"NWT",NA,0.752410545
"42","ALBION",1984-11-09,3821.41013824885,"NWT",NA,0.887951168
"43","ALBION",1984-11-30,3895.73271889401,"NWT",NA,0.911318304
"44","ALBION",1984-12-31,4005.4470046083,"NWT",NA,0.654279808
"45","ALBION",1985-01-15,4058.53456221198,"NWT",NA,0.607545536
"46","ALBION",1985-01-31,4115.16129032258,"NWT",NA,0.607545536
"47","ALBION",1985-02-28,4214.25806451613,"NWT",NA,1.121622528
"48","ALBION",1985-03-28,4313.35483870968,"NWT",NA,1.215091072
"49","ALBION",1985-04-25,4412.45161290323,"NWT",NA,1.121622528
"50","ALBION",1985-05-09,4462,"NWT",NA,0.420608448
"51","ALBION",1985-05-16,3706,"NWT",NA,0.794482624
"52","ALBION",1985-05-23,4438,"NWT",NA,1.7665498645
"53","ALBION",1985-05-30,14191,"NWT",NA,1.51886384
"54","ALBION",1985-06-06,73227,"NWT",NA,0.771115488
"55","ALBION",1985-06-13,49471,"NWT",NA,0.415946255
"56","ALBION",1985-06-20,51299,"NWT",NA,0.397241312
"57","ALBION",1985-06-27,48459,"NWT",NA,0.472004913
"58","ALBION",1985-07-02,46083,"NWT",NA,0.280405632
"59","ALBION",1985-07-04,37178,"NWT",NA,0.2944202965
"60","ALBION",1985-07-08,27994,"NWT",NA,0.514076992
"61","ALBION",1985-07-11,21601,"NWT",NA,0.439313391
"62","ALBION",1985-07-16,22124,"NWT",NA,0.0560867435
"63","ALBION",1985-07-18,29645,"NWT",NA,0.3411545685
"64","ALBION",1985-07-22,25362,"NWT",NA,0.1261881515
"65","ALBION",1985-07-25,16077,"NWT",NA,0.046734272
"66","ALBION",1985-07-29,16731,"NWT",NA,0.556149071
"67","ALBION",1985-08-01,7890,"NWT",NA,0.331802097
"68","ALBION",1985-08-08,9151,"NWT",NA,0.588840593
"69","ALBION",1985-08-15,2765,"NWT",NA,0.401903505
"70","ALBION",1985-08-22,2084,"NWT",NA,0.299110575
"71","ALBION",1985-08-29,1482,"NWT",NA,0.537444128
"72","ALBION",1985-09-05,3055,"NWT",NA,0.299110575
"73","ALBION",1985-09-12,1670,"NWT",NA,0.4766951915
"74","ALBION",1985-09-19,2306,"NWT",NA,0.1729224235
"75","ALBION",1985-09-26,17232,"NWT",NA,0.2009517525
"76","ALBION",1985-10-03,8705,"NWT",NA,0.205642031
"77","ALBION",1985-10-17,1274.37254901961,"NWT",NA,0.719719023
"78","ALBION",1985-10-31,1377.58823529412,"NWT",NA,0.472004913
"79","ALBION",1985-11-28,1584.01960784314,"NWT",NA,0.7337336875
"80","ALBION",1985-12-27,1797.82352941176,"NWT",NA,1.000124655
"81","ALBION",1986-01-07,1878.92156862745,"NWT",NA,1.000124655
"82","ALBION",1986-01-14,1930.52941176471,"NWT",NA,0.958052576
"83","ALBION",1986-01-30,2048.49019607843,"NWT",NA,0.7571008235
"84","ALBION",1986-03-06,2306.52941176471,"NWT",NA,0.607545536
"85","ALBION",1986-03-27,2461.35294117647,"NWT",NA,0.607545536
"86","ALBION",1986-05-01,2719.39215686275,"NWT",NA,1.261825344
"87","ALBION",1986-05-08,2771,"NWT",NA,1.074888256
"88","ALBION",1986-05-15,3176,"NWT",NA,0.981419712
"89","ALBION",1986-05-22,9795,"NWT",NA,0.5981930645
"90","ALBION",1986-06-05,40309,"NWT",NA,0.7804679595
"91","ALBION",1986-06-12,37454,"NWT",NA,0.630912672
"92","ALBION",1986-06-19,67813,"NWT",NA,0.556149071
"93","ALBION",1986-06-26,63893,"NWT",NA,0.705676273
"94","ALBION",1986-07-03,63707,"NWT",NA,0.9253329685
