"","LTER","site.name","StartDate","EndDate","n"
"1","AND","GSLOOK",2005-05-31,2019-05-21,3265
"2","AND","GSMACK",1980-11-06,2019-05-22,8124
"3","AND","GSWS01",2003-06-16,2019-05-21,3813
"4","AND","GSWS02",1981-06-23,2019-05-21,7844
"5","AND","GSWS06",1971-10-26,2019-05-22,6328
"6","AND","GSWS07",1971-10-26,2019-05-22,6470
"7","AND","GSWS08",1971-10-26,2019-05-22,9698
"8","AND","GSWS09",1968-10-09,2019-05-21,10519
"9","AND","GSWS10",1968-10-09,2019-05-21,10619
"10","ARC","Atigun River",2002-07-28,2002-08-06,15
"11","ARC","BirthdayCr",2008-05-26,2008-07-13,126
"12","ARC","Camp Pond",1996-06-24,1998-07-15,154
"13","ARC","Campsite Lake",2001-07-12,2007-06-29,37
"14","ARC","Dennis Lake Inlet",1999-07-10,1999-07-10,17
"15","ARC","DimpleInlet",2008-05-24,2008-07-29,215
"16","ARC","DimpleOutlet",2008-05-26,2008-07-29,219
"17","ARC","Duckling Lake outlet",1999-07-10,1999-07-10,17
"18","ARC","E 01 Inlet",1995-07-14,1995-07-14,12
"19","ARC","E 01 into Toolik",2004-06-24,2006-06-10,289
"20","ARC","E 05 Inlet South",1999-08-07,2003-08-18,1024
"21","ARC","E 05 Inlet West",2000-06-28,2003-08-18,537
"22","ARC","E 05 Outlet",2000-06-28,2003-08-18,542
"23","ARC","Elusive Lake",2001-07-12,2001-07-12,11
"24","ARC","Galbraith Lake",2001-07-12,2001-07-12,11
"25","ARC","Green Cabin Lake",2004-05-11,2006-08-18,383
"26","ARC","Green Cabin Lake Inlet",2005-06-29,2006-08-18,48
"27","ARC","Green Cabin Lake Outlet",2005-06-29,2005-07-31,64
"28","ARC","Hershey Creek",2002-07-05,2005-07-02,133
"29","ARC","I Minus 02",2006-07-06,2006-07-06,13
"30","ARC","I Minus Inlet",2002-06-26,2005-07-29,86
"31","ARC","I Minus Outlet",2002-06-26,2005-07-29,136
"32","ARC","I Swamp Inlet",1994-07-01,2010-08-10,626
"33","ARC","I Swamp Outlet",1994-07-19,2010-08-10,627
"34","ARC","I1 into I3",1994-07-01,2010-08-09,646
"35","ARC","I1 Outlet",1994-07-01,2010-08-09,633
"36","ARC","I2 into I3",1994-07-01,2010-08-09,646
"37","ARC","I2 Outlet",1994-07-01,2010-08-09,635
"38","ARC","I3 Outlet",1994-07-01,2010-08-09,647
"39","ARC","I4 into I5",1993-05-31,2010-08-09,659
"40","ARC","I4 Outlet",1994-07-01,2010-08-09,623
"41","ARC","I5 into I6",1994-07-01,2010-08-10,641
"42","ARC","I5 Outlet",1994-07-01,2010-08-09,639
"43","ARC","I6 Headwater Lake Inlet",2001-06-29,2010-08-09,478
"44","ARC","I6 Headwater Lake Outlet",2001-06-29,2010-08-09,516
"45","ARC","I6 Inlet West",1994-07-19,2010-08-10,563
"46","ARC","I6 Outlet",1994-07-01,2010-08-10,632
"47","ARC","I7 into I9",1994-07-08,2010-08-10,2442
"48","ARC","I7 Outlet",1993-05-31,2010-08-10,636
"49","ARC","I8 Headwater",1994-07-01,2010-08-09,635
"50","ARC","I8 Inlet",1994-07-01,2010-08-10,1349
"51","ARC","I8 into I9",1994-07-08,2010-08-10,2425
"52","ARC","I8 Outlet",1993-05-31,2010-08-10,1358
"53","ARC","I9 Outlet",1994-07-08,2002-08-07,643
"54","ARC","Imnavait Upper",2002-06-15,2003-08-13,292
"55","ARC","Imnavait Weir",1994-07-14,2010-08-18,7689
"56","ARC","Imnavait WT 07 Weir",2002-07-26,2006-05-19,1458
"57","ARC","Island Lake",2001-07-12,2006-07-07,31
"58","ARC","Itkillik Lake",2001-07-12,2001-07-12,11
"59","ARC","Kuparuk River 1.1",2016-08-26,2018-08-24,71
"60","ARC","Kuparuk River 10.1",2016-08-26,2018-08-24,70
"61","ARC","Kuparuk River 10.2",2016-08-26,2018-08-24,62
"62","ARC","Kuparuk River 11.1",2016-08-26,2018-08-24,34
"63","ARC","Kuparuk River 11.2",2016-08-26,2018-08-24,70
"64","ARC","Kuparuk River 11.3",2016-08-26,2018-08-24,70
"65","ARC","Kuparuk River 12.1",2016-08-26,2018-08-24,58
"66","ARC","Kuparuk River 12.2",2016-08-26,2018-08-24,58
"67","ARC","Kuparuk River 12.3",2016-08-26,2018-08-24,75
"68","ARC","Kuparuk River 13.1",2016-08-26,2018-08-24,70
"69","ARC","Kuparuk River 13.2",2016-08-26,2018-08-24,71
"70","ARC","Kuparuk River 14.1",2016-08-26,2018-08-24,71
"71","ARC","Kuparuk River 14.2",2016-08-26,2018-08-24,30
"72","ARC","Kuparuk River 14.3",2016-08-26,2018-08-24,70
"73","ARC","Kuparuk River 14.4",2016-08-24,2018-08-24,59
"74","ARC","Kuparuk River 16.1",2016-08-26,2018-08-24,53
"75","ARC","Kuparuk River 16.2",2016-08-26,2018-08-24,70
"76","ARC","Kuparuk River 16.3",2016-08-26,2018-08-24,74
"77","ARC","Kuparuk River 17.1",2016-08-26,2018-08-24,58
"78","ARC","Kuparuk River 17.2",2016-08-26,2018-08-24,75
"79","ARC","Kuparuk River 17.3",2016-08-26,2018-08-24,70
"80","ARC","Kuparuk River 17.4",2016-08-26,2018-08-24,70
"81","ARC","Kuparuk River 18.1",2016-08-26,2018-08-24,70
"82","ARC","Kuparuk River 18.2",2016-08-26,2018-08-24,69
"83","ARC","Kuparuk River 18.3",2017-06-05,2018-08-24,52
"84","ARC","Kuparuk River 19.1",2016-08-26,2018-08-24,35
"85","ARC","Kuparuk River 19.2",2018-06-06,2018-08-24,19
"86","ARC","Kuparuk River 2.1",2016-08-26,2018-08-24,65
"87","ARC","Kuparuk River 2.2",2016-08-26,2018-08-24,70
"88","ARC","Kuparuk River 2.3",2016-08-26,2018-08-24,64
"89","ARC","Kuparuk River 2.4",2017-08-27,2017-08-27,16
"90","ARC","Kuparuk River 3.1",2016-08-26,2018-08-24,75
"91","ARC","Kuparuk River 4.1",2016-08-26,2018-08-24,75
"92","ARC","Kuparuk River 4.2",2016-08-26,2018-08-24,75
"93","ARC","Kuparuk River 4.3",2016-08-26,2018-08-24,70
"94","ARC","Kuparuk River 5.1",2016-08-26,2018-08-24,69
"95","ARC","Kuparuk River 5.2",2016-08-26,2018-08-24,70
"96","ARC","Kuparuk River 5.3",2016-08-26,2018-08-24,69
"97","ARC","Kuparuk River 6.1",2016-08-26,2018-08-24,70
"98","ARC","Kuparuk River 6.2",2016-08-26,2018-08-24,70
"99","ARC","Kuparuk River 6.3",2016-08-26,2018-08-24,70
"100","ARC","Kuparuk River 7.1",2016-08-26,2018-08-24,74
"101","ARC","Kuparuk River 8.1",2016-08-26,2018-08-24,75
"102","ARC","Kuparuk River 8.2",2016-08-26,2018-08-24,76
"103","ARC","Kuparuk River 8.3",2016-08-26,2018-08-24,70
"104","ARC","Kuparuk River 9.1",2016-08-26,2018-08-24,70
"105","ARC","Kuparuk River 9.2",2016-08-26,2018-08-24,65
"106","ARC","Lake Africa",1995-06-18,1995-07-13,60
"107","ARC","Lake Anne",2001-07-12,2001-07-12,11
"108","ARC","Lake Charles",2001-07-12,2006-07-09,23
"109","ARC","Lake Colleen",1995-06-18,2006-07-09,67
"110","ARC","Lake George",2001-07-12,2001-07-12,11
"111","ARC","Lake William",2006-07-09,2006-07-09,11
"112","ARC","Milkyway Lower",1993-06-14,2010-08-10,2727
"113","ARC","Milkyway Upper",1996-06-12,2010-08-10,1843
"114","ARC","Oksrukuyik 1",2016-08-17,2018-08-23,66
"115","ARC","Oksrukuyik 10",2016-08-17,2018-08-23,70
"116","ARC","Oksrukuyik 13",2016-08-17,2018-08-23,65
"117","ARC","Oksrukuyik 14",2016-08-17,2018-08-23,70
"118","ARC","Oksrukuyik 15",2016-08-17,2018-08-23,67
"119","ARC","Oksrukuyik 16",2016-08-17,2018-08-23,65
"120","ARC","Oksrukuyik 17",2016-08-17,2018-08-23,67
"121","ARC","Oksrukuyik 2",2016-08-17,2018-08-23,64
"122","ARC","Oksrukuyik 20",2016-08-17,2018-08-23,65
"123","ARC","Oksrukuyik 21",2016-08-17,2018-08-23,69
"124","ARC","Oksrukuyik 22",2016-08-17,2018-08-23,60
"125","ARC","Oksrukuyik 24",2016-08-17,2018-08-23,67
"126","ARC","Oksrukuyik 25",2016-08-17,2018-08-23,73
"127","ARC","Oksrukuyik 26",2016-08-17,2018-08-23,68
"128","ARC","Oksrukuyik 27",2016-08-17,2018-08-23,70
"129","ARC","Oksrukuyik 28",2016-08-17,2018-08-23,62
"130","ARC","Oksrukuyik 29",2016-08-17,2018-08-23,70
"131","ARC","Oksrukuyik 3",2016-08-17,2018-08-23,67
"132","ARC","Oksrukuyik 33",2016-08-17,2018-08-23,66
"133","ARC","Oksrukuyik 35",2016-08-17,2018-06-04,52
"134","ARC","Oksrukuyik 36",2016-08-17,2018-08-23,66
"135","ARC","Oksrukuyik 37",2016-08-17,2018-08-23,71
"136","ARC","Oksrukuyik 38",2016-08-17,2018-08-23,62
"137","ARC","Oksrukuyik 4",2016-08-17,2018-08-23,61
"138","ARC","Oksrukuyik 5",2016-08-17,2018-08-23,65
"139","ARC","Oksrukuyik 58",2016-08-17,2018-08-23,68
"140","ARC","Oksrukuyik 59",2016-08-17,2018-08-23,54
"141","ARC","Oksrukuyik 6",2016-08-17,2018-08-23,69
"142","ARC","Oksrukuyik 60",2016-08-17,2018-08-23,68
"143","ARC","Oksrukuyik 61",2016-08-17,2018-08-23,58
"144","ARC","Oksrukuyik 62",2016-08-17,2018-08-23,71
"145","ARC","Oksrukuyik 65",2016-08-17,2018-08-23,68
"146","ARC","Oksrukuyik 66",2016-08-17,2018-08-23,67
"147","ARC","Oksrukuyik 7",2016-08-17,2018-08-23,60
"148","ARC","Oksrukuyik 70",2016-08-17,2018-08-23,72
"149","ARC","Oksrukuyik 71",2016-08-17,2018-08-23,77
"150","ARC","Oksrukuyik 72",2016-08-17,2018-06-04,61
"151","ARC","Oksrukuyik 8",2016-08-17,2018-08-23,66
"152","ARC","Oksrukuyik 81",2016-08-17,2018-08-23,68
"153","ARC","Oksrukuyik 82",2016-08-17,2018-08-23,71
"154","ARC","Oksrukuyik 87",2016-08-17,2018-08-23,48
"155","ARC","Oksrukuyik 9",2016-08-17,2018-08-23,62
"156","ARC","ShrewR",2008-05-26,2008-07-28,193
"157","ARC","SouthR",2008-05-26,2008-08-09,226
"158","ARC","SouthRTrib",2008-06-23,2008-08-09,140
"159","ARC","Toolik Inlet",1993-06-23,2010-08-21,8281
"160","ARC","Toolik Outlet",1999-07-10,2004-08-19,281
"161","ARC","Toolik River",1995-07-14,1996-08-20,30
"162","ARC","Trevor Creek 1.1",2016-08-22,2018-08-28,65
"163","ARC","Trevor Creek 1.2",2016-08-22,2018-08-28,63
"164","ARC","Trevor Creek 1.3",2016-08-22,2018-08-28,71
"165","ARC","Trevor Creek 10.1",2016-08-22,2018-08-28,70
"166","ARC","Trevor Creek 10.2",2016-08-22,2018-08-28,70
"167","ARC","Trevor Creek 10.3",2016-08-22,2018-08-28,70
"168","ARC","Trevor Creek 10.4",2016-08-22,2018-08-28,45
"169","ARC","Trevor Creek 11.1",2016-08-22,2018-08-28,70
"170","ARC","Trevor Creek 11.2",2016-08-22,2018-08-28,70
"171","ARC","Trevor Creek 11.3",2016-08-22,2018-08-28,71
"172","ARC","Trevor Creek 11.4",2016-08-22,2018-08-28,71
"173","ARC","Trevor Creek 12.1",2016-08-21,2018-08-28,97
"174","ARC","Trevor Creek 12.2",2016-08-22,2018-08-28,70
"175","ARC","Trevor Creek 12.3",2016-08-22,2018-08-28,70
"176","ARC","Trevor Creek 12.4",2018-06-08,2018-06-08,11
"177","ARC","Trevor Creek 3.1",2016-08-22,2018-08-28,69
"178","ARC","Trevor Creek 3.2",2016-08-22,2018-08-28,70
"179","ARC","Trevor Creek 3.3",2016-08-22,2018-08-28,71
"180","ARC","Trevor Creek 4.1",2016-08-22,2018-08-28,70
"181","ARC","Trevor Creek 4.2",2016-08-22,2018-08-28,68
"182","ARC","Trevor Creek 4.3",2016-08-22,2018-08-28,69
"183","ARC","Trevor Creek 4.4",2016-08-22,2018-06-08,61
"184","ARC","Trevor Creek 4.5",2016-08-22,2018-08-28,68
"185","ARC","Trevor Creek 5.1",2016-08-22,2018-08-28,82
"186","ARC","Trevor Creek 5.2",2016-08-22,2018-08-28,69
