"param.units","shortName","paramShortName","constitAbbrev","drainSqKm","station.nm","param.nm","staAbbrev"
"mg/L","S65","Silicon","DSi",419,"S65","DSi","S65"
"mg/L","S65A","Silicon","DSi",421,"S65A","DSi","S65A"
"mg/L","S65D","Silicon","DSi",474,"S65D","DSi","S65D"
"mg/L","S65E","Silicon","DSi",117,"S65E","DSi","S65E"
"mg/L","BK01.0M","Silicon","DSi",5385,"BK01.0M","DSi","BK01.0M"
"mg/L","CH00.1M","Silicon","DSi",23336,"CH00.1M","DSi","CH00.1M"
"mg/L","CU11.6M","Silicon","DSi",2338,"CU11.6M","DSi","CU11.6M"
"mg/L","LM00.5M","Silicon","DSi",3347,"LM00.5M","DSi","LM00.5M"
"mg/L","M241.4K","Silicon","DSi",444183,"M241.4K","DSi","M241.4K"
"mg/L","M556.4A","Silicon","DSi",221444,"M556.4A","DSi","M556.4A"
"mg/L","M701.1B","Silicon","DSi",165322,"M701.1B","DSi","M701.1B"
"mg/L","CN00.1M","Silicon","DSi",3471,"CN00.1M","DSi","CN00.1M"
"mg/L","I080.2M","Silicon","DSi",40968,"I080.2M","DSi","I080.2M"
"mg/L","M078.0B","Silicon","DSi",1844071,"M078.0B","DSi","M078.0B"
"mg/L","M764.3A","Silicon","DSi",148831,"M764.3A","DSi","M764.3A"
"mg/L","M786.2C","Silicon","DSi",148831,"M786.2C","DSi","M786.2C"
"mg/L","MQ02.1M","Silicon","DSi",4021,"MQ02.1M","DSi","MQ02.1M"
"mg/L","QG","Silicon","DSi",0.13,"QG","DSi","QG"
"mg/L","SG16.2C","Silicon","DSi",13185,"SG16.2C","DSi","SG16.2C"
"mg/L","WP02.6M","Silicon","DSi",6048,"WP02.6M","DSi","WP02.6M"
"mg/L","SADDLE STREAM 007","Silicon","DSi",0.08,"SADDLE STREAM 007","DSi","SADDLE STREAM 007"
"mg/L","MPR","Silicon","DSi",17.7,"MPR","DSi","MPR"
"mg/L","QS","Silicon","DSi",2.6,"QS","DSi","QS"
"mg/L","RI","Silicon","DSi",3.3,"RI","DSi","RI"
"mg/L","MARTINELLI","Silicon","DSi",0.08,"MARTINELLI","DSi","MARTINELLI"
"mg/L","ALBION","Silicon","DSi",7.1,"ALBION","DSi","ALBION"
"mg/L","GSWS02","Silicon","DSi",0.6,"GSWS02","DSi","GSWS02"
"mg/L","GSMACK","Silicon","DSi",5.8,"GSMACK","DSi","GSMACK"
"mg/L","GSWS06","Silicon","DSi",0.13,"GSWS06","DSi","GSWS06"
"mg/L","GSWS07","Silicon","DSi",0.154,"GSWS07","DSi","GSWS07"
"mg/L","GSWS08","Silicon","DSi",0.214,"GSWS08","DSi","GSWS08"
"mg/L","GSWS09","Silicon","DSi",0.085,"GSWS09","DSi","GSWS09"
"mg/L","GSWS10","Silicon","DSi",0.102,"GSWS10","DSi","GSWS10"
"mg/L","Sagehen","Silicon","DSi",27,"Sagehen","DSi","Sagehen"
