"","Site","Date","Loadflex_P_est_kg.d","Discharge","P","P_loads"
"1","Canada Stream at F1",1990-11-24,0.235008000976938,54.7,NA,NA
"2","Canada Stream at F1",1990-11-25,0.235008000976938,93.3,NA,NA
"3","Canada Stream at F1",1990-11-26,0.235008000976938,118.6,NA,NA
"4","Canada Stream at F1",1990-11-27,0.235008000976938,114.1,NA,NA
"5","Canada Stream at F1",1990-11-28,0.235008000976938,54.4,NA,NA
"6","Canada Stream at F1",1990-11-29,0.235008000976938,56.4,NA,NA
"7","Canada Stream at F1",1990-11-30,0.235008000976938,11.7,NA,NA
"8","Canada Stream at F1",1990-12-01,0.235008000976938,0.3,NA,NA
"9","Canada Stream at F1",1990-12-02,0.235008000976938,0,NA,NA
"10","Canada Stream at F1",1990-12-03,0.235008000976938,0,NA,NA
"11","Canada Stream at F1",1990-12-04,0.235008000976938,2.8,NA,NA
"12","Canada Stream at F1",1990-12-05,0.235008000976938,10.9,NA,NA
"13","Canada Stream at F1",1990-12-06,0.235008000976938,19.5,NA,NA
"14","Canada Stream at F1",1990-12-07,0.235008000976938,7.6,NA,NA
"15","Canada Stream at F1",1990-12-08,0.235008000976938,3.4,NA,NA
"16","Canada Stream at F1",1990-12-09,0.235008000976938,38.8,NA,NA
"17","Canada Stream at F1",1990-12-10,0.235008000976938,22,NA,NA
"18","Canada Stream at F1",1990-12-11,0.235008000976938,81.3,NA,NA
"19","Canada Stream at F1",1990-12-12,0.235008000976938,64.2,NA,NA
"20","Canada Stream at F1",1990-12-13,0.235008000976938,87.9,NA,NA
"21","Canada Stream at F1",1990-12-14,0.235008000976938,48.1,NA,NA
"22","Canada Stream at F1",1990-12-15,0.235008000976938,75.3,NA,NA
"23","Canada Stream at F1",1990-12-16,0.235008000976938,124.5,NA,NA
"24","Canada Stream at F1",1990-12-17,0.235008000976938,165.6,NA,NA
"25","Canada Stream at F1",1990-12-18,0.235008000976938,116.5,NA,NA
"26","Canada Stream at F1",1990-12-19,0.235008000976938,54.9,NA,NA
"27","Canada Stream at F1",1990-12-20,0.235008000976938,80.6,NA,NA
"28","Canada Stream at F1",1990-12-21,0.235008000976938,164.1,NA,NA
"29","Canada Stream at F1",1990-12-22,0.235008000976938,162.3,NA,NA
"30","Canada Stream at F1",1990-12-23,0.235008000976938,134.4,NA,NA
"31","Canada Stream at F1",1990-12-24,0.235008000976938,48.3,NA,NA
"32","Canada Stream at F1",1990-12-25,0.235008000976938,136.5,NA,NA
"33","Canada Stream at F1",1990-12-26,0.235008000976938,333.1,NA,NA
"34","Canada Stream at F1",1990-12-27,0.235008000976938,121.3,NA,NA
"35","Canada Stream at F1",1990-12-28,0.235008000976938,77,NA,NA
"36","Canada Stream at F1",1990-12-29,0.235008000976938,132.7,NA,NA
"37","Canada Stream at F1",1990-12-30,0.235008000976938,257.4,NA,NA
"38","Canada Stream at F1",1990-12-31,0.235008000976938,330.6,NA,NA
"39","Canada Stream at F1",1991-01-01,0.235008000976938,263.3,NA,NA
"40","Canada Stream at F1",1991-01-02,0.235008000976938,186.6,NA,NA
"41","Canada Stream at F1",1991-01-03,0.235008000976938,94.4,NA,NA
"42","Canada Stream at F1",1991-01-04,0.235008000976938,66.9,NA,NA
"43","Canada Stream at F1",1991-01-05,0.235008000976938,92.6,NA,NA
"44","Canada Stream at F1",1991-01-06,0.235008000976938,62.4,NA,NA
"45","Canada Stream at F1",1991-01-07,0.235008000976938,97.3,NA,NA
"46","Canada Stream at F1",1991-01-08,0.235008000976938,158.9,NA,NA
