"","Site","Date","Loadflex_P_est_kg.d","Discharge","P","P_loads"
"10654","Onyx River at Lake Vanda Weir",1969-12-05,0,13.7,NA,NA
"10655","Onyx River at Lake Vanda Weir",1969-12-06,0,144.5,NA,NA
"10656","Onyx River at Lake Vanda Weir",1969-12-07,0,143.6,NA,NA
"10657","Onyx River at Lake Vanda Weir",1969-12-08,0,65.6,NA,NA
"10658","Onyx River at Lake Vanda Weir",1969-12-09,0,104.7,NA,NA
"10659","Onyx River at Lake Vanda Weir",1969-12-10,0,86.9,NA,NA
"10660","Onyx River at Lake Vanda Weir",1969-12-11,0,63.7,NA,NA
"10661","Onyx River at Lake Vanda Weir",1969-12-12,0,51,NA,NA
"10662","Onyx River at Lake Vanda Weir",1969-12-13,0,31.5,NA,NA
"10663","Onyx River at Lake Vanda Weir",1969-12-14,0,53.9,NA,NA
"10664","Onyx River at Lake Vanda Weir",1969-12-15,0,37.7,NA,NA
"10665","Onyx River at Lake Vanda Weir",1969-12-16,0,112.2,NA,NA
"10666","Onyx River at Lake Vanda Weir",1969-12-17,0,180,NA,NA
"10667","Onyx River at Lake Vanda Weir",1969-12-18,0,258.8,NA,NA
"10668","Onyx River at Lake Vanda Weir",1969-12-19,0,438.5,NA,NA
"10669","Onyx River at Lake Vanda Weir",1969-12-20,0,452.3,NA,NA
"10670","Onyx River at Lake Vanda Weir",1969-12-21,0,310.4,NA,NA
"10671","Onyx River at Lake Vanda Weir",1969-12-22,0,381.2,NA,NA
"10672","Onyx River at Lake Vanda Weir",1969-12-23,0,272,NA,NA
"10673","Onyx River at Lake Vanda Weir",1969-12-24,0,175.9,NA,NA
"10674","Onyx River at Lake Vanda Weir",1969-12-25,0,132.2,NA,NA
"10675","Onyx River at Lake Vanda Weir",1969-12-26,0,76.2,NA,NA
"10676","Onyx River at Lake Vanda Weir",1969-12-27,0,69,NA,NA
"10677","Onyx River at Lake Vanda Weir",1969-12-28,0,60.2,NA,NA
"10678","Onyx River at Lake Vanda Weir",1969-12-29,0,47.8,NA,NA
"10679","Onyx River at Lake Vanda Weir",1969-12-30,0,67.9,NA,NA
"10680","Onyx River at Lake Vanda Weir",1969-12-31,0,78,NA,NA
"10681","Onyx River at Lake Vanda Weir",1970-01-01,0,99,NA,NA
"10682","Onyx River at Lake Vanda Weir",1970-01-02,0,97.3,NA,NA
"10683","Onyx River at Lake Vanda Weir",1970-01-03,0,78.6,NA,NA
"10684","Onyx River at Lake Vanda Weir",1970-01-04,0,84.2,NA,NA
"10685","Onyx River at Lake Vanda Weir",1970-01-05,0,70.8,NA,NA
"10686","Onyx River at Lake Vanda Weir",1970-01-06,0,92.1,NA,NA
"10687","Onyx River at Lake Vanda Weir",1970-01-07,0,133.4,NA,NA
"10688","Onyx River at Lake Vanda Weir",1970-01-08,0,176.9,NA,NA
"10689","Onyx River at Lake Vanda Weir",1970-01-09,0,460.1,NA,NA
"10690","Onyx River at Lake Vanda Weir",1970-01-10,0,802.1,NA,NA
"10691","Onyx River at Lake Vanda Weir",1970-01-11,0,731.8,NA,NA
"10692","Onyx River at Lake Vanda Weir",1970-01-12,0,505.4,NA,NA
"10693","Onyx River at Lake Vanda Weir",1970-01-13,0,224.6,NA,NA
