"Date","remarks","Si"
1994-07-14,"",0.62630665
1994-07-14,"",0.6684349
1994-07-14,"",0.7470743
1994-07-14,"",0.7021375
1994-07-14,"",0.73303155
1994-07-14,"",0.75549995
1994-07-14,"",0.73864865
1994-07-14,"",0.7246059
1994-07-14,"",0.71056315
1994-07-15,"",0.7751598
1994-07-15,"",0.7807769
1994-07-15,"",0.76673415
1994-07-15,"",0.7639256
1994-07-15,"",0.75549995
1994-07-15,"",0.76111705
1994-07-15,"",0.7526914
1994-07-15,"",0.7133717
1994-07-17,"",0.954907
1994-07-17,"",0.9155873
1994-07-17,"",0.9043531
1994-07-17,"",0.9043531
1994-07-22,"",0.9492899
1994-07-22,"",0.8144795
1994-07-22,"",0.9099702
1994-07-22,"",1.04758915
1994-07-26,"",1.0447806
1994-07-26,"",1.2413791
1994-07-30,"",2.4939924
1994-07-30,"",1.01950365
1995-07-14,"",0.83975645
2002-06-15,"",0.78920255
2002-06-19,"",0.3482602
2002-06-26,"",0.4212825
2002-07-03,"",0.30613195
2002-07-10,"",0.40723975
2002-07-17,"",0.3594944
2002-07-23,"",0.59260405
2002-07-24,"",0.56171
2002-07-26,"",0.59822115
2002-07-31,"",0.4943048
2002-08-02,"",0.48587915
2002-08-03,"",0.64877505
2002-08-04,"",0.4774535
2002-08-05,"",0.4156654
2002-08-06,"",0.35106875
2002-08-06,"",0.3314089
2002-08-07,"",0.33983455
2002-08-07,"",0.34545165
2002-08-08,"",0.3201747
2002-08-08,"",0.3426431
2002-08-09,"",0.31174905
2002-08-09,"",0.3426431
2002-08-09,"",0.3089405
2002-08-09,"",0.6515836
2002-08-10,"",0.66000925
2002-08-10,"",0.6628178
2002-08-10,"",0.67686055
2002-08-11,"",0.7021375
2002-08-11,"",0.75549995
2002-08-11,"",0.28928065
2002-08-12,"",0.6965204
2002-08-13,"",0.96333265
2002-08-13,"",0.88469325
2003-06-02,"",0.51958175
2003-06-02,"",0.40162265
2003-06-03,"",0.3426431
2003-06-03,"",0.2977063
2003-06-04,"",0.21625835
2003-06-05,"",0.14885315
2003-06-06,"",0.05336245
2003-06-06,"",0.0337026
2003-06-07,"",0.0898736
2003-06-07,"",0.10953345
2003-06-11,"",0.5167732
2003-06-12,"",0.60945535
2003-06-13,"",0.64315795
2003-06-14,"",0.63192375
2003-06-16,"",0.6010297
2003-06-17,"",0.5785613
2003-06-18,"",0.5841784
2003-06-18,"",0.5954126
2003-06-19,"",0.57575275
2003-06-20,"",0.53643305
2003-06-20,"",0.54766725
2003-06-21,"",0.51958175
2003-06-21,"",0.51396465
2003-06-22,"",0.48026205
2003-06-23,"",0.505539
2003-06-23,"",0.5111561
2003-06-24,"",0.44655945
2003-06-24,"",0.5392416
2003-06-25,"",0.4943048
2003-06-25,"",0.54766725
2003-06-26,"",0.53081595
