"","date","Si_load_kg.day","se.pred","month","year","day.month","Q"
"1",1993-10-01,0,0,10,1993,"10-01",0
"2",1993-10-02,0,0,10,1993,"10-02",0
"3",1993-10-03,0,0,10,1993,"10-03",0
"4",1993-10-04,0,0,10,1993,"10-04",0
"5",1993-10-05,0,0,10,1993,"10-05",0
"6",1993-10-06,0,0,10,1993,"10-06",0
"7",1993-10-07,0,0,10,1993,"10-07",0
"8",1993-10-08,0,0,10,1993,"10-08",0
"9",1993-10-09,0,0,10,1993,"10-09",0
"10",1993-10-10,0,0,10,1993,"10-10",0
"11",1993-10-11,0,0,10,1993,"10-11",0
"12",1993-10-12,0,0,10,1993,"10-12",0
"13",1993-10-13,0,0,10,1993,"10-13",0
"14",1993-10-14,0,0,10,1993,"10-14",0
"15",1993-10-15,0,0,10,1993,"10-15",0
"16",1993-10-16,0,0,10,1993,"10-16",0
"17",1993-10-17,0,0,10,1993,"10-17",0
"18",1993-10-18,0,0,10,1993,"10-18",0
"19",1993-10-19,0,0,10,1993,"10-19",0
"20",1993-10-20,0,0,10,1993,"10-20",0
"21",1993-10-21,0,0,10,1993,"10-21",0
"22",1993-10-22,0,0,10,1993,"10-22",0
"23",1993-10-23,0,0,10,1993,"10-23",0
"24",1993-10-24,0,0,10,1993,"10-24",0
"25",1993-10-25,0,0,10,1993,"10-25",0
"26",1993-10-26,0,0,10,1993,"10-26",0
"27",1993-10-27,0,0,10,1993,"10-27",0
"28",1993-10-28,0,0,10,1993,"10-28",0
"29",1993-10-29,0,0,10,1993,"10-29",0
"30",1993-10-30,0,0,10,1993,"10-30",0
"31",1993-10-31,0,0,10,1993,"10-31",0
"32",1993-11-01,0,0,11,1993,"11-01",0
"33",1993-11-02,0,0,11,1993,"11-02",0
"34",1993-11-03,0,0,11,1993,"11-03",0
"35",1993-11-04,0,0,11,1993,"11-04",0
"36",1993-11-05,0,0,11,1993,"11-05",0
"37",1993-11-06,0,0,11,1993,"11-06",0
"38",1993-11-07,0,0,11,1993,"11-07",0
"39",1993-11-08,0,0,11,1993,"11-08",0
"40",1993-11-09,0,0,11,1993,"11-09",0
"41",1993-11-10,0,0,11,1993,"11-10",0
"42",1993-11-11,0,0,11,1993,"11-11",0
"43",1993-11-12,0,0,11,1993,"11-12",0
"44",1993-11-13,0,0,11,1993,"11-13",0
"45",1993-11-14,0,0,11,1993,"11-14",0
"46",1993-11-15,0,0,11,1993,"11-15",0
"47",1993-11-16,0,0,11,1993,"11-16",0
"48",1993-11-17,0,0,11,1993,"11-17",0
"49",1993-11-18,0,0,11,1993,"11-18",0
"50",1993-11-19,0,0,11,1993,"11-19",0
"51",1993-11-20,0,0,11,1993,"11-20",0
"52",1993-11-21,0,0,11,1993,"11-21",0
"53",1993-11-22,0,0,11,1993,"11-22",0
"54",1993-11-23,0,0,11,1993,"11-23",0
"55",1993-11-24,0,0,11,1993,"11-24",0
"56",1993-11-25,0,0,11,1993,"11-25",0
"57",1993-11-26,0,0,11,1993,"11-26",0
"58",1993-11-27,0,0,11,1993,"11-27",0
"59",1993-11-28,0,0,11,1993,"11-28",0
"60",1993-11-29,0,0,11,1993,"11-29",0
"61",1993-11-30,0,0,11,1993,"11-30",0
"62",1993-12-01,0,0,12,1993,"12-01",0
"63",1993-12-02,0,0,12,1993,"12-02",0
"64",1993-12-03,0,0,12,1993,"12-03",0
