"Date","remarks","Si"
1983-01-13,"",5.16999999999999
1983-02-03,"",6.60999999999999
1983-02-24,"",7.60999999999999
1983-03-17,"",8.54999999999999
1983-04-07,"",7.88000000000001
1983-04-26,"",9.32
1983-05-19,"",8.77
1983-06-07,"",10.44
1983-06-28,"",10.36
1983-07-20,"",9.91000000000001
1983-08-10,"",10.6
1983-08-30,"",11
1983-09-21,"",9.80000000000001
1983-10-12,"",10.55
1983-11-02,"",10.07
1983-11-22,"",8.49
1983-12-15,"",7.73
1984-01-05,"",9.18999999999999
1984-01-26,"",9.13999999999999
1984-02-15,"",8.79
1984-03-07,"",9.50000000000002
1984-03-28,"",9.04999999999999
1984-04-19,"",9.55000000000001
1984-05-09,"",9.36000000000001
1984-05-30,"",10.05
1984-06-19,"",9.78999999999999
1984-07-12,"",10.17
1984-08-01,"",10.38
1984-08-21,"",11.21
1984-09-11,"",9.82
1984-10-04,"",10.45
1984-10-25,"",9.58
1984-11-14,"",7.92000000000001
1984-12-05,"",8.38
1984-12-26,"",9.04999999999999
1985-01-17,"",9.51000000000001
1985-02-06,"",9.61000000000001
1985-02-27,"",8.44999999999999
1985-03-20,"",10.01
1985-04-11,"",9.34999999999999
1985-05-01,"",10.5
1985-05-23,"",10.45
1985-06-13,"",10.56
1985-07-09,"",11.34
1985-07-31,"",12.07
1985-08-20,"",11.51
1985-09-12,"",10.34
1985-10-01,"",10.72
1985-10-23,"",9.96000000000001
1985-11-15,"",8.51000000000001
1985-12-05,"",7.87000000000001
1985-12-18,"",7.88000000000001
1986-01-16,"",8.66000000000001
1986-02-05,"",8.54999999999999
1986-02-26,"",8.09
1986-03-19,"",9.36000000000001
1986-04-09,"",9.75000000000001
1986-04-30,"",9.33
1986-05-20,"",8.93
1986-06-12,"",10.19
1986-07-01,"",10.63
1986-07-24,"",10.89
1986-08-14,"",11.34
1986-09-04,"",11.12
1986-09-25,"",10.07
1986-10-16,"",8.74999999999999
1986-11-06,"",9.09999999999999
1986-11-25,"",8.66000000000001
1986-12-17,"",8.04
1987-01-08,"",8.04999999999999
1987-01-27,"",8.34999999999999
1987-02-18,"",8.49999999999999
1987-03-10,"",9.43999999999999
1987-04-01,"",8.84999999999999
1987-04-23,"",9.73
1987-05-12,"",10.37
1987-06-03,"",10.37
1987-06-24,"",10.42
1987-07-21,"",10.86
1987-08-06,"",10.5
1987-09-16,"",10.57
1987-10-06,"",10.15
1987-11-19,"",9.70000000000001
1987-12-08,"",8.35999999999999
1987-12-29,"",7.42000000000001
1988-01-21,"",7.20999999999999
1988-02-11,"",8.51000000000001
1988-03-02,"",8.59999999999999
1988-03-23,"",8.41000000000001
1988-04-14,"",8.32000000000001
1988-05-04,"",9.48
1988-05-24,"",9.47
1988-06-14,"",9.38999999999999
1988-07-07,"",10.12
1988-07-29,"",10.97
1988-08-17,"",10.84
1988-09-07,"",11
1988-09-27,"",10.43
1988-10-18,"",10.58
1988-11-08,"",9.70000000000001
1988-11-22,"",9.28
1988-11-29,"",8.04
1988-12-06,"",8.41000000000001
1988-12-13,"",8.64999999999999
1989-01-10,"",7.33000000000001
1989-01-31,"",8.79
1989-02-07,"",9.03999999999999
1989-02-14,"",8.86000000000001
1989-02-21,"",7.94
1989-03-14,"",8.44
1989-04-04,"",8.41000000000001
1989-04-25,"",9.61000000000001
1989-05-16,"",9.73
1989-06-06,"",9.37
1989-06-27,"",10.04
1989-07-18,"",10.36
1989-08-08,"",10.54
1989-09-01,"",10.59
1989-09-19,"",10.6
1989-10-10,"",10.55
1989-10-31,"",9.93999999999999
1989-11-21,"",9.18
1989-11-28,"",8.93
1989-12-12,"",8.09999999999999
