"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-10-01,7330,53599,10,275,1996.74931693989,1762,1997,1,8.8997307948807,NA,NA,1.54451944979056,0.208451299875262,4.78864166260313,3032704.22862651,4.82834089838503,2508433.93794054
"2",1996-10-02,7000,53600,10,276,1996.75204918033,1762,1997,2,8.85366542803745,NA,NA,1.54439813393785,0.208385792451955,4.78800700042181,2895786.63385511,4.82627241897468,2532550.65865442
"3",1996-10-03,6450,53601,10,277,1996.75478142077,1762,1997,3,8.77183540978982,NA,NA,1.54410257642931,0.208103966591141,4.78634188993041,2667332.60842042,4.82671568340658,2661302.50035842
"4",1996-10-04,5680,53602,10,278,1996.7575136612,1762,1997,4,8.6447065117152,NA,NA,1.54374520247574,0.207800427811265,4.7843749365064,2347941.56884039,4.82184661752708,2744004.77188094
"5",1996-10-05,6120,53603,10,279,1996.76024590164,1762,1997,5,8.71931737550637,NA,NA,1.54297099481669,0.207465224066239,4.78035107982736,2527696.67977816,4.82149425236089,3004388.42789286
"6",1996-10-06,4890,53604,10,280,1996.76297814208,1762,1997,6,8.49494758246892,NA,NA,1.54306753714108,0.207431566621225,4.78089348667635,2019908.37454681,4.82258032633523,3375205.01922682
"7",1996-10-07,4390,53605,10,281,1996.76571038251,1762,1997,7,8.38708450606922,5980,NA,1.54261809197828,0.207279532034457,4.7786848558333,1812536.05107815,4.79520077587749,3814825.11760866
"8",1996-10-08,6040,53606,10,282,1996.76844262295,1762,1997,8,8.70615929092886,5795.71428571429,NA,1.54103677186431,0.206478029321126,4.77019818695923,2489356.54505379,4.78066481044328,4064092.09705839
"9",1996-10-09,4560,53607,10,283,1996.77117486339,1762,1997,9,8.42507790250843,5447.14285714286,NA,1.54056285851375,0.206447865158345,4.76808701991866,1878549.99645563,4.78603905942614,4047706.57831235
"10",1996-10-10,4530,53608,10,284,1996.77390710383,1762,1997,10,8.41847721847708,5172.85714285714,NA,1.53961312452607,0.206079185614938,4.76322181347662,1864286.91202024,4.79504601979513,3778495.08390359
"11",1996-10-11,5080,53609,10,285,1996.77663934426,1762,1997,11,8.53306654057253,5087.14285714286,NA,1.53872683653539,0.205554957395492,4.75841889030756,2088527.15198267,4.78186157908563,3650257.19111553
"12",1996-10-12,4430,53610,10,286,1996.7793715847,1762,1997,12,8.39615486303918,4845.71428571429,NA,1.53765200745113,0.205344624219855,4.75320829375981,1819299.98085315,4.76264541165686,3468248.1933981
"13",1996-10-13,3980,53611,10,287,1996.78210382514,1762,1997,13,8.28903709827848,4715.71428571429,NA,1.53575706609161,0.20519328277713,4.74417827655282,1631390.07231477,4.74876908458214,3332637.94483234
"14",1996-10-14,2950,53612,10,288,1996.78483606557,1762,1997,14,7.98956044933387,4510,NA,1.53124499630177,0.205540550313799,4.72358564016358,1203947.50796489,4.75300197454614,3345200.40631265
"15",1996-10-15,4800,53613,10,289,1996.78756830601,1762,1997,15,8.47637119689598,4332.85714285714,NA,1.53511276557269,0.204150563075019,4.73992511352989,1965741.74308312,4.76731429279196,3236621.30944349
"16",1996-10-16,4370,53614,10,290,1996.79030054645,1762,1997,16,8.38251828808963,4305.71428571429,NA,1.53362080525682,0.203816089599231,4.73258428267649,1786872.3824416,4.77116411496269,3101027.42255297
"17",1996-10-17,4920,53615,10,291,1996.79303278689,1762,1997,17,8.50106380948635,4361.42857142857,NA,1.53350958513153,0.203407871804001,4.73156749529178,2011332.56343859,4.77067833466088,3086600.42603166
"18",1996-10-18,7910,53616,10,292,1996.79576502732,1762,1997,18,8.9758830607617,4765.71428571429,NA,1.5386458067006,0.203726677975404,4.75607485486545,3250415.70161156,4.76982520586877,3168499.62263347
"19",1996-10-19,8690,53617,10,293,1996.79849726776,1762,1997,19,9.06992821825944,5374.28571428571,NA,1.54200399184041,0.203559414683112,4.77193111546092,3582842.2323859,4.77776936104488,3251332.87038581
"20",1996-10-20,10200,53618,10,294,1996.8012295082,1762,1997,20,9.23014299927236,6262.85714285714,NA,1.54832080425647,0.203506499983288,4.80201994676977,4231924.13868926,4.77322116379363,3423481.9717026
"21",1996-10-21,7700,53619,10,295,1996.80396174863,1762,1997,21,8.94897560784178,6941.42857142857,NA,1.53627013428037,0.202837477529,4.74388243180709,3156010.10423262,4.76408877746279,3182409.89790347
"22",1996-10-22,9220,53620,10,296,1996.80669398907,1762,1997,22,9.12913031655064,7572.85714285714,NA,1.54342604103895,0.202898628799661,4.77804706407348,3806230.51561745,4.75523816409791,3061541.83229864
"23",1996-10-23,8240,53621,10,297,1996.80942622951,1762,1997,23,9.01675562290352,8125.71428571429,NA,1.53829670535907,0.202409702559871,4.75312175877659,3383918.49245637,4.74034866004377,3021003.4601123
"24",1996-10-24,10000,53622,10,298,1996.81215846995,1762,1997,24,9.21034037197618,8851.42857142857,NA,1.54631860561328,0.202606790785066,4.79152154139653,4139874.6117666,4.73171307112322,3104488.1609695
"25",1996-10-25,13000,53623,10,299,1996.81489071038,1762,1997,25,9.47270463644367,9578.57142857143,NA,1.56724058115788,0.200612064205969,4.89108216222564,5493663.48461184,4.72668827144615,3037270.79040331
"26",1996-10-26,14000,53624,10,300,1996.81762295082,1762,1997,26,9.5468126085974,10337.1428571429,NA,1.57281053812264,0.198735213696913,4.91653817087659,5947044.57149233,4.73684680343994,3058808.26018222
"27",1996-10-27,16000,53625,10,301,1996.82035519126,1762,1997,27,9.68034400122192,11165.7142857143,NA,1.58319866836071,0.193660444724997,4.96323097886999,6861170.50518987,4.7496179294765,3142755.08666396
"28",1996-10-28,15000,53626,10,302,1996.82308743169,1762,1997,28,9.61580548008435,12208.5714285714,NA,1.57730640184224,0.194955956913734,4.93531537515639,6396168.72620268,4.74088643225499,3174486.35254115
"29",1996-10-29,10400,53627,10,303,1996.82581967213,1762,1997,29,9.24956108512946,12377.1428571429,NA,1.5477051860506,0.1985439109313,4.7945031039614,4308148.70909555,4.7303162636542,3183257.50501079
"30",1996-10-30,11100,53628,10,304,1996.82855191257,1762,1997,30,9.31470038730042,12785.7142857143,7632.66666666667,1.55248479110925,0.197414130732414,4.81660456960001,4619316.4464292,4.73589296733218,3279674.99082916
"31",1996-10-31,15000,53629,10,305,1996.83128415301,1762,1997,31,9.61580548008435,13500,7888.33333333333,1.57552701050415,0.19262510244568,4.92441434236416,6382040.98770395,4.74259717093902,3289730.44513008
"32",1996-11-01,17200,53630,11,306,1996.83401639344,1763,1997,32,9.75266466280154,14100,8228.33333333333,1.58600003496995,0.187551037271612,4.97141222659185,7387916.28169362,4.74024717379441,3162683.26453411
