"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-10-01,275,53599,10,275,1996.74931693989,1762,1997,1,5.61677109766657,NA,NA,1.56577195348423,0.47407865176453,5.35628131895769,127265.244138435,6.30346062472131,739261.908272826
"2",1996-10-02,231,53600,10,276,1996.75204918033,1762,1997,2,5.44241771052179,NA,NA,1.58266244999332,0.474196614855884,5.44942549851178,108761.813869498,6.31404610705986,773718.155533619
"3",1996-10-03,200,53601,10,277,1996.75478142077,1762,1997,3,5.29831736654804,NA,NA,1.59577062641903,0.473371555769877,5.51934216444673,95374.2326016394,6.31798243027095,803602.567681023
"4",1996-10-04,224,53602,10,278,1996.7575136612,1762,1997,4,5.41164605185504,NA,NA,1.58068408198227,0.469604141105122,5.42890172657723,105068.792455485,6.28866490308492,794154.780471115
"5",1996-10-05,234,53603,10,279,1996.76024590164,1762,1997,5,5.4553211153577,NA,NA,1.57323469831009,0.466704532271032,5.38223418525421,108815.857863795,6.28029663978344,812352.209841144
"6",1996-10-06,258,53604,10,280,1996.76297814208,1762,1997,6,5.55295958492162,NA,NA,1.55990219293366,0.463420064319356,5.30319571770074,118214.596382411,6.28647963143831,883454.033653426
"7",1996-10-07,213,53605,10,281,1996.76571038251,1762,1997,7,5.36129216570943,233.571428571429,NA,1.57814976714529,0.462538372396191,5.39952329360755,99368.5070769184,6.32807418631656,909709.979950784
"8",1996-10-08,237,53606,10,282,1996.76844262295,1762,1997,8,5.46806014113513,228.142857142857,NA,1.56383309040474,0.459283791186698,5.31551779285467,108844.794740727,6.29525873085922,869512.407105069
"9",1996-10-09,231,53607,10,283,1996.77117486339,1762,1997,9,5.44241771052179,228.142857142857,NA,1.56395512925295,0.457001331075064,5.31109010566682,106000.860764941,6.26360084390897,795476.383267798
"10",1996-10-10,218,53608,10,284,1996.77390710383,1762,1997,10,5.38449506278909,230.714285714286,NA,1.56758275333408,0.454832843634918,5.32540287225835,100305.02817956,6.24694877557871,785458.337448477
"11",1996-10-11,219,53609,10,285,1996.77663934426,1762,1997,11,5.3890717298165,230,NA,1.56440681591516,0.452305231372958,5.30268878613353,100335.356135704,6.18742129084441,763274.560298106
"12",1996-10-12,217,53610,10,286,1996.7793715847,1762,1997,12,5.37989735354046,227.571428571429,NA,1.56272459389897,0.449829343318492,5.28797495896944,99143.1849107263,6.12471805809578,693085.477109394
"13",1996-10-13,240,53611,10,287,1996.78210382514,1762,1997,13,5.48063892334199,225,NA,1.54912019664639,0.447089433541347,5.21011417628572,108036.927559461,6.10391395766608,649505.931579125
"14",1996-10-14,193,53612,10,288,1996.78483606557,1762,1997,14,5.26269018890489,222.142857142857,NA,1.57297684580918,0.444566521349451,5.33087289032913,88893.3716208162,6.05355828865386,596802.415863656
"15",1996-10-15,198,53613,10,289,1996.78756830601,1762,1997,15,5.28826703069454,216.571428571429,NA,1.56460492810364,0.44232979761867,5.27945187389971,90316.6390971771,5.9896345560767,549622.981016212
"16",1996-10-16,257,53614,10,290,1996.79030054645,1762,1997,16,5.54907608489522,220.285714285714,NA,1.53371487580369,0.439856241756345,5.11312240703434,113535.860423716,5.90311141289057,511158.848001566
"17",1996-10-17,294,53615,10,291,1996.79303278689,1762,1997,17,5.68357976733868,231.142857142857,NA,1.52036180360136,0.437440733206813,5.03858171222485,127988.037221251,5.86408191764979,500129.038432614
"18",1996-10-18,282,53616,10,292,1996.79576502732,1762,1997,18,5.64190707093811,240.142857142857,NA,1.51837455615057,0.435348893759429,5.02363742031921,122399.921018593,5.84362661678025,501412.355971109
"19",1996-10-19,190,53617,10,293,1996.79849726776,1762,1997,19,5.24702407216049,236.285714285714,NA,1.5643305065153,0.430972844663422,5.25289401054416,86231.5080770929,5.80403235972134,488828.931990887
"20",1996-10-20,205,53618,10,294,1996.8012295082,1762,1997,20,5.32300997913841,231.285714285714,NA,1.54741865531574,0.429490730009912,5.15814285436433,91361.026236501,5.73917885523723,479294.098442966
"21",1996-10-21,295,53619,10,295,1996.80396174863,1762,1997,21,5.68697535633982,245.857142857143,NA,1.50991391786575,0.428468008479244,4.9645512434084,126536.482091993,5.67058725138006,460114.921349234
"22",1996-10-22,241,53620,10,296,1996.80669398907,1762,1997,22,5.48479693349065,252,NA,1.52465754091094,0.425317823144521,5.03172440063937,104772.578159873,5.65387055296928,457780.848454816
"23",1996-10-23,303,53621,10,297,1996.80942622951,1762,1997,23,5.71373280550937,258.571428571429,NA,1.50683445074837,0.42384499084921,4.93796068429685,129271.860346344,5.62590229921723,450861.244092245
