"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1993-10-01,0.00619363810381714,52503,10,275,1993.74863013699,1726,1994,1,-5.08423262603227,NA,NA,-0.435935237986098,0.259653581046549,0.672651194620335,0.359956057211593,0.672651194620335,0.359956057211593
"2",1993-10-02,0.00619363810381714,52504,10,276,1993.75136986301,1726,1994,2,-5.08423262603227,NA,NA,-0.420487753239274,0.260050514446524,0.680766504893908,0.364298805893952,0.680766504893908,0.364298805893952
"3",1993-10-03,0.00619363810381714,52505,10,277,1993.75410958904,1726,1994,3,-5.08423262603227,NA,NA,-0.417295745967846,0.26032040098639,0.683035541718371,0.365513036323532,0.683035541718371,0.365513036323532
"4",1993-10-04,0.00619363810381714,52506,10,278,1993.75684931507,1726,1994,4,-5.08423262603227,NA,NA,-0.414103738696418,0.260590287526257,0.685304578542835,0.366727266753112,0.685304578542835,0.366727266753113
"5",1993-10-05,0.00619363810381714,52507,10,279,1993.7595890411,1726,1994,5,-5.08423262603227,NA,NA,-0.410911731424724,0.260860174066145,0.687573615367486,0.367941497182794,0.687573615367486,0.367941497182794
"6",1993-10-06,0.00619363810381714,52508,10,280,1993.76232876712,1726,1994,6,-5.08423262603227,NA,NA,-0.407719724153296,0.261130060606011,0.689842652191949,0.369155727612374,0.689842652191949,0.369155727612374
"7",1993-10-07,0.00619363810381714,52509,10,281,1993.76506849315,1726,1994,7,-5.08423262603227,0.00619363810381714,NA,-0.404527716881867,0.261399947145878,0.692111689016412,0.370369958041955,0.692111689016412,0.370369958041955
"8",1993-10-08,0.00619363810381714,52510,10,282,1993.76780821918,1726,1994,8,-5.08423262603227,0.00619363810381714,NA,-0.401335709610439,0.261669833685744,0.694380725840875,0.371584188471535,0.694380725840875,0.371584188471535
"9",1993-10-09,0.00619363810381714,52511,10,283,1993.77054794521,1726,1994,9,-5.08423262603227,0.00619363810381714,NA,-0.398143702339011,0.26193972022561,0.696649762665338,0.372798418901115,0.696649762665338,0.372798418901116
"10",1993-10-10,0.00619363810381714,52512,10,284,1993.77328767123,1726,1994,10,-5.08423262603227,0.00619363810381714,NA,-0.394951695067582,0.262209606765476,0.698918799489802,0.374012649330696,0.698918799489802,0.374012649330696
