"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-10-01,8570,53599,10,275,1996.74931693989,1762,1997,1,9.05602301159183,NA,NA,0.946257799826686,0.313044150636735,2.71090761499127,2007286.12170506,2.56617897612867,2631737.64032768
"2",1996-10-02,6670,53600,10,276,1996.75204918033,1762,1997,2,8.80537513890967,NA,NA,0.851283100005099,0.318905231677529,2.468341649073,1422475.67226098,2.53330261680937,2570269.47680099
"3",1996-10-03,6560,53601,10,277,1996.75478142077,1762,1997,3,8.78874588193814,NA,NA,0.84644615150692,0.318764191078542,2.45543798874565,1391702.96501321,2.55779709022016,2547749.92346991
"4",1996-10-04,6680,53602,10,278,1996.7575136612,1762,1997,4,8.80687326653069,NA,NA,0.854821347105768,0.317743468905749,2.47625597873976,1429176.09064161,2.62533432418136,2682551.04417912
"5",1996-10-05,6220,53603,10,279,1996.76024590164,1762,1997,5,8.73552518573323,NA,NA,0.828584719649407,0.318842982935015,2.41093989552233,1295658.38737286,2.6563625706846,2853181.08373461
"6",1996-10-06,6600,53604,10,280,1996.76297814208,1762,1997,6,8.79482492801452,NA,NA,0.853299758921302,0.316918914033519,2.47122846027493,1409193.31718718,2.66798691736152,2903677.60379487
"7",1996-10-07,5970,53605,10,281,1996.76571038251,1762,1997,7,8.69450220638665,6752.85714285714,NA,0.814093538111101,0.318373662094191,2.37887102154953,1227040.70388342,2.6548545059819,2884659.30685481
"8",1996-10-08,6210,53606,10,282,1996.76844262295,1762,1997,8,8.73391617492752,6415.71428571429,NA,0.832916960988498,0.317151279507478,2.42029996795393,1298597.42600587,2.64772689366335,2800370.61782962
"9",1996-10-09,5870,53607,10,283,1996.77117486339,1762,1997,9,8.67760991282214,6301.42857142857,NA,0.810447682222559,0.317494922583338,2.37049873458766,1202241.10222336,2.63706873187644,2738177.05477231
"10",1996-10-10,6230,53608,10,284,1996.77390710383,1762,1997,10,8.7371316117815,6254.28571428571,NA,0.837647549365423,0.315953570969925,2.43061509581764,1308332.04885595,2.63650023459036,2676873.58112131
"11",1996-10-11,6100,53609,10,285,1996.77663934426,1762,1997,11,8.7160440501614,6171.42857142857,NA,0.83040131970897,0.315720010422419,2.41442869627712,1272500.50008589,2.60267712263251,2575905.45450686
"12",1996-10-12,6310,53610,10,286,1996.7793715847,1762,1997,12,8.74989095553526,6184.28571428571,NA,0.846346212707655,0.314604726320957,2.44978764321408,1335585.02647803,2.59009208814682,2481155.98150522
"13",1996-10-13,5590,53611,10,287,1996.78210382514,1762,1997,13,8.62873456614915,6040,NA,0.797478090330895,0.315956388122867,2.34070431164274,1130504.00561996,2.56978018443588,2418136.6686273
