"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1993-10-01,1.33851637355026e-05,52503,10,275,1993.74863013699,1726,1994,1,-11.221363648306,NA,NA,-2.21892587625479,0.337878997375543,0.11511621707951,0.000133129389388686,0.11511621707951,0.000133129389388686
"2",1993-10-02,1.33851637355026e-05,52504,10,276,1993.75136986301,1726,1994,2,-11.221363648306,NA,NA,-2.21958196069909,0.337081657626177,0.11501388633838,0.000133011046122828,0.11501388633838,0.000133011046122828
"3",1993-10-03,1.33851637355026e-05,52505,10,277,1993.75410958904,1726,1994,3,-11.221363648306,NA,NA,-2.2218753776999,0.336098014198671,0.114721500493056,0.000132672908282293,0.114721500493056,0.000132672908282293
"4",1993-10-04,1.33851637355026e-05,52506,10,278,1993.75684931507,1726,1994,4,-11.221363648306,NA,NA,-2.22416879470071,0.335114370771166,0.114429114647732,0.000132334770441758,0.114429114647732,0.000132334770441758
"5",1993-10-05,1.33851637355026e-05,52507,10,279,1993.7595890411,1726,1994,5,-11.221363648306,NA,NA,-2.22646221170171,0.334130727343579,0.114136728802384,0.000131996632601194,0.114136728802384,0.000131996632601194
"6",1993-10-06,1.33851637355026e-05,52508,10,280,1993.76232876712,1726,1994,6,-11.221363648306,NA,NA,-2.22875562870253,0.333147083916073,0.11384434295706,0.000131658494760659,0.11384434295706,0.000131658494760659
"7",1993-10-07,1.33851637355026e-05,52509,10,281,1993.76506849315,1726,1994,7,-11.221363648306,1.33851637355026e-05,NA,-2.23104904570334,0.332163440488568,0.113551957111736,0.000131320356920123,0.113551957111736,0.000131320356920123
"8",1993-10-08,1.33851637355026e-05,52510,10,282,1993.76780821918,1726,1994,8,-11.221363648306,1.33851637355026e-05,NA,-2.23334246270415,0.331179797061062,0.113259571266412,0.000130982219079588,0.113259571266412,0.000130982219079588
"9",1993-10-09,1.33851637355026e-05,52511,10,283,1993.77054794521,1726,1994,9,-11.221363648306,1.33851637355026e-05,NA,-2.23563587970496,0.330196153633557,0.112967185421088,0.000130644081239053,0.112967185421088,0.000130644081239053
"10",1993-10-10,1.33851637355026e-05,52512,10,284,1993.77328767123,1726,1994,10,-11.221363648306,1.33851637355026e-05,NA,-2.23792929670577,0.329212510206051,0.112674799575764,0.000130305943398517,0.112674799575764,0.000130305943398517
"11",1993-10-11,1.33851637355026e-05,52513,10,285,1993.77602739726,1726,1994,11,-11.221363648306,1.33851637355026e-05,NA,-2.24022271370677,0.328228866778464,0.112382413730416,0.000129967805557954,0.112382413730416,0.000129967805557954
"12",1993-10-12,1.33851637355026e-05,52514,10,286,1993.77876712329,1726,1994,12,-11.221363648306,1.33851637355026e-05,NA,-2.24251613070758,0.327245223350959,0.112090027885092,0.000129629667717419,0.112090027885092,0.000129629667717418
"13",1993-10-13,1.33851637355026e-05,52515,10,287,1993.78150684932,1726,1994,13,-11.221363648306,1.33851637355026e-05,NA,-2.24480954770839,0.326261579923453,0.111797642039768,0.000129291529876883,0.111797642039768,0.000129291529876883
"14",1993-10-14,1.33851637355026e-05,52516,10,288,1993.78424657534,1726,1994,14,-11.221363648306,1.33851637355026e-05,NA,-2.2471029647092,0.325277936495948,0.111505256194445,0.000128953392036348,0.111505256194445,0.000128953392036348
"15",1993-10-15,1.33851637355026e-05,52517,10,289,1993.78698630137,1726,1994,15,-11.221363648306,1.33851637355026e-05,NA,-2.24939638171002,0.324294293068442,0.111212870349121,0.000128615254195812,0.111212870349121,0.000128615254195812
"16",1993-10-16,1.33851637355026e-05,52518,10,290,1993.7897260274,1726,1994,16,-11.221363648306,1.33851637355026e-05,NA,-2.25168979871102,0.323310649640855,0.110920484503772,0.000128277116355249,0.110920484503772,0.000128277116355249
"17",1993-10-17,1.33851637355026e-05,52519,10,291,1993.79246575342,1726,1994,17,-11.221363648306,1.33851637355026e-05,NA,-2.25398321571183,0.322327006213349,0.110628098658449,0.000127938978514714,0.110628098658449,0.000127938978514714
"18",1993-10-18,1.33851637355026e-05,52520,10,292,1993.79520547945,1726,1994,18,-11.221363648306,1.33851637355026e-05,NA,-2.25627663271264,0.321343362785844,0.110335712813125,0.000127600840674178,0.110335712813125,0.000127600840674178
"19",1993-10-19,1.33851637355026e-05,52521,10,293,1993.79794520548,1726,1994,19,-11.221363648306,1.33851637355026e-05,NA,-2.25857004971345,0.320359719358338,0.110043326967801,0.000127262702833643,0.110043326967801,0.000127262702833643
"20",1993-10-20,1.33851637355026e-05,52522,10,294,1993.80068493151,1726,1994,20,-11.221363648306,1.33851637355026e-05,NA,-2.26086346671426,0.319376075930833,0.109750941122477,0.000126924564993108,0.109750941122477,0.000126924564993108
