"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-10-01,89,53599,10,275,1996.74931693989,1762,1997,1,4.48863636973214,NA,NA,1.26522627163574,0.45170868408306,3.92701106924479,30197.1443180647,3.50768790828416,109937.859575954
"2",1996-10-02,68,53600,10,276,1996.75204918033,1762,1997,2,4.21950770517611,NA,NA,1.15432098672765,0.462341172234691,3.56693533597797,20956.4584859377,3.49673430193485,101939.169872592
"3",1996-10-03,55,53601,10,277,1996.75478142077,1762,1997,3,4.00733318523247,NA,NA,1.06169323283269,0.469676900640505,3.26921755436238,15535.32181833,3.41521896263868,147742.308726384
"4",1996-10-04,44,53602,10,278,1996.7575136612,1762,1997,4,3.78418963391826,NA,NA,0.964635631198776,0.477514247742145,2.9576970075829,11243.9809440271,3.33452881897769,175033.486881003
"5",1996-10-05,28,53603,10,279,1996.76024590164,1762,1997,5,3.3322045101752,NA,NA,0.792026371170473,0.477656803138442,2.49954262573348,6046.89352017443,3.37622320874014,148991.665903753
"6",1996-10-06,25,53604,10,280,1996.76297814208,1762,1997,6,3.2188758248682,NA,NA,0.749534683413633,0.477153237228928,2.39437569332577,5171.85149758367,3.50641427709537,127571.898605245
"7",1996-10-07,24,53605,10,281,1996.76571038251,1762,1997,7,3.17805383034795,47.5714285714286,NA,0.733676071608521,0.47733618992608,2.35569854284855,4884.77649845076,3.52921284211986,144170.769307045
"8",1996-10-08,24,53606,10,282,1996.76844262295,1762,1997,8,3.17805383034795,38.2857142857143,NA,0.732921480928156,0.477873985467952,2.35466101307586,4882.62507671411,3.55044840554409,154917.699784208
"9",1996-10-09,23,53607,10,283,1996.77117486339,1762,1997,9,3.13549421592915,31.8571428571429,NA,0.716259110665957,0.478088431281786,2.31407981345754,4598.53940530282,3.55983021604902,157931.479050701
"10",1996-10-10,22,53608,10,284,1996.77390710383,1762,1997,10,3.09104245335832,27.1428571428571,NA,0.698779887051948,0.478320256768551,2.27153481736151,4317.73338084077,3.54631043980246,157214.928359386
"11",1996-10-11,23,53609,10,285,1996.77663934426,1762,1997,11,3.13549421592915,24.1428571428571,NA,0.714642699926378,0.479195087217457,2.31180349427527,4594.01590382383,3.59615992441271,148430.561852271
"12",1996-10-12,23,53610,10,286,1996.7793715847,1762,1997,12,3.13549421592915,23.4285714285714,NA,0.713834494556588,0.479748415185292,2.31066533468414,4591.75415308433,3.5617813866995,130043.421383859
"13",1996-10-13,24,53611,10,287,1996.78210382514,1762,1997,13,3.17805383034795,23.2857142857143,NA,0.729148527526269,0.48056296317736,2.34947336421231,4871.86796803065,3.54351199526761,113582.909616988
"14",1996-10-14,26,53612,10,288,1996.78483606557,1762,1997,14,3.25809653802148,23.5714285714286,NA,0.758816183218282,0.481562828239267,2.42375267800748,5444.718015876,3.58043734638074,116957.944184116
"15",1996-10-15,26,53613,10,289,1996.78756830601,1762,1997,15,3.25809653802148,23.8571428571429,NA,0.758162426743566,0.482071411640763,2.42290440472244,5442.81245476848,3.56466958791108,144550.402496439
"16",1996-10-16,26,53614,10,290,1996.79030054645,1762,1997,16,3.25809653802148,24.2857142857143,NA,0.757508670268796,0.482579995042301,2.42205613143732,5440.90689366081,3.53413111694145,147811.997155839
"17",1996-10-17,26,53615,10,291,1996.79303278689,1762,1997,17,3.25809653802148,24.8571428571429,NA,0.75685491379408,0.483088578443797,2.42120785815228,5439.00133255329,3.54890488738933,126375.167168805
"18",1996-10-18,26,53616,10,292,1996.79576502732,1762,1997,18,3.25809653802148,25.2857142857143,NA,0.756201157319364,0.483597161845293,2.42035958486724,5437.09577144577,3.60102144191015,105022.241888512
"19",1996-10-19,26,53617,10,293,1996.79849726776,1762,1997,19,3.25809653802148,25.7142857142857,NA,0.755547400844648,0.484105745246788,2.4195113115822,5435.19021033825,3.55225942388918,109870.841868417
"20",1996-10-20,25,53618,10,294,1996.8012295082,1762,1997,20,3.2188758248682,25.8571428571429,NA,0.739690373884032,0.484473799041539,2.3812015749006,5143.3954017853,3.51617131266426,94231.2905845378
"21",1996-10-21,25,53619,10,295,1996.80396174863,1762,1997,21,3.2188758248682,25.7142857142857,NA,0.73898720891764,0.484996696313862,2.38026056644167,5141.36282351401,3.54014232871388,74147.0734132552
"22",1996-10-22,29,53620,10,296,1996.80669398907,1762,1997,22,3.36729582998647,26.1428571428571,NA,0.796190586640326,0.485943055426987,2.5217840276415,6318.58205965855,3.59355948182826,68838.9198811447
"23",1996-10-23,31,53621,10,297,1996.80942622951,1762,1997,23,3.43398720448515,26.8571428571429,NA,0.821778263729793,0.486577725595301,2.58536693893824,6924.64680925218,3.5037075277895,127247.122415199
"24",1996-10-24,32,53622,10,298,1996.81215846995,1762,1997,24,3.46573590279973,27.7142857142857,NA,0.833812934408924,0.48708952588738,2.61555942798757,7231.49870650003,3.47936555745015,179344.111249299
"25",1996-10-25,36,53623,10,299,1996.81489071038,1762,1997,25,3.58351893845611,29.1428571428571,NA,0.875284067133644,0.487865995682422,2.71774732527839,8453.28128054592,3.45804515666353,182706.891573869
"26",1996-10-26,62,53624,10,300,1996.81762295082,1762,1997,26,4.12713438504509,34.2857142857143,NA,1.09710116984448,0.471012748683413,3.38646340763854,18140.6071820381,3.46585783034261,189165.004355073
"27",1996-10-27,57,53625,10,301,1996.82035519126,1762,1997,27,4.04305126783455,38.8571428571429,NA,1.05740061940463,0.474848051869333,3.26287965450634,16069.0297225128,3.45258223568997,180839.11464181
"28",1996-10-28,52,53626,10,302,1996.82308743169,1762,1997,28,3.95124371858143,42.7142857142857,NA,1.01397567537329,0.479038609966027,3.12861353073031,14056.2348708651,3.44442749198054,172574.771585921
"29",1996-10-29,48,53627,10,303,1996.82581967213,1762,1997,29,3.87120101090789,45.4285714285714,NA,0.975153137423956,0.482786502116872,3.00960848240436,12481.4482982274,3.42368966798999,163458.345707624
"30",1996-10-30,40,53628,10,304,1996.82855191257,1762,1997,30,3.68887945411394,46.7142857142857,35.5,0.891765653419089,0.490602467553154,2.75535056188548,9522.49154187623,3.37069932206727,242686.518303068
"31",1996-10-31,34,53629,10,305,1996.83128415301,1762,1997,31,3.52636052461616,47,33.6666666666667,0.818854709233995,0.491157192792989,2.58356714986687,7589.48685944892,3.36599223865863,255247.449178575
"32",1996-11-01,31,53630,11,306,1996.83401639344,1763,1997,32,3.43398720448515,46.2857142857143,32.4333333333333,0.774317257936063,0.491779809475764,2.47989898541659,6642.1614425398,3.34185468343937,241620.547997344
"33",1996-11-02,28,53631,11,307,1996.83674863388,1763,1997,33,3.3322045101752,41.4285714285714,31.5333333333333,0.725118171573456,0.492474722171324,2.36664217497162,5725.38074969134,3.33782768711957,256886.382897986
"34",1996-11-03,27,53632,11,308,1996.83948087432,1763,1997,34,3.29583686600433,37.1428571428571,30.9666666666667,0.703208153934114,0.493154069630754,2.31734459642586,5405.90147454224,3.37442301958112,269863.990460617
"35",1996-11-04,28,53633,11,309,1996.84221311475,1763,1997,35,3.3322045101752,33.7142857142857,30.9666666666667,0.712455506398745,0.493738614090171,2.33959352464198,5659.94465481387,3.36360021141049,286072.8947796
"36",1996-11-05,29,53634,11,310,1996.84494535519,1763,1997,36,3.36729582998647,31,31.1,0.721408685152422,0.494300793021994,2.36072030259003,5915.02079016957,3.33611274951639,255023.082829557
