"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-10-01,431,53599,10,275,1996.74931693989,1762,1997,1,6.06610809010375,NA,NA,1.27645001529712,0.232563680197788,3.68231422587891,137123.490068969,4.19602624900089,368670.011074339
"2",1996-10-02,419,53600,10,276,1996.75204918033,1762,1997,2,6.03787091992214,NA,NA,1.27569848086579,0.232045044750148,3.68022827086548,133230.151770564,4.17789623335277,605946.877570243
"3",1996-10-03,398,53601,10,277,1996.75478142077,1762,1997,3,5.98645200528444,NA,NA,1.27101057850597,0.231851432783119,3.66467523359809,126017.920192784,4.15885661570897,826213.175075198
"4",1996-10-04,417,53602,10,278,1996.7575136612,1762,1997,4,6.0330862217988,NA,NA,1.2837504495625,0.230617224625616,3.71022333260472,133674.894405749,4.1782992148467,843158.65803641
"5",1996-10-05,407,53603,10,279,1996.76024590164,1762,1997,5,6.00881318544259,NA,NA,1.28401271418491,0.230137730191481,3.71191405165824,130528.715243752,4.23592890817152,616839.44002836
"6",1996-10-06,397,53604,10,280,1996.76297814208,1762,1997,6,5.98393628068719,NA,NA,1.28428905858944,0.229666780903675,3.71354625216596,127377.607286294,4.19224007585122,658788.072589985
"7",1996-10-07,401,53605,10,281,1996.76571038251,1762,1997,7,5.99396142730657,410,NA,1.2905482138315,0.228821548704537,3.73634999852835,129451.076589013,4.20686599387157,627085.64807003
"8",1996-10-08,418,53606,10,282,1996.76844262295,1762,1997,8,6.03548143252476,408.142857142857,NA,1.30197374726547,0.227634482285052,3.77765025864319,136430.594620951,4.23143085473365,620388.739599103
"9",1996-10-09,419,53607,10,283,1996.77117486339,1762,1997,9,6.03787091992214,408.142857142857,NA,1.30681453132844,0.226869206686609,3.79553564940683,137404.463365566,4.24106408427196,646816.314826535
"10",1996-10-10,407,53608,10,284,1996.77390710383,1762,1997,10,6.00881318544259,409.428571428571,NA,1.30658854436209,0.226446863625912,3.7951927607198,133457.19439216,4.24752321107198,726478.042403511
"11",1996-10-11,406,53609,10,285,1996.77663934426,1762,1997,11,6.00635315960173,407.857142857143,NA,1.31071417979864,0.225735637103834,3.81044042903731,133664.153545942,4.25672566023992,687237.385735974
"12",1996-10-12,418,53610,10,286,1996.7793715847,1762,1997,12,6.03548143252476,409.428571428571,NA,1.31977737785625,0.224677265816689,3.84360046860602,138812.3996438,4.26078549911767,534576.488773175
"13",1996-10-13,401,53611,10,287,1996.78210382514,1762,1997,13,5.99396142730657,410,NA,1.31785392607625,0.224396287348033,3.83684644519841,132932.916678922,4.29574471083062,465114.657665877
"14",1996-10-14,407,53612,10,288,1996.78483606557,1762,1997,14,6.00881318544259,410.857142857143,NA,1.32464920850354,0.223494170373506,3.86181572796794,135799.977710847,4.32953974149525,449376.086853078
"15",1996-10-15,413,53613,10,289,1996.78756830601,1762,1997,15,6.02344759296103,410.142857142857,NA,1.33134059759619,0.222593211585876,3.88647875439689,138681.998688895,4.35401025318824,463476.821972661
"16",1996-10-16,420,53614,10,290,1996.79030054645,1762,1997,16,6.04025471127741,410.285714285714,NA,1.33827932182481,0.221666751499125,3.91213229663476,141963.456780282,4.38281345235269,464016.953585758
"17",1996-10-17,466,53615,10,291,1996.79303278689,1762,1997,17,6.14418563412565,418.714285714286,NA,1.36116937935429,0.220564830818698,4.00269062361198,161157.930964115,4.37620153723856,446152.277069531
"18",1996-10-18,583,53616,10,292,1996.79576502732,1762,1997,18,6.36818718635049,444,NA,1.4068807362397,0.219732179309971,4.18911631508801,211010.815730561,4.36013444276288,536886.71529085
"19",1996-10-19,510,53617,10,293,1996.79849726776,1762,1997,19,6.23441072571837,457.142857142857,NA,1.38592610815788,0.219132523387434,4.10187652232948,180745.087079926,4.32384060007696,563172.078467915
"20",1996-10-20,475,53618,10,294,1996.8012295082,1762,1997,20,6.16331480403464,467.714285714286,NA,1.37703098550047,0.218441555067936,4.06371560400755,166774.88838847,4.34320735683902,503187.692653427
"21",1996-10-21,403,53619,10,295,1996.80396174863,1762,1997,21,5.99893656194668,467.142857142857,NA,1.35492944746761,0.218439332331143,3.97337561478539,138349.760206335,4.34454181946727,453286.328361513
"22",1996-10-22,485,53620,10,296,1996.80669398907,1762,1997,22,6.18414889093748,477.428571428571,NA,1.38881614685828,0.217059978589335,4.10969962214874,172212.852966521,4.36563536590063,432712.081820113
"23",1996-10-23,545,53621,10,297,1996.80942622951,1762,1997,23,6.30078579466324,495.285714285714,NA,1.41272954652668,0.216535387360277,4.20865185165782,198176.998390864,4.39880618976124,488678.111585396
"24",1996-10-24,642,53622,10,298,1996.81215846995,1762,1997,24,6.46458830368996,520.428571428571,NA,1.44384333442155,0.216191090282719,4.33894079474486,240675.839155544,4.40387962391999,540434.457877795
"25",1996-10-25,698,53623,10,299,1996.81489071038,1762,1997,25,6.54821910276237,536.857142857143,NA,1.4605304752235,0.216478423519035,4.41101543660097,266015.990138182,4.42197559521461,502054.353624018
"26",1996-10-26,622,53624,10,300,1996.81762295082,1762,1997,26,6.43294009273918,552.857142857143,NA,1.44607461971505,0.216212134096802,4.35029378310038,233788.268138841,4.43972210391409,471488.750324002
"27",1996-10-27,541,53625,10,301,1996.82035519126,1762,1997,27,6.29341927884648,562.285714285714,NA,1.42784321976753,0.215878345627394,4.27330608012395,199744.582119586,4.45746653123942,456032.802542883
"28",1996-10-28,515,53626,10,302,1996.82308743169,1762,1997,28,6.24416690066374,578.285714285714,NA,1.42447318011155,0.215742419895412,4.25938789926616,189525.723965747,4.46804564152124,441667.646401821
"29",1996-10-29,698,53627,10,303,1996.82581967213,1762,1997,29,6.54821910276237,608.714285714286,NA,1.47419594079604,0.216986145541789,4.47402076403681,269815.665020921,4.48300278164227,434759.896185278
"30",1996-10-30,906,53628,10,304,1996.82855191257,1762,1997,30,6.80903930604298,660.285714285714,488.933333333333,1.49751749142214,0.220662512196941,4.58304449181303,358753.389947937,4.46763710903154,515323.622789985
"31",1996-10-31,808,53629,10,305,1996.83128415301,1762,1997,31,6.69456205852109,684,501.5,1.49155559016702,0.219307661329759,4.55505860635919,317994.107380263,4.46794475305953,514419.887861935
"32",1996-11-01,850,53630,11,306,1996.83401639344,1763,1997,32,6.74523634948436,705.714285714286,515.866666666667,1.49775330788779,0.22025302566153,4.58419458525611,336663.250341209,4.49442724709112,468887.294987642
"33",1996-11-02,753,53631,11,307,1996.83674863388,1763,1997,33,6.62406522779989,724.428571428571,527.7,1.49265217339353,0.21864437718864,4.55979791226495,296656.804333628,4.52020610413789,444800.810389609
"34",1996-11-03,684,53632,11,308,1996.83948087432,1763,1997,34,6.52795791762255,744.857142857143,536.6,1.48933411919725,0.217401886767289,4.5440015438252,268539.585636364,4.5382430797467,432847.064495454
