"Year","Discharge","Conc_mgL","FNConc_mgL","Flux_106_kg_y","FNFlux_106_kg_y","site"
1982,17375,0.961,0.965,476,450,"ALBION"
1983,18838,0.985,0.945,606,442,"ALBION"
1984,27222,1.42,0.933,1255,434,"ALBION"
1985,10650,0.903,0.93,307,434,"ALBION"
1986,10939,0.9,0.93,281,432,"ALBION"
1987,5176,0.897,0.932,147,429,"ALBION"
1988,6524,0.888,0.929,174,415,"ALBION"
1989,9247,0.929,0.95,239,404,"ALBION"
1990,15659,0.97,0.992,464,406,"ALBION"
1991,14362,0.923,1.03,399,423,"ALBION"
1992,14913,1.049,1.061,436,446,"ALBION"
1993,20221,1.132,1.084,639,468,"ALBION"
1994,11488,1.019,1.102,368,483,"ALBION"
1995,17979,1.035,1.11,569,494,"ALBION"
1996,15055,1.097,1.105,531,497,"ALBION"
1997,17910,1.055,1.1,598,504,"ALBION"
1998,14048,1.1,1.111,480,514,"ALBION"
1999,15976,1.148,1.144,510,528,"ALBION"
2000,11932,1.196,1.2,457,541,"ALBION"
2001,11629,1.249,1.249,452,557,"ALBION"
2002,7438,1.278,1.284,299,569,"ALBION"
2003,14248,1.296,1.308,558,577,"ALBION"
2004,13329,1.303,1.325,545,580,"ALBION"
2005,15906,1.299,1.33,655,581,"ALBION"
2006,16275,1.286,1.32,642,571,"ALBION"
2007,10840,1.258,1.296,429,559,"ALBION"
2008,11798,1.222,1.254,440,547,"ALBION"
2009,12873,1.219,1.218,498,546,"ALBION"
2010,11980,1.2,1.209,473,549,"ALBION"
2011,20600,1.121,1.206,687,549,"ALBION"
2012,16239,1.106,1.207,548,542,"ALBION"
2013,21677,1.162,1.21,819,543,"ALBION"
2014,15940,1.219,1.215,617,543,"ALBION"
2015,17579,1.205,1.219,710,545,"ALBION"
2016,15554,1.129,1.221,553,546,"ALBION"
2017,13025,1.27,1.222,494,552,"ALBION"
2018,10962,1.243,1.225,444,557,"ALBION"
2019,16224,1.142,1.227,590,563,"ALBION"
1993,8.7481,0.723,0.748,0.11301,0.199,"Andersen Creek at H1"
1994,2.7372,0.962,0.731,0.06727,0.198,"Andersen Creek at H1"
1995,6.645,0.821,0.716,0.07969,0.197,"Andersen Creek at H1"
1996,5.9555,0.766,0.694,0.07505,0.196,"Andersen Creek at H1"
1997,1.4403,0.771,0.692,0.02164,0.197,"Andersen Creek at H1"
1998,16.0712,0.565,0.68,0.20266,0.195,"Andersen Creek at H1"
1999,12.6231,0.569,0.669,0.18272,0.194,"Andersen Creek at H1"
2000,9.8498,0.592,0.666,0.15801,0.195,"Andersen Creek at H1"
2001,78.5475,0.534,0.664,0.75374,0.198,"Andersen Creek at H1"
2002,4.9115,0.666,0.679,0.06102,0.204,"Andersen Creek at H1"
2003,7.2968,0.833,0.668,0.1011,0.204,"Andersen Creek at H1"
2004,12.9815,0.807,0.684,0.1492,0.208,"Andersen Creek at H1"
2005,21.4913,0.634,0.687,0.24688,0.206,"Andersen Creek at H1"
2006,23.851,0.488,0.665,0.30409,0.199,"Andersen Creek at H1"
2007,29.9315,0.609,0.63,0.30303,0.189,"Andersen Creek at H1"
2008,54.4287,0.538,0.585,0.43425,0.18,"Andersen Creek at H1"
2009,11.1331,0.593,0.553,0.12505,0.173,"Andersen Creek at H1"
2010,26.2131,0.509,0.528,0.19233,0.166,"Andersen Creek at H1"
2011,22.7962,0.486,0.508,0.18174,0.158,"Andersen Creek at H1"
2012,9.3945,0.549,0.489,0.09196,0.152,"Andersen Creek at H1"
2013,45.1564,0.368,0.473,0.34767,0.145,"Andersen Creek at H1"
2014,5.5852,0.536,0.458,0.0564,0.138,"Andersen Creek at H1"
2015,23.013,0.407,0.449,0.19416,0.133,"Andersen Creek at H1"
2016,0.0686,0.437,0.438,0.00128,0.127,"Andersen Creek at H1"
2017,2.6455,0.435,0.407,0.02931,0.124,"Andersen Creek at H1"
1997,1914,4.22,4.19,253,254,"BK01.0M"
1998,1795,4.21,4.19,240,255,"BK01.0M"
1999,1537,4.16,4.2,186,257,"BK01.0M"
2000,1502,4.13,4.2,181,257,"BK01.0M"
2001,1861,4.16,4.21,226,259,"BK01.0M"
2002,2260,4.21,4.21,277,259,"BK01.0M"
2003,1625,4.33,4.23,198,255,"BK01.0M"
2004,1840,4.29,4.31,213,258,"BK01.0M"
2005,1352,4.39,4.47,172,264,"BK01.0M"
2006,1135,4.5,4.66,146,272,"BK01.0M"
2007,1256,4.84,4.78,175,277,"BK01.0M"
2008,1844,4.71,4.84,239,280,"BK01.0M"
2009,1144,4.49,4.83,145,279,"BK01.0M"
2010,2186,4.82,4.8,325,274,"BK01.0M"
2011,2529,4.92,4.74,368,269,"BK01.0M"
2012,1288,4.45,4.66,169,262,"BK01.0M"
2013,2200,4.55,4.56,244,254,"BK01.0M"
2014,2187,4.47,4.47,250,245,"BK01.0M"
2015,1956,4.51,4.46,255,240,"BK01.0M"
2016,2773,4.47,4.51,389,238,"BK01.0M"
2017,2957,4.47,4.61,387,239,"BK01.0M"
2018,1758,4.68,4.74,211,240,"BK01.0M"
2019,3705,4.87,4.9,453,243,"BK01.0M"
1993,23.927,0.771,0.736,0.4514,0.512,"Canada Stream at F1"
1994,6.835,0.823,0.729,0.16889,0.509,"Canada Stream at F1"
1995,15.708,0.772,0.721,0.32111,0.502,"Canada Stream at F1"
1996,16.537,0.737,0.714,0.33033,0.502,"Canada Stream at F1"
1997,11.472,0.791,0.707,0.2382,0.498,"Canada Stream at F1"
1998,23.101,0.701,0.7,0.42747,0.495,"Canada Stream at F1"
1999,13.579,0.739,0.695,0.28501,0.494,"Canada Stream at F1"
2000,14.967,0.71,0.688,0.28994,0.492,"Canada Stream at F1"
2001,137.38,0.476,0.686,1.45623,0.486,"Canada Stream at F1"
2002,22.192,0.687,0.69,0.39219,0.479,"Canada Stream at F1"
2003,16.545,0.708,0.691,0.31505,0.474,"Canada Stream at F1"
2004,37.193,0.637,0.691,0.56383,0.47,"Canada Stream at F1"
2005,44.619,0.578,0.692,0.6855,0.469,"Canada Stream at F1"
2006,22.2,0.637,0.691,0.34513,0.468,"Canada Stream at F1"
2007,43.84,0.631,0.683,0.62294,0.465,"Canada Stream at F1"
2008,99.945,0.513,0.673,1.11468,0.461,"Canada Stream at F1"
2009,27.666,0.609,0.666,0.44581,0.458,"Canada Stream at F1"
2010,71.077,0.623,0.653,0.80789,0.45,"Canada Stream at F1"
2011,54.03,0.571,0.636,0.6527,0.446,"Canada Stream at F1"
2012,37.184,0.57,0.614,0.51718,0.442,"Canada Stream at F1"
2013,67.616,0.504,0.595,0.81755,0.44,"Canada Stream at F1"
