"LTER","GageType","DischargeSiteName","StreamSiteName","Date","Time","Discharge","Units"
"NWT","LTER","mar","Martinelli Stream",1982-07-06,NA,923,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-07,NA,1011,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-08,NA,1073,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-09,NA,1062,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-10,NA,1115,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-11,NA,976,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-12,NA,1063,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-13,NA,1001,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-14,NA,999,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-15,NA,891,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-16,NA,993,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-17,NA,1100,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-18,NA,982,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-19,NA,995,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-20,NA,876,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-21,NA,800,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-22,NA,784,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-23,NA,898,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-24,NA,1082,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-25,NA,984,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-26,NA,864,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-27,NA,787,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-28,NA,894,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-29,NA,904,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-30,NA,863,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-07-31,NA,846,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-01,NA,787,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-02,NA,790,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-03,NA,869,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-04,NA,726,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-05,NA,723,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-06,NA,672,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-07,NA,694,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-08,NA,668,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-09,NA,712,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-10,NA,685,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-11,NA,689,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-12,NA,730,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-13,NA,747,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-14,NA,760,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-15,NA,661,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-16,NA,589,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-17,NA,567,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-18,NA,557,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-19,NA,504,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-20,NA,472,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-21,NA,448,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-22,NA,431,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-23,NA,434,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-24,NA,400,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-25,NA,388,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-26,NA,359,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-27,NA,351,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-28,NA,338,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-29,NA,327,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-30,NA,320,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-08-31,NA,322,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-01,NA,319,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-02,NA,315,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-03,NA,299,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-04,NA,284,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-05,NA,280,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-06,NA,247,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-07,NA,229,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-08,NA,209,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-09,NA,193,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-10,NA,187,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-11,NA,186,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-12,NA,186,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-13,NA,175,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-14,NA,170,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-15,NA,153,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-16,NA,123,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-17,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-18,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-19,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-20,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-21,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-22,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-23,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-24,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-25,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-26,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-27,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-28,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-29,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-09-30,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-10-01,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-10-02,NA,NA,"cmd"
"NWT","LTER","mar","Martinelli Stream",1982-10-03,NA,NA,"cmd"
