"","day","month","year","flow","hyear","baseflow","date"
"1",17,6,1992,0.000636667,1992,NA,1992-06-17
"2",18,6,1992,0.000415,1992,NA,1992-06-18
"3",19,6,1992,0.00037,1992,NA,1992-06-19
"4",20,6,1992,0.000243333,1992,NA,1992-06-20
"5",21,6,1992,0.00033,1992,NA,1992-06-21
"6",22,6,1992,0.00037,1992,NA,1992-06-22
"7",23,6,1992,0.00037,1992,NA,1992-06-23
"8",24,6,1992,0.00037,1992,NA,1992-06-24
"9",25,6,1992,0.0008425,1992,NA,1992-06-25
"10",26,6,1992,0.00264,1992,NA,1992-06-26
"11",27,6,1992,0.001676667,1992,NA,1992-06-27
"12",28,6,1992,0.000756667,1992,NA,1992-06-28
"13",29,6,1992,0.000415,1992,NA,1992-06-29
"14",30,6,1992,0.0003925,1992,0.0003925,1992-06-30
"15",1,7,1992,0.010105714,1992,0.000377857142857143,1992-07-01
"16",2,7,1992,0.00286,1992,0.000363214285714286,1992-07-02
"17",3,7,1992,0.0013425,1992,0.000348571428571429,1992-07-03
"18",4,7,1992,0.00057,1992,0.000333928571428571,1992-07-04
"19",5,7,1992,0.000415,1992,0.000319285714285714,1992-07-05
"20",6,7,1992,0.0003525,1992,NA,1992-07-06
"21",7,7,1992,0.00029,1992,0.00029,1992-07-07
"22",8,7,1992,0.00029,1992,0.00029,1992-07-08
"23",9,7,1992,0.00029,1992,0.00029,1992-07-09
"24",10,7,1992,0.00029,1992,0.00029,1992-07-10
"25",11,7,1992,0.00029,1992,0.00029,1992-07-11
"26",12,7,1992,0.00029,1992,0.00029,1992-07-12
"27",13,7,1992,0.00029,1992,0.00029,1992-07-13
"28",14,7,1992,0.00029,1992,0.00029,1992-07-14
"29",15,7,1992,0.00029,1992,0.00029,1992-07-15
"30",16,7,1992,0.00029,1992,0.00029,1992-07-16
"31",17,7,1992,0.00029,1992,0.00029,1992-07-17
"32",18,7,1992,0.00029,1992,0.00029,1992-07-18
"33",19,7,1992,0.00029,1992,0.00029,1992-07-19
"34",20,7,1992,0.00029,1992,0.00029,1992-07-20
"35",21,7,1992,0.00029,1992,0.00029,1992-07-21
"36",22,7,1992,0.00029,1992,0.00029,1992-07-22
"37",23,7,1992,0.00029,1992,0.0002875,1992-07-23
"38",24,7,1992,0.00029,1992,0.000285,1992-07-24
"39",25,7,1992,0.00029,1992,0.0002825,1992-07-25
"40",26,7,1992,0.00029,1992,0.00028,1992-07-26
"41",27,7,1992,0.00029,1992,0.0002775,1992-07-27
"42",28,7,1992,0.00029,1992,0.000275,1992-07-28
"43",29,7,1992,0.00029,1992,0.0002725,1992-07-29
"44",30,7,1992,0.00029,1992,0.00027,1992-07-30
"45",31,7,1992,0.00029,1992,0.0002675,1992-07-31
"46",1,8,1992,0.00029,1992,0.000265,1992-08-01
"47",2,8,1992,0.00029,1992,0.0002625,1992-08-02
"48",3,8,1992,0.00029,1992,0.00026,1992-08-03
"49",4,8,1992,0.00029,1992,0.0002575,1992-08-04
"50",5,8,1992,0.000255,1992,0.000255,1992-08-05
"51",6,8,1992,0.000255,1992,0.000255,1992-08-06
"52",7,8,1992,0.00029,1992,0.0002755,1992-08-07
"53",8,8,1992,0.000375,1992,0.000296,1992-08-08
"54",9,8,1992,0.000905,1992,0.0003165,1992-08-09
"55",10,8,1992,0.000903333,1992,0.000337,1992-08-10
"56",11,8,1992,0.00046,1992,0.0003575,1992-08-11
"57",12,8,1992,0.00046,1992,0.000378,1992-08-12
"58",13,8,1992,0.00046,1992,0.0003985,1992-08-13
"59",14,8,1992,0.00046,1992,0.000419,1992-08-14
"60",15,8,1992,0.00046,1992,0.0004395,1992-08-15
"61",16,8,1992,0.00046,1992,0.00046,1992-08-16
"62",17,8,1992,0.000533333,1992,0.0004599121522694,1992-08-17
"63",18,8,1992,0.00057,1992,0.000459824304538799,1992-08-18
"64",19,8,1992,0.0006475,1992,0.000459736456808199,1992-08-19
"65",20,8,1992,0.000943333,1992,0.000459648609077599,1992-08-20
"66",21,8,1992,0.000746667,1992,0.000459560761346999,1992-08-21
"67",22,8,1992,0.00067,1992,0.000459472913616398,1992-08-22
"68",23,8,1992,0.00067,1992,0.000459385065885798,1992-08-23
"69",24,8,1992,0.000636667,1992,0.000459297218155198,1992-08-24
"70",25,8,1992,0.005033333,1992,0.000459209370424597,1992-08-25
"71",26,8,1992,0.00921,1992,0.000459121522693997,1992-08-26
"72",27,8,1992,0.00278,1992,0.000459033674963397,1992-08-27
"73",28,8,1992,0.0011,1992,0.000458945827232797,1992-08-28
"74",29,8,1992,0.00117,1992,0.000458857979502196,1992-08-29
"75",30,8,1992,0.0011693795620438,1992,NA,1992-08-30
"76",31,8,1992,0.00116875912408759,1992,NA,1992-08-31
"319",1,5,1993,0.00101799270072993,1993,NA,1993-05-01
"320",2,5,1993,0.00101737226277372,1993,NA,1993-05-02
"321",3,5,1993,0.00101675182481752,1993,NA,1993-05-03
"322",4,5,1993,0.00101613138686131,1993,NA,1993-05-04
"323",5,5,1993,0.00101551094890511,1993,NA,1993-05-05
"324",6,5,1993,0.00101489051094891,1993,NA,1993-05-06
"325",7,5,1993,0.0010142700729927,1993,NA,1993-05-07
"326",8,5,1993,0.0010136496350365,1993,NA,1993-05-08
"327",9,5,1993,0.00101302919708029,1993,NA,1993-05-09
"328",10,5,1993,0.00101240875912409,1993,NA,1993-05-10
"329",11,5,1993,0.00101178832116788,1993,NA,1993-05-11
"330",12,5,1993,0.00101116788321168,1993,NA,1993-05-12
"331",13,5,1993,0.00101054744525547,1993,NA,1993-05-13
"332",14,5,1993,0.00100992700729927,1993,NA,1993-05-14
"333",15,5,1993,0.00100930656934307,1993,NA,1993-05-15
"334",16,5,1993,0.00100868613138686,1993,NA,1993-05-16
"335",17,5,1993,0.00100806569343066,1993,NA,1993-05-17
"336",18,5,1993,0.00100744525547445,1993,NA,1993-05-18
"337",19,5,1993,0.00100682481751825,1993,NA,1993-05-19
"338",20,5,1993,0.00100620437956204,1993,NA,1993-05-20
"339",21,5,1993,0.00100558394160584,1993,NA,1993-05-21
"340",22,5,1993,0.00100496350364964,1993,NA,1993-05-22
"341",23,5,1993,0.00100434306569343,1993,NA,1993-05-23
"342",24,5,1993,0.00100372262773723,1993,NA,1993-05-24
"343",25,5,1993,0.00100310218978102,1993,NA,1993-05-25
"344",26,5,1993,0.00100248175182482,1993,NA,1993-05-26
"345",27,5,1993,0.00100186131386861,1993,NA,1993-05-27
"346",28,5,1993,0.00100124087591241,1993,NA,1993-05-28
"347",29,5,1993,0.0010006204379562,1993,NA,1993-05-29
"348",30,5,1993,0.001,1993,0.000434787701317716,1993-05-30
"349",31,5,1993,0.00155,1993,NA,1993-05-31
"350",1,6,1993,0.0021,1993,NA,1993-06-01
"351",2,6,1993,0.00265,1993,NA,1993-06-02
"352",3,6,1993,0.0032,1993,NA,1993-06-03
"353",4,6,1993,0.00375,1993,NA,1993-06-04
"354",5,6,1993,0.0043,1993,NA,1993-06-05
"355",6,6,1993,0.00485,1993,NA,1993-06-06
"356",7,6,1993,0.0054,1993,NA,1993-06-07
"357",8,6,1993,0.00595,1993,NA,1993-06-08
"358",9,6,1993,0.0065,1993,0.000433909224011713,1993-06-09
"359",10,6,1993,0.00604285714285714,1993,NA,1993-06-10
"360",11,6,1993,0.00558571428571429,1993,NA,1993-06-11
"361",12,6,1993,0.00512857142857143,1993,NA,1993-06-12
"362",13,6,1993,0.00467142857142857,1993,NA,1993-06-13
"363",14,6,1993,0.00421428571428571,1993,NA,1993-06-14
"364",15,6,1993,0.00375714285714286,1993,NA,1993-06-15
"365",16,6,1993,0.0033,1993,NA,1993-06-16
"366",17,6,1993,0.00284285714285714,1993,NA,1993-06-17
"367",18,6,1993,0.00238571428571429,1993,NA,1993-06-18
"368",19,6,1993,0.00192857142857143,1993,NA,1993-06-19
"369",20,6,1993,0.00147142857142857,1993,NA,1993-06-20
"370",21,6,1993,0.00101428571428571,1993,NA,1993-06-21
"371",22,6,1993,0.000557142857142857,1993,NA,1993-06-22
"372",23,6,1993,1e-04,1993,1e-04,1993-06-23
"373",24,6,1993,8.71428571428572e-05,1993,NA,1993-06-24
"374",25,6,1993,7.42857142857143e-05,1993,NA,1993-06-25
"375",26,6,1993,6.14285714285714e-05,1993,NA,1993-06-26
"376",27,6,1993,4.85714285714286e-05,1993,NA,1993-06-27
"377",28,6,1993,3.57142857142857e-05,1993,NA,1993-06-28
"378",29,6,1993,2.28571428571429e-05,1993,NA,1993-06-29
"379",30,6,1993,1e-05,1993,1e-05,1993-06-30
"380",1,7,1993,0.000688571428571429,1993,NA,1993-07-01
"381",2,7,1993,0.00136714285714286,1993,NA,1993-07-02
"382",3,7,1993,0.00204571428571429,1993,NA,1993-07-03
"383",4,7,1993,0.00272428571428571,1993,NA,1993-07-04
"384",5,7,1993,0.00340285714285714,1993,NA,1993-07-05
"385",6,7,1993,0.00408142857142857,1993,NA,1993-07-06
"386",7,7,1993,0.00476,1993,0.000431449487554905,1993-07-07
"387",8,7,1993,0.00409,1993,NA,1993-07-08
"388",9,7,1993,0.00342,1993,NA,1993-07-09
"389",10,7,1993,0.00275,1993,NA,1993-07-10
"390",11,7,1993,0.00208,1993,NA,1993-07-11
"391",12,7,1993,0.00141,1993,NA,1993-07-12
"392",13,7,1993,0.00074,1993,NA,1993-07-13
