,Date,Q,month,site
6,6/17/1992,0.000636667,6,TW_Weir
7,6/18/1992,0.000415,6,TW_Weir
8,6/19/1992,0.00037,6,TW_Weir
9,6/20/1992,0.000243333,6,TW_Weir
10,6/21/1992,0.00033,6,TW_Weir
11,6/22/1992,0.00037,6,TW_Weir
12,6/23/1992,0.00037,6,TW_Weir
13,6/24/1992,0.00037,6,TW_Weir
14,6/25/1992,0.0008425,6,TW_Weir
15,6/26/1992,0.00264,6,TW_Weir
16,6/27/1992,0.001676667,6,TW_Weir
17,6/28/1992,0.000756667,6,TW_Weir
18,6/29/1992,0.000415,6,TW_Weir
19,6/30/1992,0.0003925,6,TW_Weir
20,7/1/1992,0.010105714,7,TW_Weir
21,7/2/1992,0.00286,7,TW_Weir
22,7/3/1992,0.0013425,7,TW_Weir
23,7/4/1992,0.00057,7,TW_Weir
24,7/5/1992,0.000415,7,TW_Weir
25,7/6/1992,NA,7,TW_Weir
26,7/7/1992,0.00029,7,TW_Weir
27,7/8/1992,0.00029,7,TW_Weir
28,7/9/1992,0.00029,7,TW_Weir
29,7/10/1992,0.00029,7,TW_Weir
30,7/11/1992,0.00029,7,TW_Weir
31,7/12/1992,0.00029,7,TW_Weir
32,7/13/1992,0.00029,7,TW_Weir
33,7/14/1992,0.00029,7,TW_Weir
34,7/15/1992,0.00029,7,TW_Weir
35,7/16/1992,0.00029,7,TW_Weir
36,7/17/1992,0.00029,7,TW_Weir
37,7/18/1992,0.00029,7,TW_Weir
38,7/19/1992,0.00029,7,TW_Weir
39,7/20/1992,0.00029,7,TW_Weir
40,7/21/1992,0.00029,7,TW_Weir
41,7/22/1992,0.00029,7,TW_Weir
42,7/23/1992,0.00029,7,TW_Weir
43,7/24/1992,0.00029,7,TW_Weir
44,7/25/1992,0.00029,7,TW_Weir
45,7/26/1992,0.00029,7,TW_Weir
46,7/27/1992,0.00029,7,TW_Weir
47,7/28/1992,0.00029,7,TW_Weir
48,7/29/1992,0.00029,7,TW_Weir
49,7/30/1992,0.00029,7,TW_Weir
50,7/31/1992,0.00029,7,TW_Weir
51,8/1/1992,0.00029,8,TW_Weir
52,8/2/1992,0.00029,8,TW_Weir
53,8/3/1992,0.00029,8,TW_Weir
54,8/4/1992,0.00029,8,TW_Weir
55,8/5/1992,0.000255,8,TW_Weir
56,8/6/1992,0.000255,8,TW_Weir
57,8/7/1992,0.00029,8,TW_Weir
58,8/8/1992,0.000375,8,TW_Weir
59,8/9/1992,0.000905,8,TW_Weir
60,8/10/1992,0.000903333,8,TW_Weir
61,8/11/1992,0.00046,8,TW_Weir
62,8/12/1992,0.00046,8,TW_Weir
63,8/13/1992,0.00046,8,TW_Weir
64,8/14/1992,0.00046,8,TW_Weir
65,8/15/1992,0.00046,8,TW_Weir
66,8/16/1992,0.00046,8,TW_Weir
67,8/17/1992,0.000533333,8,TW_Weir
68,8/18/1992,0.00057,8,TW_Weir
69,8/19/1992,0.0006475,8,TW_Weir
70,8/20/1992,0.000943333,8,TW_Weir
71,8/21/1992,0.000746667,8,TW_Weir
72,8/22/1992,0.00067,8,TW_Weir
73,8/23/1992,0.00067,8,TW_Weir
74,8/24/1992,0.000636667,8,TW_Weir
75,8/25/1992,0.005033333,8,TW_Weir
76,8/26/1992,0.00921,8,TW_Weir
77,8/27/1992,0.00278,8,TW_Weir
78,8/28/1992,0.0011,8,TW_Weir
79,8/29/1992,0.00117,8,TW_Weir
353,5/30/1993,0.001,5,TW_Weir
354,5/31/1993,NA,5,TW_Weir
355,6/1/1993,NA,6,TW_Weir
356,6/2/1993,NA,6,TW_Weir
357,6/3/1993,NA,6,TW_Weir
358,6/4/1993,NA,6,TW_Weir
359,6/5/1993,NA,6,TW_Weir
360,6/6/1993,NA,6,TW_Weir
361,6/7/1993,NA,6,TW_Weir
362,6/8/1993,NA,6,TW_Weir
363,6/9/1993,0.0065,6,TW_Weir
364,6/10/1993,NA,6,TW_Weir
365,6/11/1993,NA,6,TW_Weir
366,6/12/1993,NA,6,TW_Weir
