"","Date","Q","month","site"
"1",1993-06-12,0.451954545454545,6,"Toolik"
"2",1993-06-13,0.357625,6,"Toolik"
"3",1993-06-14,0.291041666666667,6,"Toolik"
"4",1993-06-15,0.241375,6,"Toolik"
"5",1993-06-16,0.209875,6,"Toolik"
"6",1993-06-17,0.188833333333333,6,"Toolik"
"7",1993-06-18,0.172125,6,"Toolik"
"8",1993-06-19,0.168458333333333,6,"Toolik"
"9",1993-06-20,0.152375,6,"Toolik"
"10",1993-06-21,0.142041666666667,6,"Toolik"
"11",1993-06-22,0.132833333333333,6,"Toolik"
"12",1993-06-23,0.144416666666667,6,"Toolik"
"13",1993-06-24,0.164583333333333,6,"Toolik"
"14",1993-06-25,0.173333333333333,6,"Toolik"
"15",1993-06-26,0.174208333333333,6,"Toolik"
"16",1993-06-27,0.166333333333333,6,"Toolik"
"17",1993-06-28,0.164333333333333,6,"Toolik"
"18",1993-06-29,0.187666666666667,6,"Toolik"
"19",1993-06-30,0.17925,6,"Toolik"
"20",1993-07-01,0.160583333333333,7,"Toolik"
"21",1993-07-02,0.145916666666667,7,"Toolik"
"22",1993-07-03,0.135583333333333,7,"Toolik"
"23",1993-07-04,0.1325,7,"Toolik"
"24",1993-07-05,0.18825,7,"Toolik"
"25",1993-07-06,3.21779166666667,7,"Toolik"
"26",1993-07-07,4.46583333333333,7,"Toolik"
"27",1993-07-08,1.67708333333333,7,"Toolik"
"28",1993-07-09,0.991458333333333,7,"Toolik"
"29",1993-07-10,0.6915,7,"Toolik"
"30",1993-07-11,0.529833333333333,7,"Toolik"
"31",1993-07-12,0.42,7,"Toolik"
"32",1993-07-13,0.344833333333333,7,"Toolik"
"33",1993-07-14,0.282,7,"Toolik"
"34",1993-07-15,0.239583333333333,7,"Toolik"
"35",1993-07-16,0.214833333333333,7,"Toolik"
"36",1993-07-17,0.197791666666667,7,"Toolik"
"37",1993-07-18,0.18925,7,"Toolik"
"38",1993-07-19,0.177916666666667,7,"Toolik"
"39",1993-07-20,0.169708333333333,7,"Toolik"
"40",1993-07-21,0.170416666666667,7,"Toolik"
"41",1993-07-22,0.170333333333333,7,"Toolik"
"42",1993-07-23,0.168458333333333,7,"Toolik"
"43",1993-07-24,0.16475,7,"Toolik"
"44",1993-07-25,0.164625,7,"Toolik"
"45",1993-07-26,0.16075,7,"Toolik"
"46",1993-07-27,0.160791666666667,7,"Toolik"
"47",1993-07-28,0.172916666666667,7,"Toolik"
"48",1993-07-29,0.18475,7,"Toolik"
"49",1993-07-30,0.245958333333333,7,"Toolik"
"50",1993-07-31,0.39675,7,"Toolik"
"51",1993-08-01,0.517083333333333,8,"Toolik"
"52",1993-08-02,0.557833333333333,8,"Toolik"
"53",1993-08-03,0.552458333333333,8,"Toolik"
"54",1993-08-04,0.521708333333333,8,"Toolik"
"55",1993-08-05,0.75225,8,"Toolik"
"56",1993-08-06,1.37208333333333,8,"Toolik"
"57",1993-08-07,1.31666666666667,8,"Toolik"
"58",1993-08-08,1.17833333333333,8,"Toolik"
"59",1993-08-09,1.062625,8,"Toolik"
"60",1993-08-10,0.91575,8,"Toolik"
"61",1993-08-11,0.771125,8,"Toolik"
"62",1993-08-12,0.711125,8,"Toolik"
"63",1993-08-13,0.724583333333333,8,"Toolik"
"64",1993-08-14,0.6775,8,"Toolik"
"65",1993-08-15,0.624708333333333,8,"Toolik"
"66",1993-08-16,0.594958333333333,8,"Toolik"
"67",1993-08-17,0.555333333333333,8,"Toolik"
"68",1993-08-18,0.511,8,"Toolik"
"69",1993-08-19,0.466208333333333,8,"Toolik"
"70",1993-08-20,0.416083333333333,8,"Toolik"
"71",1993-08-21,0.389,8,"Toolik"
"72",1993-08-22,0.415916666666667,8,"Toolik"
"73",1993-08-23,0.550458333333333,8,"Toolik"
"74",1993-08-24,0.86425,8,"Toolik"
"75",1993-08-25,1.19923076923077,8,"Toolik"
"76",1993-08-26,NA,8,"Toolik"
"77",1993-08-27,NA,8,"Toolik"
"78",1993-08-28,NA,8,"Toolik"
"79",1993-08-29,NA,8,"Toolik"
"80",1993-08-30,NA,8,"Toolik"
"81",1993-08-31,NA,8,"Toolik"
"82",1993-09-01,NA,9,"Toolik"
"83",1993-09-02,NA,9,"Toolik"
"84",1993-09-03,NA,9,"Toolik"
"85",1993-09-04,NA,9,"Toolik"
"86",1993-09-05,NA,9,"Toolik"
"87",1993-09-06,NA,9,"Toolik"
"88",1993-09-07,NA,9,"Toolik"
"89",1993-09-08,NA,9,"Toolik"
"90",1993-09-09,NA,9,"Toolik"
"91",1993-09-10,NA,9,"Toolik"
"92",1993-09-11,NA,9,"Toolik"
"93",1993-09-12,NA,9,"Toolik"
"94",1993-09-13,NA,9,"Toolik"
"95",1993-09-14,NA,9,"Toolik"
"96",1993-09-15,NA,9,"Toolik"
"97",1993-09-16,NA,9,"Toolik"
"98",1993-09-17,NA,9,"Toolik"
"99",1993-09-18,NA,9,"Toolik"
"100",1993-09-19,NA,9,"Toolik"
"101",1993-09-20,NA,9,"Toolik"
"102",1993-09-21,NA,9,"Toolik"
"103",1993-09-22,NA,9,"Toolik"
