LTER,Stream,DischargeFileName,USGSGageYN,USGSGageNumber,USGSGageName,NonUSGSGageSiteName,Units,DataQTemplate,DataDataTemplate,Downloaded,USGSGageNameFull
AND,GSLOOK,AND_GSLOOK_Q,Y,14161500,"Lookout Creek near Blue River, OR",,cfs,Y,,Y,14161500
AND,GSMACK,AND_GSWSMC_Q,N,NA,,GSWSMC,cfs,N,,,NA
AND,GSWS01,AND_GSWS01_Q,N,NA,,GSWS01,cfs,Y,,Y,NA
AND,GSWS02,AND_GSWS02_Q,N,NA,,GSWS02,cfs,Y,,Y,NA
AND,GSWS03,AND_GSWS03_Q,N,NA,,GSWS03,cfs,Y,,Y,NA
AND,GSWS06,AND_GSWS06_Q,N,NA,,GSWS06,cfs,N,,Y,NA
AND,GSWS07,AND_GSWS07_Q,N,NA,,GSWS07,cfs,N,,Y,NA
AND,GSWS08,AND_GSWS08_Q,N,NA,,GSWS08,cfs,N,,Y,NA
AND,GSWS09,AND_GSWS09_Q,N,NA,,GSWS09,cfs,N,,Y,NA
AND,GSWS10,AND_GSWS10_Q,N,NA,,GSWS10,cfs,N,,Y,NA
ARC,I Minus 02,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I Minus Inlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I Minus Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I Swamp Inlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I1 into I3,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I1 Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I2 into,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I2 Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I3 Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I4 Into I5,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I4 Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I5 Into,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I5 into I6,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I5 Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I5 Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I6 Headwater Lake Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I6 Inlets West,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I6 Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I7 into I9,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I7 Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I8 Headwater,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I8 Inlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I8 Into I9,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,I8 Outlet,ARC_I8Outlet_Q,N,NA,,I8 Outlet,cfs,Y,,Y,NA
ARC,Imnavait Upper,ARC_ImnavaitCrk_Q,N,NA,,ImnavaitCr,cfs,Y,,Y,NA
ARC,Imnavait Weir,ARC_ImnavaitCrk_Q,N,NA,,ImnavaitCr,cfs,Y,,Y,NA
ARC,Imnavait WT07Weir,ARC_ImnavaitCrk_Q,N,NA,,ImnavaitCr,cfs,Y,,Y,NA
ARC,KUP 1.1,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 10.1,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 10.2,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 11.1,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 11.2,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 11.3,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 12.1,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 12.2,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 12.3,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 13.1,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 13.2,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 14.1,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 14.2,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 14.3,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 14.4,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 16.1,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 16.2,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 16.3,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 17.1,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 17.2,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 17.3,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 17.4,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 18.1,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 18.2,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
ARC,KUP 18.3,ARC_UpperKuparik_Q,N,NA,,Upper_Kuparuk_River,cfs,Y,,Y,NA
