LTER,Stream.Site
AND,GSWS02
AND,GSMACK
AND,GSWS06
AND,GSWS07
AND,GSWS08
AND,GSWS09
AND,GSWS10
ARC,Imnavait Weir
ARC,Toolik Inlet
ARC,TW Weir
KRR,S65
KRR,S65A
KRR,S65D
KRR,S65E
LMP,LMP73
LUQ,MPR
LUQ,QS
LUQ,RI
LUQ,Q1
LUQ,Q2
LUQ,Q3
MCM,Onyx River at Lake Vanda Weir
MCM,Onyx River at Lower Wright Weir
MCM,Von Guerard Stream at F6
MCM,Andersen Creek at H1
MCM,Canada Stream at F1
MCM,Green Creek at F9
MCM,Lawson Creek at B3
MCM,Priscu Stream at B1
NWT,SADDLE STREAM 007
NWT,MARTINELLI
NWT,ALBION
Sagehen,Sagehen
UMR,BK01.0M
UMR,CH00.1M
UMR,CU11.6M
UMR,LM00.5M
UMR,M241.4K
UMR,M556.4A
UMR,M701.1B
UMR,CN00.1M
UMR,I080.2M
UMR,M078.0B
UMR,M764.3A
UMR,M786.2C
UMR,MQ02.1M
UMR,SG16.2C
UMR,WP02.6M
HBR,ws1
HBR,ws2
HBR,ws3
HBR,ws4
HBR,ws5
HBR,ws6
HBR,ws7
HBR,ws8
HBR,ws9
