"Date","remarks","Si"
1993-12-09,"",0.747000000000001
1994-01-06,"",0.471
1994-01-10,"",0.358999999999999
1994-01-26,"",1.236
1994-12-09,"",0.309999999999999
1995-01-15,"",1.78
1995-01-25,"",0.59
1995-12-14,"",0.304999999999999
1996-01-11,"",0.226
1996-01-21,"",0.534000000000001
1996-12-03,"",0.54
1996-12-15,"",0.26
1997-01-01,"",0.17
1997-01-12,"",2.03
1997-01-25,"",2.76
1997-12-25,"",0.279
1998-01-05,"",0.635
1998-01-12,"",0.742000000000001
1998-12-06,"",0.158
1998-12-13,"",0.371000000000001
1998-12-26,"",0.155
1999-01-18,"",0.412999999999999
1999-01-19,"",0.248
1999-12-04,"",0.273
1999-12-08,"",0.301000000000001
1999-12-08,"",0.202
1999-12-08,"",0.159
1999-12-08,"",0.122
1999-12-09,"",0.152
1999-12-09,"",0.177
1999-12-09,"",0.214
1999-12-11,"",0.279
2000-01-04,"",0.257
2000-01-11,"",0.465000000000001
2000-01-23,"",0.706999999999999
2000-12-02,"",0.152
2000-12-09,"",0.311000000000001
2000-12-16,"",0.243
2001-01-01,"",0.207
2001-01-07,"",0.567999999999999
2001-01-14,"",1.084
2001-12-02,"",0.390000000000001
2001-12-09,"",0.390000000000001
2001-12-23,"",0.25
2002-01-01,"",0.330000000000001
2002-01-14,"",0.25
2002-12-26,"",1.14
2002-12-29,"",0.153
2003-01-05,"",0.397
2003-01-11,"",0.278
2003-01-26,"",0.576999999999999
2003-12-06,"",0.17
2003-12-13,"",0.12
2004-01-26,"",2.02
2004-12-04,"",0.281000000000001
2005-01-02,"",0.480000000000001
2005-12-04,"",0.340000000000001
2005-12-10,"",0.289999999999999
2005-12-18,"",1.34
2005-12-23,"",0.69
2006-01-01,"",0.28
2006-01-07,"",0.28
2006-01-22,"",1.69
2006-12-10,"",0.350000000000001
2006-12-15,"",0.22
2006-12-30,"",0.0500000000000001
2007-01-07,"",0.16
2007-01-13,"",0.350000000000001
2007-01-20,"",0.65
2008-01-05,"",0.608000000000001
2008-01-12,"",0.864
2008-01-25,"",0.872000000000001
2008-12-07,"",0.423999999999999
2008-12-14,"",0.318999999999999
2008-12-21,"",0.276
2008-12-28,"",0.27
2009-01-11,"",0.769
2009-01-18,"",2.414
2009-01-25,"",0.462999999999999
2009-12-01,"",0.156
2009-12-05,"",0.16
2009-12-12,"",0.52
2009-12-13,"",0.131
2009-12-19,"",0.13
2009-12-26,"",0.14
2010-01-10,"",1.09
2010-01-18,"",0.869999999999999
2010-01-21,"",0.367
2010-01-22,"",0.21
2010-12-10,"",0.17
2010-12-18,"",0.15
2010-12-26,"",0.28
2011-01-02,"",0.380000000000001
2011-01-09,"",1.42
2011-01-17,"",0.17
2011-12-03,"",0.0960000000000001
2011-12-10,"",0.137
2011-12-23,"",0.21
2011-12-30,"",0.067
2012-01-06,"",1.33
2012-01-16,"",0.366000000000001
2012-01-22,"",0.710999999999999
2012-12-08,"",0.15
2012-12-18,"",0.232
2012-12-25,"",0.184
2012-12-30,"",0.258
2013-01-08,"",1.6
2013-01-11,"",1.07
2013-12-02,"",0.156
2013-12-14,"",0.131
2014-01-22,"",0.367
2014-12-09,"",0.298
2014-12-21,"",0.55
2015-01-05,"",0.289999999999999
2015-01-12,"",1.027
2015-01-27,"",0.446
2015-11-26,"",0.606
2015-12-05,"",0.16
2015-12-13,"",0.156
2016-01-09,"",0.768
2016-01-17,"",0.313999999999999
2016-01-26,"",0.923999999999999
2016-12-18,"",0.212
2016-12-23,"",0.268
2016-12-29,"",0.238
2017-01-07,"",0.154
2017-01-15,"",0.242
2017-01-22,"",0.318
2017-12-02,"",0.348
2017-12-24,"",0.124
2018-01-07,"",0.063
2018-01-14,"",0.454000000000001
