"Date","remarks","Si"
2007-05-10,"",3.24949235
2003-05-15,"",3.39553695
2005-05-17,"",2.67093105
2004-05-18,"",0.740614635
2003-05-20,"",3.4095797
2007-05-22,"",3.58090125
2003-05-26,"",2.82259275
2006-05-30,"",2.76080465
2004-06-01,"",1.647776285
2005-06-06,"",3.1568102
2003-06-09,"",3.2242154
2007-06-12,"",2.920892
2006-06-13,"",2.03058165
2004-06-14,"",0.926540645
2005-06-20,"",2.86752955
2003-06-23,"",3.31689755
2007-06-26,"",3.1118734
2006-06-27,"",2.9433604
2004-06-28,"",2.7804645
2007-07-03,"",3.17085295
2005-07-06,"",2.8759552
2003-07-07,"",3.5106875
2002-07-09,"",2.3816504
2005-07-13,"",3.0444682
2004-07-15,"",2.05866715
2002-07-16,"",2.5108437
2007-07-17,"",3.57528415
2005-07-18,"",2.9882972
2003-07-21,"",0.91053191
2002-07-23,"",2.8254013
2006-07-26,"",2.69901655
2002-07-30,"",3.1399589
2007-07-31,"",3.5219217
2004-08-02,"",2.6119515
2005-08-03,"",1.80028055
2003-08-04,"",1.286035045
2002-08-06,"",2.7748474
2006-08-08,"",3.9263529
2002-08-13,"",3.1006392
2007-08-15,"",3.4095797
2005-08-15,"",2.9152749
2004-08-16,"",2.85067825
2003-08-18,"",0.84593526
2002-08-20,"",2.78889015
2006-08-22,"",2.00249615
2002-08-27,"",3.48541055
2007-08-28,"",2.82820985
2005-08-29,"",3.1848957
2004-09-01,"",3.4151968
2002-09-02,"",2.5782489
2003-09-10,"",1.321422775
2006-09-12,"",3.69324325
2002-09-14,"",2.80574145
2004-09-14,"",3.2523009
2006-09-26,"",3.5163046
2003-09-30,"",1.169761075
