Date,remarks,Si
12/10/2002,,8.65
1/1/2003,,7.83
1/21/2003,,8.16
2/11/2003,,7.97
3/4/2003,,8.22
3/26/2003,,7.95
4/15/2003,,8.1
5/6/2003,,8.22
5/28/2003,,8.47
6/18/2003,,8.82
7/7/2003,,8.97
7/29/2003,,9.38
8/18/2003,,9.56
9/9/2003,,9.81
10/1/2003,,9.4
10/21/2003,,9.06
11/13/2003,,8.7
12/2/2003,,8
12/23/2003,,7.85
1/13/2004,,8.18
2/4/2004,,7.94
2/24/2004,,7.93
3/16/2004,,8.05
4/7/2004,,8.38
4/27/2004,,8.31
5/17/2004,,8.53
6/8/2004,,8.41
6/29/2004,,8.56
7/20/2004,,8.9
8/9/2004,,9.28
8/31/2004,,9.35
9/21/2004,,9.05
10/13/2004,,9.19
11/1/2004,,8.76
11/22/2004,,8.77
12/14/2004,,8.33
1/4/2005,,8.69
1/25/2005,,8.48
2/15/2005,,8.64
3/8/2005,,8.75
3/29/2005,,8.54
4/20/2005,,8.47
5/10/2005,,8.67
5/31/2005,,8.67
6/21/2005,,8.95
7/11/2005,,9.03
8/2/2005,,9.38
8/23/2005,,9.49
9/12/2005,,9.56
10/5/2005,,9.37
10/25/2005,,9.34
11/15/2005,,8.45
12/7/2005,,8.74
12/27/2005,,8.38
1/18/2006,,7.17
2/8/2006,,8.02
2/27/2006,,8.3
3/20/2006,,8.2
4/11/2006,,8.2
5/1/2006,,8.38
5/23/2006,,8.82
6/12/2006,,8.63
7/5/2006,,9.09
7/25/2006,,9.18
8/15/2006,,9.37
9/6/2006,,9.59
9/26/2006,,9.39
10/17/2006,,9.34
11/6/2006,,8.75
11/27/2006,,8.24
12/19/2006,,8.2
1/9/2007,,8.18
1/30/2007,,8.58
2/20/2007,,8.46
3/14/2007,,8.4
4/4/2007,,8.56
4/23/2007,,8.6
5/16/2007,,8.84
6/4/2007,,9
6/27/2007,,9.11
7/18/2007,,9.51
8/6/2007,,9.73
8/27/2007,,9.82
9/18/2007,,10.15
10/9/2007,,9.26
10/31/2007,,8.9
11/20/2007,,8.77
12/11/2007,,8.6
1/3/2008,,8.63
1/23/2008,,8.49
2/13/2008,,8.1
3/5/2008,,8.11
3/26/2008,,8.03
4/15/2008,,8.09
5/8/2008,,8.07
5/27/2008,,7.91
6/17/2008,,8.04
7/9/2008,,8.46
7/29/2008,,8.73
8/20/2008,,8.86
9/9/2008,,8.97
9/30/2008,,9.04
10/22/2008,,8.69
11/11/2008,,8.06
