"Date","remarks","Si"
1996-12-31,"",3.12199999999999
1997-02-24,"",2.185
1997-04-08,"",2.042
1997-06-05,"",2.025
1997-06-18,"",3.12100000000001
1997-07-03,"",2.28
1997-07-17,"",1.207
1997-07-31,"",1.072
1997-08-14,"",1.83
1997-09-25,"",2.14
1997-10-07,"",1.477
1997-11-04,"",2.183
1997-11-20,"",2.566
1997-12-02,"",2.009
1997-12-17,"",2.618
1998-05-05,"",2.368
1998-06-04,"",1.75
1998-06-18,"",3.81199999999999
1998-06-30,"",3.64200000000001
1998-07-14,"",2.83299999999999
1998-07-28,"",2.83199999999999
1998-08-14,"",3.39900000000001
1998-08-24,"",3.31400000000001
1998-09-08,"",2.382
1998-09-22,"",2.42
1998-10-09,"",3.19299999999999
1998-10-19,"",2.127
1998-11-05,"",3.502
1998-11-19,"",3.39699999999999
1998-12-02,"",2.91099999999999
1998-12-16,"",2.729
1998-12-29,"",3.03299999999999
1999-01-29,"",2.94900000000001
1999-02-26,"",3.60700000000001
1999-03-12,"",2.251
1999-03-25,"",1.42
1999-04-08,"",0.933999999999999
1999-05-07,"",2.735
1999-05-18,"",2.873
1999-06-04,"",2.22
1999-06-15,"",3.373
1999-06-30,"",3.609
1999-07-13,"",3.12100000000001
1999-07-30,"",1.779
1999-08-10,"",2.014
1999-08-25,"",1.769
1999-09-09,"",1.899
1999-09-22,"",2.065
1999-10-05,"",1.575
1999-10-21,"",2.738
1999-11-03,"",2.482
1999-11-16,"",1.784
1999-12-02,"",1.155
1999-12-14,"",1.613
1999-12-28,"",1.671
2000-01-12,"",2.113
2000-01-24,"",2.33
2000-02-24,"",1.397
2000-03-10,"",2.159
2000-03-23,"",1.668
2000-04-05,"",0.983
2000-05-03,"",2.789
2000-05-19,"",1.719
2000-05-31,"",2.494
2000-06-26,"",3.849
2000-07-11,"",3.524
2000-07-24,"",3.29399999999999
2000-08-07,"",1.72
2000-08-23,"",1.509
2000-09-05,"",2.579
2000-09-19,"",2.677
2000-10-03,"",3.39200000000001
2000-10-17,"",3.355
2000-11-01,"",1.879
2000-11-14,"",2.476
2000-11-28,"",3.27500000000001
2001-01-10,"",3.28500000000001
2001-01-23,"",3.195
2001-02-06,"",3.134
2001-02-22,"",3.634
2001-03-09,"",3.73699999999999
2001-03-21,"",3.531
2001-04-02,"",1.38
2001-04-17,"",1.931
2001-05-03,"",0.649
2001-05-16,"",1.395
2001-06-01,"",2.363
2001-06-12,"",3.599
2001-06-29,"",2.147
2001-07-23,"",1.27
2001-08-09,"",1.664
2001-08-21,"",3.43599999999999
2001-09-06,"",2.371
2001-09-19,"",2.742
2001-10-02,"",3.227
2001-10-19,"",3.87299999999999
2001-11-01,"",4.61199999999999
2001-11-13,"",4.617
2001-11-26,"",2.723
2001-12-28,"",4.002
2002-01-09,"",4.28200000000001
2002-01-23,"",3.277
2002-02-05,"",3.07499999999999
2002-02-21,"",2.601
2002-03-05,"",3.166
2002-03-19,"",3.12899999999999
2002-04-04,"",2.083
2002-04-18,"",2.482
2002-04-29,"",2.809
2002-06-12,"",3.17599999999999
2002-06-25,"",3.45099999999999
2002-07-10,"",3.563
2002-07-22,"",1.681
2002-08-06,"",2.585
2002-08-20,"",2.226
2002-09-03,"",4.006
2002-09-19,"",3.67999999999999
2004-04-23,"",0.556999999999999
2004-05-21,"",2.82800000000001
2004-06-16,"",3.34299999999999
2004-06-30,"",3.57500000000001
2004-07-12,"",2.757
2004-07-27,"",2.407
2004-08-11,"",1.741
2004-08-24,"",1.921
2004-09-06,"",3.395
2004-09-23,"",3.734
2004-10-07,"",2.615
2004-11-10,"",4.23299999999999
2005-01-10,"",4.29300000000001
2005-03-10,"",3.11499999999999
2005-04-06,"",0.417
2005-04-18,"",0.898999999999999
2005-06-01,"",0.983
2005-06-13,"",2.303
2005-06-28,"",0.288
2005-07-11,"",1.254
2005-08-12,"",1.938
2005-09-07,"",2.237
