"Date","remarks","Si"
1997-03-11,"",4.31199999999999
1997-07-03,"",4.263
1997-07-17,"",4.25000000000001
1997-07-31,"",0.648000000000001
1997-08-14,"",2.082
1997-09-25,"",3.548
1997-10-07,"",2.031
1997-11-04,"",1.609
1997-11-20,"",2.84699999999999
1997-12-02,"",3.681
1997-12-17,"",4.781
1998-04-10,"",4.295
1998-05-05,"",4.81500000000001
1998-06-04,"",5.74799999999999
1998-06-30,"",3.70399999999999
1998-07-14,"",5.32699999999999
1998-07-28,"",4.78600000000001
1998-08-14,"",4.63699999999999
1998-08-24,"",2.365
1998-09-08,"",4.10799999999999
1998-09-22,"",3.46899999999999
1998-10-09,"",3.966
1998-10-19,"",2.98
1998-11-05,"",4.646
1998-11-18,"",4.563
1998-12-02,"",4.77200000000001
1999-01-29,"",3.68999999999999
1999-02-26,"",4.35000000000001
1999-03-12,"",3.58200000000001
1999-03-25,"",2.85799999999999
1999-04-08,"",2.7
1999-04-20,"",4.914
1999-05-07,"",4.16199999999999
1999-05-18,"",3.61700000000001
1999-06-04,"",3.291
1999-06-15,"",5.453
1999-06-30,"",5.89400000000001
1999-07-13,"",5.492
1999-07-30,"",4.60099999999999
1999-08-10,"",4.68900000000001
1999-08-25,"",3.40099999999999
1999-09-09,"",2.596
1999-09-22,"",3.08100000000001
1999-10-05,"",3.84799999999999
1999-10-21,"",4.92900000000001
1999-11-03,"",3.656
1999-11-16,"",3.99799999999999
1999-12-02,"",0.370000000000001
1999-12-14,"",2.251
2000-01-12,"",2.607
2000-02-24,"",3.03500000000001
2000-03-10,"",4.21100000000001
2000-03-23,"",2.743
2000-04-05,"",2.204
2000-05-03,"",2.679
2000-05-19,"",4.814
2000-05-31,"",4.47299999999999
2000-06-14,"",5.149
2000-06-26,"",4.828
2000-07-11,"",6.80100000000001
2000-08-07,"",4.81100000000001
2000-08-23,"",3.731
2000-09-05,"",1.568
2000-09-19,"",1.897
2000-10-03,"",2.85699999999999
2000-10-17,"",3.97500000000001
2000-11-01,"",4.48600000000001
2000-11-14,"",3.348
2000-11-28,"",4.435
2001-01-23,"",3.29399999999999
2001-02-06,"",4.31599999999999
2001-02-22,"",5.521
2001-03-06,"",5.407
2001-03-21,"",5.367
2001-04-02,"",3.759
2001-04-17,"",4.58399999999999
2001-05-03,"",1.503
2001-05-16,"",4.60499999999999
2001-06-01,"",5.35800000000001
2001-06-12,"",6.343
2001-06-29,"",5.89700000000001
2001-07-23,"",4.41
2001-08-09,"",2.263
2001-08-21,"",5.22299999999999
2001-09-19,"",3.784
2001-10-02,"",5.332
2001-10-19,"",5.67600000000001
2001-11-01,"",6.33799999999999
2001-11-13,"",5.56100000000001
2001-11-26,"",2.465
2001-12-11,"",3.68699999999999
2001-12-28,"",5.281
2002-01-09,"",5.41199999999999
2002-01-23,"",3.588
2002-02-05,"",4.74000000000001
2002-02-21,"",4.921
2002-03-19,"",3.96499999999999
2002-04-04,"",1.986
2002-04-18,"",3.73600000000001
2002-04-29,"",4.26
2002-06-12,"",3.91199999999999
2002-06-25,"",6.64400000000001
2002-07-10,"",5.20400000000001
2002-07-22,"",2.94900000000001
2002-08-06,"",4.46599999999999
2002-08-20,"",4.153
2002-09-03,"",6.04099999999999
2002-09-19,"",4.16100000000001
2004-04-23,"",0.0500000000000001
2004-05-04,"",2.778
2004-05-21,"",4.29300000000001
2004-06-03,"",6.00899999999999
2004-06-16,"",3.99300000000001
2004-06-30,"",5.76999999999999
2004-07-12,"",3.573
2004-07-27,"",2.641
2004-08-11,"",1.547
2004-08-24,"",2.81499999999999
2004-09-06,"",4.98600000000001
2004-09-23,"",6.071
2004-10-07,"",5.07200000000001
2004-11-10,"",6.42699999999999
2005-01-10,"",5.75100000000001
2005-03-10,"",3.952
2005-04-05,"",1.621
2005-04-18,"",4.267
2005-06-01,"",4.12999999999999
2005-06-13,"",5.46100000000001
2005-06-28,"",4.96199999999999
2005-07-11,"",0.67
2005-08-12,"",2.369
2005-09-07,"",2.803
2005-10-04,"",3.90499999999999
2005-11-10,"",3.19200000000001
2006-01-09,"",1.739
2006-03-06,"",0.15
2006-04-05,"",5.02500000000001
2006-04-21,"",3.456
2006-05-03,"",2.194
2006-05-18,"",1.695
2006-06-02,"",3.86
2006-06-13,"",4.80099999999999
2006-06-27,"",3.21400000000001
2006-07-10,"",2.414
2006-08-08,"",3.67899999999999
2006-09-06,"",3.76000000000001
2006-10-02,"",3.513
2006-11-10,"",4.36500000000001
2007-01-11,"",4.41400000000001
2007-03-08,"",4.02500000000001
2007-04-05,"",5.671
2007-04-18,"",3.588
2007-05-07,"",3.82
2007-05-31,"",2.484
2007-06-11,"",3.73600000000001
2007-06-25,"",3.98299999999999
2007-07-10,"",4.94499999999999
2007-08-09,"",4.20499999999999
2007-08-28,"",3.991
2007-10-02,"",5.05400000000001
2007-11-05,"",4.59000000000001
2008-01-08,"",3.556
2008-03-04,"",3.63599999999999
2008-04-30,"",4.807
2008-05-16,"",4.34799999999999
2008-05-28,"",3.53900000000001
2008-06-10,"",5.668
2008-08-08,"",5.442
2008-08-19,"",4.24399999999999
2008-09-04,"",3.866
2008-09-16,"",4.677
2008-09-30,"",5.114
2008-11-13,"",4.98300000000001
2009-03-10,"",3.845
2009-04-21,"",5.11899999999999
2009-05-19,"",3.452
2009-06-02,"",4.04399999999999
2009-06-15,"",5.753
2009-06-30,"",4.47599999999999
2009-08-14,"",3.82199999999999
2009-10-09,"",4.65700000000001
2009-11-13,"",5.30100000000001
2010-03-10,"",4.16899999999999
2010-04-09,"",5.057
2010-04-21,"",2.762
2010-05-18,"",4.431
2010-06-15,"",4.79799999999999
2010-06-30,"",6.136
2010-07-15,"",5.02900000000001
2010-08-11,"",3.26700000000001
2010-09-07,"",6.01
2010-11-09,"",4.91100000000001
2011-03-07,"",5.68600000000001
2011-04-05,"",1.781
2011-04-20,"",3.231
2011-05-13,"",3.83500000000001
2011-05-19,"",4.49700000000001
2011-06-02,"",6.08499999999999
2011-06-13,"",5.02500000000001
2011-06-28,"",3.416
2011-08-09,"",1.95
2011-08-10,"",4.50700000000001
2011-09-07,"",4.79799999999999
2011-10-06,"",3.48299999999999
