"Date","remarks","Si"
1997-01-02,"",5.02200000000001
1997-02-13,"",5.90400000000001
1997-02-25,"",4.517
1997-03-11,"",4.45400000000001
1997-03-27,"",4.74099999999999
1997-04-08,"",5.10499999999999
1997-04-23,"",3.38200000000001
1997-05-09,"",2.135
1997-05-21,"",1.69
1997-06-04,"",1.425
1997-06-19,"",1.529
1997-07-01,"",2.90600000000001
1997-07-17,"",3.93699999999999
1997-07-30,"",5.07200000000001
1997-08-14,"",4.81800000000001
1997-08-28,"",5.039
1997-09-09,"",4.921
1997-09-25,"",4.60499999999999
1997-10-08,"",4.08699999999999
1997-10-23,"",3.023
1997-11-05,"",3.26400000000001
1997-11-18,"",4.091
1997-12-01,"",3.495
1997-12-17,"",3.24600000000001
1997-12-30,"",2.654
1998-01-26,"",3.609
1998-02-12,"",3.36799999999999
1998-02-24,"",4.11800000000001
1998-03-12,"",4.44099999999999
1998-03-24,"",4.792
1998-04-07,"",4.03999999999999
1998-04-22,"",5.25199999999999
1998-05-04,"",3.863
1998-05-22,"",1.539
1998-06-05,"",3.595
1998-06-17,"",4.82599999999999
1998-06-30,"",5.91999999999999
1998-07-13,"",6.76999999999999
1998-07-27,"",4.39799999999999
1998-08-12,"",4.01899999999999
1998-08-24,"",4.185
1998-09-09,"",3.32899999999999
1998-09-22,"",3.69699999999999
1998-10-09,"",2.743
1998-10-19,"",3.892
1998-11-04,"",4.47500000000001
1998-11-19,"",5.003
1998-12-01,"",3.87899999999999
1998-12-30,"",4.75899999999999
1999-01-28,"",4.17
1999-02-10,"",4.699
1999-02-25,"",4.399
1999-03-10,"",3.977
1999-03-25,"",0.333999999999999
1999-04-07,"",0.127
1999-04-20,"",4.742
1999-05-03,"",5.25100000000001
1999-05-20,"",4.38999999999999
1999-06-03,"",4.92699999999999
1999-06-17,"",5.40199999999999
1999-07-01,"",5.40800000000001
1999-07-14,"",5.43600000000001
1999-07-30,"",4.93699999999999
1999-08-11,"",5.46999999999999
1999-08-23,"",5.278
1999-09-09,"",4.63699999999999
1999-09-23,"",4.30700000000001
1999-10-06,"",4.281
1999-10-20,"",3.506
1999-11-04,"",2.571
1999-11-18,"",2.944
1999-12-02,"",2.276
1999-12-15,"",1.782
1999-12-29,"",0.678000000000001
2000-01-13,"",0.809999999999999
2000-01-24,"",2.145
2000-02-09,"",2.745
2000-03-09,"",3.98299999999999
2000-03-22,"",3.59300000000001
2000-04-07,"",0.425000000000001
2000-04-18,"",1.759
2000-05-03,"",1.784
2000-05-17,"",0.594000000000001
2000-06-02,"",2.99600000000001
2000-06-14,"",4.66899999999999
2000-06-27,"",5.02699999999999
2000-07-12,"",5.48799999999999
2000-07-25,"",5.71200000000001
2000-08-08,"",3.387
2000-08-24,"",0.105
2000-09-05,"",0.127
2000-09-20,"",3.40700000000001
2000-10-03,"",4.47
2000-10-16,"",3.338
2000-11-01,"",2.42
2000-11-14,"",2.934
2000-11-27,"",4.074
2001-01-29,"",4.92699999999999
2001-02-07,"",4.78600000000001
2001-02-20,"",3.32
2001-03-09,"",4.277
2001-03-20,"",4.152
2001-04-05,"",3.37899999999999
2001-04-17,"",4.41
2001-05-04,"",5.139
2001-05-16,"",5.21100000000001
2001-06-11,"",4.39300000000001
2001-06-29,"",5.05899999999999
2001-08-23,"",0.0849999999999999
2001-09-03,"",0.249
2001-09-20,"",1.47
2001-10-03,"",3.11000000000001
2001-10-16,"",3.46899999999999
2001-10-31,"",3.20000000000001
2001-11-15,"",2.49
2001-11-27,"",0.187
2001-12-11,"",2.94200000000001
2001-12-27,"",3.42100000000001
2002-01-10,"",3.505
2002-01-24,"",3.66000000000001
2002-02-07,"",3.288
2002-03-06,"",2.163
2002-03-20,"",2.93500000000001
2002-04-05,"",0.0500000000000001
2002-04-17,"",1.456
2002-04-30,"",4.07500000000001
