"Date","remarks","Si"
1997-01-08,"",7.201
1997-02-06,"",3.08100000000001
1997-03-31,"",5.75
1997-04-17,"",5.47999999999999
1997-05-01,"",4.51499999999999
1997-05-15,"",1.664
1997-05-28,"",1.164
1997-06-11,"",0.866000000000001
1997-06-26,"",2.683
1997-07-10,"",4.535
1997-07-23,"",6.85200000000001
1997-08-06,"",8.18599999999999
1997-08-22,"",8.05699999999999
1997-09-03,"",7.158
1997-09-18,"",6.404
1997-10-02,"",5.711
1997-10-16,"",5.48300000000001
1997-10-28,"",5.38799999999999
1997-11-14,"",5.567
1997-11-26,"",4.78399999999999
1997-12-17,"",4.488
1997-12-29,"",4.79700000000001
1998-01-16,"",4.70199999999999
1998-02-02,"",5.69899999999999
1998-02-12,"",5.01599999999999
1998-02-25,"",5.50499999999999
1998-03-13,"",6.415
1998-03-25,"",5.74700000000001
1998-04-08,"",5.271
1998-04-22,"",5.421
1998-05-07,"",2.35
1998-05-20,"",2.7
1998-06-04,"",3.96000000000001
1998-06-17,"",4.90800000000001
1998-07-06,"",6.80999999999999
1998-07-13,"",8.076
1998-07-30,"",6.12200000000001
1998-08-11,"",7.80699999999999
1998-08-27,"",6.05100000000001
1998-09-09,"",3.781
1998-09-21,"",2.622
1998-10-08,"",4.38200000000001
1998-10-12,"",4.44399999999999
1998-11-04,"",5.214
1998-11-19,"",5.339
1998-12-03,"",5.82399999999999
1998-12-16,"",5.182
1999-01-25,"",6.41999999999999
1999-02-10,"",6.03799999999999
1999-02-24,"",5.442
1999-03-12,"",5.19000000000001
1999-03-22,"",4.81500000000001
1999-04-08,"",4.563
1999-04-19,"",5.50400000000001
1999-05-05,"",4.73200000000001
1999-05-21,"",4.30799999999999
1999-06-02,"",4.69799999999999
1999-06-16,"",4.64700000000001
1999-06-30,"",6.96200000000001
1999-07-12,"",6.178
1999-07-30,"",6.25899999999999
1999-08-10,"",7.02799999999999
1999-08-26,"",7.23000000000001
1999-09-09,"",6.54400000000001
1999-09-24,"",6.368
1999-10-06,"",5.621
1999-10-21,"",5.02299999999999
1999-11-04,"",4.67599999999999
1999-11-18,"",4.406
1999-12-01,"",3.88600000000001
1999-12-13,"",3.231
1999-12-29,"",4.47100000000001
2000-01-12,"",4.645
2000-02-03,"",5.81
2000-02-09,"",6.01
2000-02-24,"",5.524
2000-03-09,"",5.27200000000001
2000-03-22,"",5.51599999999999
2000-04-05,"",3.47800000000001
2000-04-17,"",1.885
2000-05-02,"",0.876000000000001
2000-05-19,"",1.751
2000-05-30,"",1.783
2000-06-12,"",5.23300000000001
2000-06-26,"",4.57200000000001
2000-07-24,"",5.217
2000-08-09,"",5.81999999999999
2000-08-23,"",5.48600000000001
2000-09-07,"",6.211
2000-09-19,"",4.74099999999999
2000-10-05,"",5.24300000000001
2000-10-19,"",4.52999999999999
2000-11-02,"",4.889
2000-11-13,"",5.121
2000-11-30,"",5.21100000000001
2000-12-13,"",6.175
2000-12-27,"",6.28700000000001
2001-01-11,"",7.69999999999999
2001-01-26,"",7.28700000000001
2001-02-06,"",6.658
2001-02-22,"",7.329
2001-03-08,"",6.82699999999998
2001-03-20,"",6.14800000000001
2001-04-05,"",4.92299999999999
2001-04-18,"",4.90499999999999
2001-05-03,"",5.925
2001-05-16,"",5.61999999999999
2001-05-31,"",3.845
2001-06-13,"",4.30700000000001
2001-06-27,"",6.01999999999999
2001-07-11,"",6.118
2001-07-23,"",6.764
2001-08-09,"",5.636
2001-08-23,"",6.78400000000001
2001-09-04,"",6.09899999999999
2001-09-18,"",6.25800000000001
2001-10-04,"",5.55400000000001
2001-10-16,"",5.35800000000001
2001-11-05,"",5.41199999999999
2001-11-13,"",4.831
2001-11-29,"",4.177
2001-12-13,"",4.606
