"Date","remarks","Si"
1984-05-24,"",0.9019658325
1984-05-31,"",0.799144817
1984-06-07,"",1.2010764075
1984-06-14,"",0.9674050475
1984-06-21,"",1.28519248
1984-06-28,"",1.1356371925
1984-07-05,"",0.906656111
1984-07-12,"",0.4813573845
1984-07-19,"",0.6682944725
1984-07-26,"",0.6682944725
1984-08-02,"",0.696351887
1984-08-09,"",0.7804679595
1984-08-17,"",0.5841784
1984-08-23,"",0.6682944725
1984-08-30,"",0.747748352
1984-09-07,"",1.0842407275
1984-09-14,"",0.859921839
1984-09-21,"",0.794482624
1984-09-28,"",0.887951168
1984-10-05,"",0.9907721835
1985-05-09,"",1.7581523
1985-05-16,"",0.814591842
1985-05-23,"",0.7412044305
1985-05-30,"",0.7617630165
1985-06-03,"",0.683713412
1985-06-06,"",0.46172562
1985-06-13,"",0.381344919
1985-06-20,"",0.293493475
1985-06-27,"",0.347249122
1985-07-04,"",0.1934810095
1985-07-11,"",0.310794143
1985-07-18,"",0.1817974415
1985-07-25,"",0.1976938345
1985-08-01,"",0.163569952
1985-08-08,"",0.1159088585
1985-08-15,"",0.125710698
1985-08-22,"",0.1042252905
1985-08-29,"",0.1056295655
1985-09-05,"",0.1131003085
1986-05-22,"",0.778136863
1986-06-05,"",0.8127101135
1986-06-12,"",0.9940301015
1986-06-19,"",0.566877732
1986-06-26,"",0.393028487
1986-07-03,"",0.343485665
1986-07-10,"",0.322927079
1986-07-17,"",0.239737828
1986-07-24,"",0.215921324
1986-07-31,"",0.156548577
1986-08-07,"",0.1733717915
1986-08-14,"",0.147224191
1986-08-21,"",0.120093598
1986-08-28,"",0.0813075225
1986-09-04,"",0.1187174085
1986-09-11,"",0.158907759
1986-09-18,"",0.193958463
1986-09-25,"",0.226200617
1987-04-30,"",1.442695964
1987-05-14,"",0.889355443
1987-05-21,"",0.615971186
1987-05-28,"",0.577157025
1987-06-04,"",0.419204173
1987-06-11,"",0.2986331215
1987-06-18,"",0.283214182
1987-06-25,"",0.1481510125
1987-07-09,"",0.12245278
1987-07-23,"",0.1187174085
1987-08-06,"",0.1280417945
1987-08-20,"",0.1000124655
1988-06-02,"",0.800099724
1988-06-16,"",0.494922681
1988-06-30,"",0.365448526
1988-07-14,"",0.179466345
1988-07-28,"",0.138798541
1988-08-11,"",0.1584303055
1988-09-08,"",0.073359326
1989-05-25,"",0.7804679595
1989-06-08,"",0.579516207
1989-06-22,"",0.462680527
1989-07-06,"",0.2663909675
1989-07-20,"",0.1962895595
1989-08-03,"",0.191599281
1989-08-17,"",0.2243188885
1989-08-31,"",0.140202816
1990-05-31,"",0.524356285
1990-06-07,"",0.4023809585
1990-06-21,"",0.3103166895
1990-07-05,"",0.2916117465
1990-07-19,"",0.3173380645
1990-08-02,"",0.5967887895
1990-08-16,"",0.7131751015
1990-08-30,"",0.6327944005
1990-09-13,"",0.6767201225
1991-05-10,"",0.12469962
1991-05-24,"",0.28591039
1991-05-31,"",0.43925722
1991-06-06,"",0.5223903
1991-06-13,"",0.44992971
1991-06-27,"",0.368200905
1991-07-11,"",0.47015127
1991-07-23,"",0.552441785
1991-08-08,"",0.675456275
1991-08-22,"",0.74875943
