"Date","remarks","Si"
2007-05-15,"",2.8815723
2007-05-29,"",2.8366355
2006-05-30,"",2.72710205
2007-06-12,"",2.8815723
2006-06-13,"",3.145576
2005-06-22,"",2.9714459
2007-06-26,"",3.15961875
2006-06-27,"",2.54735485
2007-07-03,"",3.46294215
2005-07-06,"",3.32813175
2005-07-13,"",3.18770425
2007-07-17,"",4.19316515
2005-07-18,"",3.3197061
2006-07-26,"",3.71571165
2007-07-31,"",3.62583805
2005-08-03,"",3.26072655
2006-08-08,"",3.67077485
2007-08-15,"",3.7915425
2005-08-15,"",3.30566335
2006-08-22,"",2.5333121
2007-08-28,"",3.2691522
2005-08-29,"",3.2635351
2006-09-12,"",3.90669305
2006-09-26,"",3.96286405
