"Date","remarks","Si"
1999-06-03,"",0.18592601
1999-06-04,"",0.158121365
1999-06-10,"",0.136214675
1999-06-16,"",0.131720995
1999-06-23,"",0.085660775
1999-06-28,"",0.898736
1999-07-06,"",2.639756145
2000-05-22,"",1.210204195
2000-05-25,"",0.46284904
2000-05-30,"",0.53025424
2000-06-02,"",0.823186005
2000-06-06,"",1.65367424
2000-06-14,"",3.40845628
2000-06-21,"",3.45002282
2000-06-28,"",3.8252451
2000-07-05,"",3.99263468
2000-07-11,"",4.194007715
2000-07-17,"",3.999656055
2003-05-27,"",0.400780085
2003-05-29,"",0.556935465
2003-06-02,"",0.875425035
2003-06-03,"",0.877671875
2003-06-09,"",1.191667765
2003-06-16,"",3.004867645
2003-06-18,"",3.07760909
2003-06-23,"",4.06734211
2003-06-26,"",4.35437592
2003-06-30,"",4.563051185
2003-07-11,"",4.738866415
2003-07-14,"",4.766390205
2003-07-22,"",4.84699559
2003-07-29,"",4.99697216
2004-05-20,"",0.774317235
2004-05-25,"",1.12398171
2004-05-27,"",1.42056459
2004-06-03,"",1.277047685
2004-06-07,"",2.2973939
2004-06-10,"",2.751536435
2004-06-14,"",3.33262543
2004-06-17,"",3.69211983
2004-06-22,"",3.831143055
2004-06-24,"",4.06846553
2004-07-02,"",4.068184675
2004-07-06,"",4.044592855
2004-07-09,"",4.226586895
2005-05-26,"",1.43573076
2005-05-31,"",0.425495325
2005-06-07,"",0.549633235
2005-06-09,"",2.484162475
2005-06-14,"",0.372694585
2005-06-16,"",0.59428918
2005-06-22,"",0.801841025
2005-06-21,"",0.91446388
2005-06-28,"",3.035761695
2005-06-30,"",3.299765395
2005-07-05,"",3.925510335
2005-07-07,"",3.91961238
2005-07-12,"",4.04206516
2005-07-14,"",4.151317755
2005-07-19,"",4.349601385
2006-05-22,"",0.24771411
2006-05-25,"",0.334498305
2006-06-01,"",0.85997801
2006-06-06,"",1.269183745
2006-06-15,"",3.59775255
2006-06-22,"",3.87411387
2006-06-28,"",4.10947036
2006-07-06,"",4.325447855
2006-07-13,"",4.45155175
2007-05-17,"",0.60159141
2007-05-22,"",1.10151331
2007-05-29,"",1.407926115
2007-06-05,"",1.5671709
2007-06-12,"",1.561834655
2007-06-12,"",1.83285973
2007-06-14,"",2.30525784
2007-06-19,"",3.403681745
2007-07-16,"",2.526852435
2008-06-03,"",0.6459665
2008-06-10,"",0.67573713
2008-06-12,"",0.70438434
2008-06-16,"",0.763644745
2008-06-19,"",0.742861475
2008-06-24,"",2.04743295
2008-06-26,"",2.54229946
2008-07-01,"",3.394694385
2008-07-03,"",3.45339308
2008-07-08,"",3.6848176
2008-07-11,"",3.872147885
2008-07-15,"",3.949102155
2008-07-18,"",4.070993225
2008-07-24,"",4.08250828
2009-05-19,"",0.64708992
2009-05-28,"",0.778810915
2009-06-02,"",0.541207585
2009-06-12,"",0.755780805
2009-06-16,"",0.719269655
2009-06-25,"",2.169604875
2009-06-30,"",2.96189683
2009-07-07,"",3.5780927
2010-05-28,"",0.345170795
2010-06-01,"",0.63080033
2010-06-10,"",1.92329504
2010-06-15,"",2.533031245
2010-06-22,"",3.323357215
2010-06-29,"",3.653642695
2010-07-06,"",3.92129751
2010-07-13,"",4.101887275
2011-06-21,"",1.29867352
2011-06-23,"",0.690060735
2011-06-27,"",1.9154311
2011-06-30,"",1.223123525
2011-07-05,"",2.634139045
2011-07-11,"",2.80911171
2011-07-14,"",3.359868365
2011-07-18,"",2.94616895
2011-07-25,"",3.89096517
2011-07-29,"",4.060320735
2011-08-02,"",4.117053445
2011-08-11,"",2.51421396
2012-05-04,"",2.049960645
2012-05-15,"",4.95709075
2012-05-22,"",3.105413735
2012-06-01,"",1.903354335
2013-05-28,"",0.894523175
2013-06-03,"",1.174254755
2013-06-10,"",2.254423085
2013-06-14,"",4.698423295
2013-06-17,"",5.69798624
2013-07-03,"",9.62827111
2013-09-17,"",12.12619548
2014-05-20,"",4.66639836702756
2014-05-29,"",2.68042527556701
2014-06-03,"",2.94626187007971
2014-06-10,"",1.22665202785369
2014-06-17,"",1.20989118728491
2014-07-01,"",7.30915418433566
2014-07-08,"",9.54760838266763
2014-07-15,"",10.9355782392815
2014-07-22,"",11.6382726828891
2014-08-05,"",11.7854294859172
2015-06-15,"",1.1102696426925
2015-06-20,"",2.2400420124281
2015-06-23,"",5.36461941298328
2015-06-30,"",9.36463335838878
2015-07-07,"",10.1521865295056
2015-07-14,"",11.1134710750752
2015-07-21,"",11.8861651023189
2016-06-14,"",5.84060949837477
2016-06-21,"",9.02268431229902
2016-07-05,"",11.1753427291928
2017-06-15,"",2.04907392078615
2017-06-27,"",3.8406532756916
2017-07-05,"",4.32745255931068
2017-06-20,"",2.16901103557199
2017-07-11,"",4.47757568670155
2017-07-18,"",4.73608128458306
2018-05-22,"",0.522147317925755
2018-05-29,"",0.670506923112226
2018-06-05,"",0.885984227017016
2018-06-12,"",2.36694872173075
2018-06-20,"",3.1871510998476
