"Date","remarks","Si"
1985-11-07,"",32.0000000000001
1986-02-03,"",27
1986-05-13,"",21
1986-08-20,"",30.9999999999999
1986-11-20,"",30.9999999999999
1987-02-05,"",30.9999999999999
1987-05-12,"",26
1987-08-27,"",35.0000000000001
1987-11-10,"",33.0000000000001
1988-02-03,"",32.0000000000001
1988-02-22,"",26
1988-02-22,"",29.9999999999999
1988-05-10,"",28.9999999999999
1988-08-26,"",34.0000000000001
1988-11-08,"",32.0000000000001
1989-02-07,"",29.9999999999999
1989-05-16,"",22
1989-09-26,"",32.0000000000001
1989-11-07,"",30.9999999999999
1990-02-27,"",28.9999999999999
1990-05-01,"",24
1990-08-09,"",33.0000000000001
1990-11-29,"",32.0000000000001
1991-02-11,"",30.9999999999999
1991-05-08,"",22
1991-07-27,"",32.0000000000001
1991-08-08,"",33.0000000000001
1991-11-14,"",30.9999999999999
1992-02-25,"",27
1992-05-05,"",27
1992-08-11,"",32.0000000000001
1992-11-09,"",32.0000000000001
1993-02-23,"",28.9999999999999
1993-05-12,"",17
1993-08-17,"",29.9999999999999
1993-11-09,"",30.9999999999999
1994-02-23,"",28
1994-05-10,"",24
1994-08-10,"",32.0000000000001
1994-11-08,"",32.0000000000001
1995-02-16,"",26
1995-05-31,"",18
1995-08-16,"",28
1995-11-07,"",28.9999999999999
1996-08-06,"",28
2000-10-29,"",31.8
2000-12-06,"",32.0000000000001
2001-01-03,"",29.8
2001-01-31,"",28.8999999999999
2001-03-08,"",28.1000000000001
2001-03-30,"",23
2001-03-31,"",23.8
2001-04-07,"",25
2001-04-14,"",26.3
2001-04-21,"",23.9
2001-04-28,"",22.3
2001-05-03,"",22.2
2001-05-05,"",22.2
2001-05-12,"",23.7
2001-05-19,"",25
2001-05-26,"",27.1
2001-05-31,"",28.8
2001-06-02,"",29.3999999999999
2001-06-09,"",35.3999999999999
2001-06-16,"",31.7
2001-06-23,"",32.6000000000001
2001-06-30,"",30.7
2001-07-05,"",31.3999999999999
2001-07-07,"",32.8999999999999
2001-07-14,"",32.3
2001-07-21,"",33.1000000000001
2001-07-28,"",33.0000000000001
2001-08-04,"",32.8
2001-08-09,"",31.7
2001-08-11,"",32.8999999999999
2001-08-18,"",32.7
2001-08-25,"",32.7
2001-08-31,"",33.2
2001-09-01,"",32.7
2001-09-08,"",32.5000000000001
2001-09-15,"",32.2
2001-09-22,"",32.6000000000001
2001-09-29,"",32.8999999999999
2001-10-09,"",33.0000000000001
2001-10-16,"",32.5000000000001
2001-10-23,"",32.8
