"Date","remarks","Si"
1994-01-02,"",1.81
1994-01-13,"",2.22
1994-01-26,"",2.13
1994-12-14,"",1.42
1995-01-14,"",2.07
1995-01-23,"",2.54
1995-12-28,"",2.09
1996-01-12,"",2.21
1996-12-19,"",2.4
1996-12-31,"",2.58
1997-01-13,"",2.16
1997-12-26,"",2.99999999999999
1999-01-20,"",1.88
1999-01-22,"",3.21000000000001
2000-01-15,"",3.30000000000001
2001-12-26,"",3.53
2002-01-11,"",2.04
2002-01-25,"",2.41
2003-01-01,"",2.23
2003-01-24,"",2.79
2003-01-30,"",2.58
2003-12-27,"",1.49
2004-01-21,"",2.38
2004-11-23,"",2.24
2004-12-02,"",2.44
2004-12-14,"",2.56
2004-12-22,"",2.34
2004-12-30,"",2.97
2005-01-11,"",3.38999999999999
2005-01-23,"",2.03
2005-12-08,"",2.7
2005-12-13,"",2.37
2005-12-20,"",2.87
2006-01-03,"",2.89999999999999
2007-01-03,"",1.24
2007-01-09,"",2.29
2007-01-15,"",2.24
2007-12-17,"",2.27
2007-12-26,"",2.5
2008-01-01,"",2.41
2008-01-07,"",1.2
2008-01-15,"",1.23
2008-12-15,"",2.84999999999999
2008-12-18,"",2.84999999999999
2008-12-23,"",2.52
2008-12-30,"",2.7
2009-01-08,"",2.57
2009-01-16,"",3.33999999999999
2009-12-14,"",2.58
2009-12-17,"",2.02
2009-12-22,"",2.26
2009-12-27,"",1.82
2009-12-29,"",2.55
2010-01-05,"",2.77
2010-01-17,"",2.11
2010-01-21,"",2.13
2010-01-23,"",2.08
2010-01-25,"",2.53
2010-12-08,"",2.7
2010-12-13,"",1.94
2010-12-21,"",1.83
2010-12-30,"",2.31
2011-01-05,"",2.34
2011-12-26,"",2.38
2012-01-03,"",2.16
2012-01-12,"",1.71
2012-01-17,"",2.1
2012-12-28,"",1.85
2013-01-11,"",2.46
2013-01-17,"",2.37
2013-12-18,"",2.02
2013-12-28,"",1.82
2014-01-18,"",2.11
2014-01-24,"",2.08
2014-12-29,"",2.25
2015-01-07,"",1.75
2015-01-13,"",2.42
2015-01-16,"",2.57
2015-12-04,"",2.11
2015-12-11,"",2.27
2015-12-14,"",2.17
2015-12-29,"",2.75
2016-01-06,"",2.37
2016-01-14,"",2.3
2016-01-20,"",2.24
2016-01-20,"",2.1
2016-01-22,"",2.11
2016-12-13,"",2
2016-12-22,"",2
2016-12-27,"",2.25
2017-01-03,"",1.85
2017-01-10,"",2.09
2017-01-18,"",2.08
2017-01-18,"",2.37
2017-01-26,"",2.62
2017-01-26,"",2.02
2017-02-03,"",2.31
2018-01-04,"",2.25
