"Date","Q"
1993-12-03,0.0034
1994-01-09,0.05941
1994-01-26,0.0043
1994-12-14,0.00261
1995-01-13,0.00184
1995-01-23,0.01996
1995-12-06,0.00048
1996-01-10,0.00227
1996-01-13,0.00184
1996-01-18,0.01795
1996-12-03,0.0096
1996-12-18,0.05944
1996-12-30,0.04638
1997-01-13,0.00405
1997-01-24,0.00076
1997-12-23,0.03297
1997-12-26,0.11449
1998-01-04,0.00366
1998-01-06,0.0483
1998-01-24,0.01295
1999-01-22,0.073
1999-12-07,0.00805
1999-12-20,0.0552
1999-12-27,0.00485
1999-12-28,0.00048
2000-01-06,0.00661
2000-01-12,0.01354
2000-01-25,0.03552
2000-12-04,0.00014
2000-12-05,6e-05
2000-12-10,0.08545
2000-12-19,0.03132
2000-12-27,0.01862
2001-01-04,0
2001-01-14,0.01476
2001-01-18,0.0713
2001-01-24,0.03815
2001-12-05,0.02731
2001-12-11,0.07884
2001-12-21,0.15476
2001-12-29,0.73731
2002-01-10,0.31817
2002-01-16,0.48397
2002-12-13,0.07344
2002-12-27,0.00408
2003-01-16,0.03797
2003-01-27,0.03596
2003-12-12,0.05381
2003-12-18,0.03696
2003-12-29,0.00964
2004-01-21,0.00142
2004-11-24,0.03312
2004-12-01,0.06522
2004-12-08,0.2226
2004-12-14,0.01542
2004-12-21,0.13281
2004-12-29,0.02207
2005-01-05,0.01128
2005-01-20,0.09261
2005-12-05,0.04464
2005-12-14,0
2005-12-19,4e-04
2005-12-29,0.17549
2006-01-12,0.09691
2006-01-20,0.11768
2006-12-07,0
2006-12-11,0.0062
2006-12-19,0.00489
2006-12-31,0.03312
2007-01-03,0
2007-01-05,0
2007-01-08,0
2007-01-15,0
2007-01-22,0.07343
2007-12-04,0.00436
2007-12-11,0.01356
2007-12-19,0.18593
2007-12-25,0.25457
2008-01-01,0.00317
2008-01-08,0.01356
2008-01-15,0.08906
2008-01-28,0.00436
2008-11-18,0.04224
2008-11-25,0.04224
2008-12-04,0.00713
2008-12-08,0.14195
2008-12-17,0.13581
2008-12-22,0.17549
2008-12-29,0.48391
2009-01-03,0.2184
2009-01-15,0.00761
2009-11-23,0.03898
2009-12-04,0.11287
2009-12-11,0.01084
2009-12-15,0.12012
2009-12-18,0.04224
2009-12-22,0.0037
2009-12-28,0.014805
2010-01-05,0.01241
2010-01-08,0.01542
2010-01-12,0.08637
2010-01-16,0.00297
2010-01-21,0.10586
2010-01-22,0.12012
2010-01-25,0.05517
2010-12-09,0.08637
2010-12-15,0.10194
2010-12-21,0.29228
2010-12-29,0.29228
2011-01-04,0.00142
2011-01-13,4e-04
2011-11-29,0.05998
2011-12-05,0.05145
2011-12-15,0.03057
2011-12-19,0.03226
2011-12-28,0.40228
2012-01-03,0.14462
2012-01-10,0.16402
2012-01-18,0.01218
2012-11-30,0.00579
2012-12-04,0.01084
2012-12-11,0.02114
2012-12-20,0.00219
2012-12-27,0.16001
2013-01-10,0.06183
2013-01-23,0.02645
2013-12-03,0.00131
2013-12-12,0.03123
2013-12-19,0.18103
2013-12-29,0.00977
2014-01-09,0.43773
2014-01-17,0.0863
2014-01-23,0.20081
2014-11-25,0.00464
2014-12-07,0.00068
2014-12-15,0.00414
2014-12-28,0.24032
2015-01-09,0.00933
2015-01-15,0.00059
2015-01-16,0
2015-01-22,0.01627
2015-12-01,9e-05
2015-12-10,0.00216
2015-12-17,0.00617
2015-12-23,6e-05
2015-12-30,0.00445
2016-01-06,0.0011
2016-01-07,0.00269
2016-01-15,0.0082
2016-12-06,0
2016-12-13,0.00124
2016-12-18,0
2016-12-27,7e-05
2017-01-02,7e-05
2017-01-09,0.00168
2017-01-21,0.00108
2017-01-25,0.00105
2017-01-26,0.00037
2017-11-29,0.00023
2017-12-11,9e-05
2017-12-18,0.00222
2017-12-27,0.00119
2018-01-05,0.00405
2018-01-10,0.00304
2018-01-17,6e-05
2018-01-23,4e-05
