"Date","Q"
2010-10-01,12.5
2010-10-02,24.8
2010-10-03,24.3
2010-10-04,27.8
2010-10-05,29.2
2010-10-06,39.5
2010-10-07,58.6
2010-10-08,65.4
2010-10-09,59.1
2010-10-10,50.6
2010-10-11,44.2
2010-10-12,41.7
2010-10-13,35.6
2010-10-14,32.3
2010-10-15,84.7
2010-10-16,123
2010-10-17,152
2010-10-18,155
2010-10-19,139
2010-10-20,121
2010-10-21,108
2010-10-22,98.4
2010-10-23,85.9
2010-10-24,77.5
2010-10-25,71.4
2010-10-26,66.6
2010-10-27,62.1
2010-10-28,55.7
2010-10-29,48.8
2010-10-30,43.6
2010-10-31,41.3
2010-11-01,38.1
2010-11-02,35.4
2010-11-03,32.2
2010-11-04,35.5
2010-11-05,68.4
2010-11-06,87.2
2010-11-07,103
2010-11-08,124
2010-11-09,148
2010-11-10,176
2010-11-11,188
2010-11-12,186
2010-11-13,171
2010-11-14,152
2010-11-15,138
2010-11-16,127
2010-11-17,140
2010-11-18,162
2010-11-19,188
2010-11-20,197
2010-11-21,193
2010-11-22,180
2010-11-23,169
2010-11-24,157
2010-11-25,147
2010-11-26,142
2010-11-27,142
2010-11-28,137
2010-11-29,129
2010-11-30,122
2010-12-01,115
2010-12-02,119
2010-12-03,125
2010-12-04,125
2010-12-05,116
2010-12-06,105
2010-12-07,95.4
2010-12-08,81.8
2010-12-09,66.4
2010-12-10,63.9
2010-12-11,59.3
2010-12-12,55.2
2010-12-13,95.8
2010-12-14,143
2010-12-15,202
2010-12-16,235
2010-12-17,228
2010-12-18,190
2010-12-19,161
2010-12-20,142
2010-12-21,126
2010-12-22,114
2010-12-23,101
2010-12-24,88.7
2010-12-25,78.5
2010-12-26,72.4
2010-12-27,66.3
2010-12-28,66.4
2010-12-29,65.3
2010-12-30,66.5
2010-12-31,68.5
2011-01-01,71.9
2011-01-02,76.9
2011-01-03,86.7
2011-01-04,93.2
2011-01-05,95.4
2011-01-06,91.7
2011-01-07,85.3
2011-01-08,78
2011-01-09,67.8
2011-01-10,58.4
2011-01-11,54.2
2011-01-12,55.7
2011-01-13,63.4
2011-01-14,73.7
2011-01-15,76.7
2011-01-16,76.8
2011-01-17,76
2011-01-18,74.1
2011-01-19,87.7
2011-01-20,96.4
2011-01-21,101
2011-01-22,105
2011-01-23,110
2011-01-24,110
2011-01-25,109
2011-01-26,108
2011-01-27,109
2011-01-28,110
2011-01-29,107
2011-01-30,105
2011-01-31,101
2011-02-01,98.1
2011-02-02,96.3
2011-02-03,93.5
2011-02-04,91.1
2011-02-05,91.7
2011-02-06,101
2011-02-07,116
2011-02-08,132
2011-02-09,146
2011-02-10,162
2011-02-11,177
2011-02-12,191
2011-02-13,201
2011-02-14,208
2011-02-15,218
2011-02-16,225
2011-02-17,236
2011-02-18,254
2011-02-19,291
2011-02-20,319
2011-02-21,346
2011-02-22,361
2011-02-23,363
2011-02-24,364
2011-02-25,377
2011-02-26,460
2011-02-27,491
2011-02-28,531
2011-03-01,618
2011-03-02,678
2011-03-03,727
2011-03-04,713
2011-03-05,692
2011-03-06,894
2011-03-07,1050
2011-03-08,1140
2011-03-09,1200
2011-03-10,1250
2011-03-11,1270
2011-03-12,1290
2011-03-13,1300
2011-03-14,1290
2011-03-15,1210
2011-03-16,1090
2011-03-17,965
2011-03-18,905
2011-03-19,837
2011-03-20,771
2011-03-21,708
2011-03-22,664
2011-03-23,594
2011-03-24,534
2011-03-25,489
2011-03-26,447
2011-03-27,403
2011-03-28,359
2011-03-29,327
2011-03-30,302
2011-03-31,284
2011-04-01,295
2011-04-02,321
2011-04-03,349
2011-04-04,366
2011-04-05,379
2011-04-06,381
2011-04-07,385
2011-04-08,360
2011-04-09,335
2011-04-10,307
2011-04-11,287
2011-04-12,272
2011-04-13,291
2011-04-14,372
2011-04-15,437
2011-04-16,445
2011-04-17,478
2011-04-18,531
2011-04-19,568
2011-04-20,562
2011-04-21,526
2011-04-22,486
2011-04-23,455
2011-04-24,440
2011-04-25,424
2011-04-26,411
2011-04-27,395
2011-04-28,365
2011-04-29,343
2011-04-30,328
2011-05-01,305
2011-05-02,281
2011-05-03,257
2011-05-04,233
2011-05-05,232
2011-05-06,228
2011-05-07,224
2011-05-08,215
2011-05-09,199
2011-05-10,181
2011-05-11,164
2011-05-12,147
2011-05-13,130
2011-05-14,120
2011-05-15,120
2011-05-16,126
2011-05-17,146
2011-05-18,187
2011-05-19,225
2011-05-20,248
2011-05-21,260
2011-05-22,250
2011-05-23,235
2011-05-24,221
2011-05-25,232
2011-05-26,236
2011-05-27,217
2011-05-28,191
2011-05-29,163
2011-05-30,142
2011-05-31,122
2011-06-01,116
2011-06-02,106
2011-06-03,102
2011-06-04,99.3
2011-06-05,95.3
2011-06-06,89.2
2011-06-07,84.8
2011-06-08,80.7
2011-06-09,81.6
2011-06-10,83.2
2011-06-11,83.8
2011-06-12,97.7
2011-06-13,112
2011-06-14,116
2011-06-15,118
2011-06-16,115
2011-06-17,104
2011-06-18,95.8
2011-06-19,92.6
2011-06-20,85.4
2011-06-21,79.9
2011-06-22,78.6
2011-06-23,132
2011-06-24,194
2011-06-25,265
2011-06-26,321
2011-06-27,359
2011-06-28,367
2011-06-29,342
2011-06-30,299
2011-07-01,258
2011-07-02,221
2011-07-03,191
2011-07-04,163
2011-07-05,144
2011-07-06,126
2011-07-07,112
2011-07-08,103
2011-07-09,101
2011-07-10,94.6
2011-07-11,89.4
2011-07-12,83.6
2011-07-13,76.9
2011-07-14,75.8
2011-07-15,60.3
2011-07-16,59.6
2011-07-17,58.9
2011-07-18,56.8
2011-07-19,53.2
2011-07-20,48.9
2011-07-21,45
2011-07-22,41.5
2011-07-23,38.1
2011-07-24,35.3
2011-07-25,33.8
2011-07-26,35.1
2011-07-27,33.6
2011-07-28,30.5
2011-07-29,28.6
2011-07-30,26.5
2011-07-31,23.8
2011-08-01,20.9
2011-08-02,17.9
2011-08-03,16.8
2011-08-04,13.5
2011-08-05,7.99
2011-08-06,5.99
2011-08-07,13.9
2011-08-08,25.5
2011-08-09,30.5
2011-08-10,108
2011-08-11,166
2011-08-12,194
2011-08-13,191
2011-08-14,176
2011-08-15,170
2011-08-16,199
2011-08-17,208
2011-08-18,200
2011-08-19,186
2011-08-20,178
2011-08-21,163
2011-08-22,151
2011-08-23,140
2011-08-24,131
2011-08-25,120
2011-08-26,114
2011-08-27,102
2011-08-28,134
2011-08-29,171
2011-08-30,212
2011-08-31,239
2011-09-01,244
2011-09-02,229
2011-09-03,205
2011-09-04,178
2011-09-05,153
2011-09-06,137
2011-09-07,136
2011-09-08,177
2011-09-09,225
2011-09-10,252
2011-09-11,261
2011-09-12,257
2011-09-13,240
2011-09-14,218
2011-09-15,195
2011-09-16,169
2011-09-17,149
2011-09-18,135
2011-09-19,120
2011-09-20,110
2011-09-21,102
2011-09-22,95.8
2011-09-23,91.8
2011-09-24,108
2011-09-25,114
2011-09-26,127
2011-09-27,135
2011-09-28,136
2011-09-29,132
