"Date","Q"
1995-01-07,0.2145
1995-01-18,0.01775
1995-01-23,0.01504
1995-12-10,0.04497
1996-01-06,0.01005
1996-01-17,0.00801
1996-11-22,0.01376
1997-01-02,0.01985
1997-01-06,0.16231
1997-01-15,0.01784
1997-01-24,0.00453
1997-11-23,0.12627
1998-01-02,0.00022
1998-01-12,0.0014
1998-01-22,0.00086
1998-12-16,0.00021
1999-01-09,0.0739
1999-01-17,0.00118
1999-12-01,0.01189
1999-12-09,0.01738
1999-12-31,0.0066
2000-01-09,0.01511
2000-01-18,0.01584
2000-11-30,0.07536
2000-12-07,0.0359
2000-12-21,0.02416
2000-12-29,0.01402
2001-01-06,0.01189
2001-01-12,0.00321
2001-01-19,0.00526
2001-01-29,0.05765
2001-12-07,0.03161
2001-12-22,0.37761
2002-01-04,0.00746
2002-01-12,0.38976
2002-01-24,0.00526
2002-12-22,0.00746
2002-12-23,0.00479
2002-12-30,0.00629
2003-01-06,0.01105
2003-01-13,0.01613
2003-01-25,0.0261
2003-12-16,0.00394
2003-12-26,0.0261
2004-01-05,0.01709
2004-01-23,0.01709
2004-11-18,0.00138
2004-12-03,0.06914
2004-12-10,0.10307
2004-12-23,0.13125
2004-12-31,0.00104
2005-01-14,0.00257
2005-01-26,0.00054
2005-12-10,0.02127
2005-12-16,0.04302
2005-12-26,0.04485
2006-01-02,0.20105
2006-01-19,0.00526
2006-12-08,0.14158
2006-12-15,0.02741
2006-12-22,0.07646
2006-12-29,0.02483
2007-01-04,0.14876
2007-01-19,0.01613
2007-12-14,0.18809
2007-12-23,0.21863
2007-12-29,0.00037
2008-01-04,0.00089
2008-01-11,0.00076
2008-01-21,0.03309
2008-01-29,0.05223
2008-12-01,0.01267
2008-12-12,0.10307
2008-12-19,0.13808
2008-12-26,0.18389
2009-01-06,0.40529
2009-01-09,0.27691
2009-01-13,0.00229
2009-12-01,0.00629
2009-12-02,0.01433
2009-12-12,0.01267
2009-12-15,0.17975
2009-12-17,0.02242
2009-12-24,0.01267
2009-12-27,0.02876
2010-01-05,0.00076
2010-01-08,0.00024
2010-01-15,0
2010-01-22,0
2010-01-28,0.01025
2010-12-06,0
2010-12-13,0.2584
2010-12-20,0.09673
2011-01-08,0.07578
2011-01-15,0.0031
2011-11-19,0
2011-12-01,0.16162
2011-12-29,0.12501
2012-01-14,0.11314
2012-01-23,0.01221
2012-12-06,0.2728
2012-12-10,0.15716
2012-12-15,0.00188
2012-12-29,0.19532
2013-01-14,0.02321
2013-12-02,0.02721
2013-12-16,0.01299
2014-01-06,0.11992
2014-01-16,0.07645
2014-01-29,0.00617
2014-12-02,0.00072
2014-12-12,0.00172
2014-12-20,0.06468
2015-01-04,0.04701
2015-01-14,0.00163
2015-01-28,0.01199
