"Date","Q"
1996-10-01,8790
1996-10-02,8760
1996-10-03,8620
1996-10-04,8870
1996-10-05,8920
1996-10-06,8980
1996-10-07,8280
1996-10-08,8750
1996-10-09,8380
1996-10-10,8100
1996-10-11,8400
1996-10-12,8600
1996-10-13,8250
1996-10-14,8200
1996-10-15,7610
1996-10-16,7910
1996-10-17,7730
1996-10-18,9000
1996-10-19,9870
1996-10-20,10800
1996-10-21,10700
1996-10-22,10900
1996-10-23,12700
1996-10-24,13700
1996-10-25,14900
1996-10-26,16500
1996-10-27,17000
1996-10-28,17000
1996-10-29,17300
1996-10-30,18100
1996-10-31,18500
1996-11-01,20400
1996-11-02,20700
1996-11-03,21000
1996-11-04,20900
1996-11-05,21100
1996-11-06,21000
1996-11-07,20800
1996-11-08,21500
1996-11-09,21500
1996-11-10,21100
1996-11-11,21500
1996-11-12,21200
1996-11-13,20000
1996-11-14,17700
1996-11-15,16500
1996-11-16,16400
1996-11-17,16200
1996-11-18,21300
1996-11-19,25000
1996-11-20,28300
1996-11-21,30900
1996-11-22,32000
1996-11-23,31900
1996-11-24,28800
1996-11-25,27700
1996-11-26,25800
1996-11-27,23000
1996-11-28,20800
1996-11-29,19800
1996-11-30,21400
1996-12-01,22300
1996-12-02,23700
1996-12-03,23000
1996-12-04,21400
1996-12-05,20800
1996-12-06,20700
1996-12-07,22200
1996-12-08,22700
1996-12-09,21600
1996-12-10,20900
1996-12-11,21100
1996-12-12,21300
1996-12-13,21900
1996-12-14,22300
1996-12-15,21500
1996-12-16,19500
1996-12-17,18200
1996-12-18,16800
1996-12-19,16600
1996-12-20,16100
1996-12-21,14700
1996-12-22,13900
1996-12-23,14500
1996-12-24,16300
1996-12-25,15800
1996-12-26,15300
1996-12-27,14400
1996-12-28,15000
1996-12-29,15300
1996-12-30,15600
1996-12-31,15800
1997-01-01,15300
1997-01-02,14500
1997-01-03,14800
1997-01-04,15300
1997-01-05,15400
1997-01-06,15600
1997-01-07,14500
1997-01-08,13800
1997-01-09,13700
1997-01-10,12900
1997-01-11,13000
1997-01-12,13200
1997-01-13,12100
1997-01-14,11600
1997-01-15,11900
1997-01-16,12300
1997-01-17,13000
1997-01-18,14400
1997-01-19,13100
1997-01-20,13400
1997-01-21,13200
1997-01-22,13300
1997-01-23,13200
1997-01-24,13800
1997-01-25,13900
1997-01-26,13400
1997-01-27,13400
1997-01-28,13200
1997-01-29,13400
1997-01-30,13300
1997-01-31,13200
1997-02-01,13100
1997-02-02,12300
1997-02-03,13400
1997-02-04,13400
1997-02-05,13100
1997-02-06,12700
1997-02-07,13100
1997-02-08,13600
1997-02-09,13300
1997-02-10,12700
1997-02-11,13300
1997-02-12,12800
1997-02-13,12500
1997-02-14,12200
1997-02-15,12700
1997-02-16,12900
1997-02-17,12600
1997-02-18,12500
1997-02-19,12200
1997-02-20,12600
1997-02-21,12200
1997-02-22,12900
1997-02-23,12900
