"Date","Q"
1996-01-09,0.016
1996-01-23,0.05
1996-12-16,0
1997-01-07,0.453
1997-01-20,0.079
1997-12-29,0.219
1998-01-15,0.025
1998-01-22,0.011
1998-12-14,0.028
1998-12-27,0.969
1999-01-20,0.187
1999-12-06,0.081
1999-12-22,0.299
2000-01-07,0.276
2000-01-20,0.281
2000-12-20,0.039
2000-12-30,0.049
2001-01-22,0
2001-12-27,4.362
2002-01-18,7.904
2002-12-28,0.043
2003-01-11,0.567
2003-01-23,0
2004-01-26,0.021
2004-12-06,0.59
2004-12-27,0.315
2005-01-15,0.032
2005-01-28,0
2005-12-09,0.18363
2006-01-03,0.39657
2006-01-23,0.09293
2006-12-21,0.06873
2006-12-28,0.02761
2007-01-11,0.42737
2007-01-18,0.33105
2008-01-03,0.06934
2008-01-12,0.06172
2008-01-19,0.33761
2008-01-24,0.17808
2008-01-30,0.02996
2008-12-18,0.22622
2008-12-27,1.75757
2009-01-05,9.55502
2009-01-14,1.65749
2009-01-21,0.3092
2009-12-09,0.26799
2009-12-16,0.1397
2009-12-23,0.1611
2009-12-30,0.28778
2010-01-06,0.12115
2010-01-13,0.10567
2010-01-19,0.0672
2010-01-27,0.15246
2010-12-17,2.62482
2011-12-23,0.09112
2012-01-06,1.05865
2012-01-10,1.37916
2012-01-25,0.41781
2012-12-07,0.00256
2012-12-22,0.18325
2013-01-05,0.46989
2013-01-16,0.1341
2013-01-30,0.06741
2013-12-10,0.12679
2014-01-07,6.02969
2014-01-28,0.23281
2014-12-17,0.31202
2015-01-01,0.47612
2015-01-19,0.0254
2015-12-09,0.79561
2015-12-16,2.40839
2015-12-22,6.50075
2016-01-12,0.32648
2016-01-19,2.95694
2016-01-27,1.51706
2016-12-29,0.05715
2017-02-04,5e-04
2017-12-15,0.00077
2017-12-23,0.0022
2018-01-08,0.05686
2018-01-29,7e-05
