"Date","Q"
1994-12-29,0.075
1995-01-12,0.296
1996-01-09,0.039
1996-01-23,0.053
1997-12-30,0.294
1998-01-15,0.031
1998-01-22,0.035
1998-12-14,0.025
1998-12-27,0.83
1999-01-20,0.269
1999-12-06,0.014
1999-12-22,0.259
2000-01-07,0.278
2000-01-20,0.212
2000-12-20,0.109
2000-12-30,0.059
2001-01-22,0.001
2001-12-27,4.15
2002-01-18,6.925
2003-01-02,0.183
2003-01-11,0.313
2003-01-23,0.092
2003-12-16,0.3365
2004-01-26,0.0309
2004-12-06,0.756
2004-12-27,0.225
2005-12-09,0.19822
2006-01-03,0.31149
2006-12-06,0.19255
2006-12-21,0.06513
2006-12-28,0.0269
2007-01-11,0.42475
2007-01-18,0.21804
2007-12-13,0.13026
2007-12-21,0.79287
2007-12-28,0.25768
2008-01-03,0.08495
2008-01-12,0.04814
2008-01-19,0.23549
2008-01-24,0.13857
2008-01-30,0.03964
2008-12-09,0
2008-12-18,0.20105
2008-12-27,1.61458
2009-01-05,6.34297
2009-01-14,1.33089
2009-01-21,0.53802
2009-12-09,0.29861
2009-12-16,0.31149
2009-12-23,0.18377
2009-12-30,0.22937
2010-01-06,0.14438
2010-01-13,0.15875
2010-01-19,0.06513
2010-01-27,0.10985
2010-11-29,0.02102
2010-12-10,0.01444
2010-12-17,2.37862
2011-01-10,0.24118
2011-01-28,0.09557
2011-12-23,0.13222
2012-01-06,0.82239
2012-01-25,0.20561
2012-12-07,0.17586
2012-12-22,0.20218
2013-01-05,0.38921
2013-01-16,0.2072
2013-01-30,0.04377
2013-12-10,0.20584
2014-01-07,4.25769
2014-01-28,0.20125
2014-12-17,0.22256
2015-01-01,0.48924
2015-01-19,0.05951
2015-12-09,0.55591
2015-12-22,7.35409
2016-01-09,0.42742
2016-01-19,1.80198
2016-12-09,0.08799
2016-12-29,1.60157
2017-01-12,0.59761
2017-02-04,0.0501
2017-12-05,0.17083
2017-12-15,0.02282
2017-12-23,0.05038
2018-01-08,0.90614
2018-01-29,0.01155
