"Date","Q"
2010-10-01,0.47
2010-10-02,0.84
2010-10-03,0.2
2010-10-04,0.17
2010-10-05,0.2
2010-10-06,1.44
2010-10-07,3.8
2010-10-08,4.67
2010-10-09,2.68
2010-10-10,1.05
2010-10-11,0.74
2010-10-12,0.63
2010-10-13,0.54
2010-10-14,0.77
2010-10-15,6.64
2010-10-16,7.58
2010-10-17,8.48
2010-10-18,6.41
2010-10-19,5.17
2010-10-20,4.34
2010-10-21,3.56
2010-10-22,3
2010-10-23,2.52
2010-10-24,2.31
2010-10-25,1.91
2010-10-26,1.96
2010-10-27,2.01
2010-10-28,2.02
2010-10-29,2.34
2010-10-30,1.33
2010-10-31,1.04
2010-11-01,1.58
2010-11-02,1.66
2010-11-03,1.64
2010-11-04,3.25
2010-11-05,7.58
2010-11-06,7.04
2010-11-07,9.15
2010-11-08,21
2010-11-09,28.2
2010-11-10,32.6
2010-11-11,30
2010-11-12,26.9
2010-11-13,25.7
2010-11-14,30.4
2010-11-15,32.5
2010-11-16,27.6
2010-11-17,32.3
2010-11-18,31
2010-11-19,27.5
2010-11-20,24.9
2010-11-21,24.4
2010-11-22,23.3
2010-11-23,22
2010-11-24,21.6
2010-11-25,22
2010-11-26,23.2
2010-11-27,23.3
2010-11-28,22.3
2010-11-29,21.2
2010-11-30,19.8
2010-12-01,21.1
2010-12-02,22.4
2010-12-03,21.6
2010-12-04,20.5
2010-12-05,21.4
2010-12-06,20.8
2010-12-07,19.6
2010-12-08,18.1
2010-12-09,16.8
2010-12-10,14.9
2010-12-11,14.3
2010-12-12,19
2010-12-13,37.5
2010-12-14,53.1
2010-12-15,59.3
2010-12-16,54.4
2010-12-17,48.6
2010-12-18,43.2
2010-12-19,38.9
2010-12-20,35.3
2010-12-21,33.8
2010-12-22,32.4
2010-12-23,31.4
2010-12-24,28.3
2010-12-25,25.7
2010-12-26,24.7
2010-12-27,27.1
2010-12-28,26
2010-12-29,24.4
2010-12-30,23.4
2010-12-31,22.5
2011-01-01,23.2
2011-01-02,25.2
2011-01-03,26.6
2011-01-04,26.4
2011-01-05,25.9
2011-01-06,24.3
2011-01-07,22.9
2011-01-08,21.7
2011-01-09,21.2
2011-01-10,20.1
2011-01-11,18.5
2011-01-12,22.6
2011-01-13,23.3
2011-01-14,23.8
2011-01-15,25.1
2011-01-16,23.9
2011-01-17,22.8
2011-01-18,23.8
2011-01-19,32.9
2011-01-20,36.1
2011-01-21,37.9
2011-01-22,38.5
2011-01-23,38.6
2011-01-24,35
2011-01-25,35.2
2011-01-26,36.2
2011-01-27,35
2011-01-28,35.6
2011-01-29,34.8
2011-01-30,32.9
2011-01-31,31.2
2011-02-01,30.4
2011-02-02,30.7
2011-02-03,29.7
2011-02-04,29
2011-02-05,29.2
2011-02-06,33
2011-02-07,33.7
2011-02-08,35
2011-02-09,35.4
2011-02-10,35.7
2011-02-11,35.8
2011-02-12,36.4
2011-02-13,36.1
2011-02-14,36.6
2011-02-15,38.3
2011-02-16,36.5
2011-02-17,38
2011-02-18,41.5
2011-02-19,46
2011-02-20,45.5
2011-02-21,45.7
2011-02-22,44.3
2011-02-23,43.3
2011-02-24,42.4
2011-02-25,50.9
2011-02-26,59.7
2011-02-27,60
2011-02-28,65.7
2011-03-01,72.4
2011-03-02,76.7
2011-03-03,79.1
2011-03-04,79.2
2011-03-05,81.9
2011-03-06,101
2011-03-07,162
2011-03-08,214
2011-03-09,230
2011-03-10,217
2011-03-11,222
2011-03-12,236
2011-03-13,236
2011-03-14,224
2011-03-15,204
2011-03-16,186
2011-03-17,182
2011-03-18,175
2011-03-19,160
2011-03-20,146
2011-03-21,131
2011-03-22,124
2011-03-23,113
2011-03-24,105
2011-03-25,97.9
2011-03-26,88.2
2011-03-27,82
2011-03-28,75.4
2011-03-29,72.5
2011-03-30,69.7
2011-03-31,65.8
2011-04-01,71.9
2011-04-02,78.6
2011-04-03,81.7
2011-04-04,81.1
2011-04-05,77.7
