"Date","Q"
1993-12-15,0.00677
1994-01-08,0.04502
1994-01-19,0.06513
1994-01-26,0.00144
1994-12-15,0.00306
1995-01-08,0.04822
1995-01-17,0.00467
1995-01-20,0.00017
1995-12-01,0.00221
1996-12-08,0.00164
1996-12-18,0.00382
1997-01-03,0.01237
1997-01-16,0.00796
1998-01-12,0.00643
1998-01-17,0.00507
1998-01-22,0.00059
1998-12-22,0.05015
1999-01-08,0.00306
1999-01-17,0.00101
1999-12-09,0.0211
1999-12-24,0
2000-01-02,0.00168
2000-01-08,0.00125
2000-01-17,0.03693
2000-12-09,0.03615
2000-12-20,0.0089
2000-12-22,0.00371
2000-12-29,0.0089
2001-01-06,0.00031
2001-01-29,0.00712
2001-12-07,0.0092
2001-12-22,0.1921
2002-01-02,0.13523
2002-01-13,0.27995
2002-01-23,0.05971
2002-12-30,0.01836
2003-01-07,0.0085
2003-01-24,0.03145
2003-12-17,0
2003-12-26,0.07066
2004-11-18,0.01836
2004-11-26,0.01749
2004-12-03,0.00789
2004-12-11,0.00425
2004-12-31,0.00094
2005-01-14,0
2005-01-26,0.00094
2005-12-16,0.02111
2005-12-26,0.02775
2006-01-02,0.02478
2006-12-08,0
2006-12-23,0.01926
2007-01-04,0.2463
2007-01-19,0.05617
2008-01-04,0.0033
2008-01-11,0
2008-01-21,0.06483
2008-01-29,0.00142
2008-12-12,0.00954
2008-12-19,0.1488
2008-12-26,0.15997
2009-01-06,0.18092
2009-01-13,0.00425
2009-01-19,0
2009-12-02,0.00094
2009-12-12,0.00047
2009-12-17,0
2009-12-27,0.01133
2010-01-05,0.01443
2010-01-08,0.00467
2010-01-15,0.00378
2010-01-23,0.00901
2010-12-13,0.07929
2010-12-20,0.05617
2010-12-27,0.03346
2011-01-08,0.00047
