"Date","Q"
2000-02-15,0.0131952
2000-02-22,0.0290208
2000-02-29,0.01132
2000-03-07,0.016875
2000-03-14,0.016875
2000-03-21,0.0155328
2000-03-28,0.0215952
2000-04-04,0.0233998
2000-04-11,0.02532
2000-04-18,0.0215952
2000-04-25,0.0233998
2000-05-02,0.02532
2000-05-09,0.0233998
2000-05-16,0.0089568
2000-05-23,0.0105558
2000-06-06,0.0099072
2000-06-13,0.0129648
2000-06-20,0.0084688
2000-06-27,0.00888
2000-07-05,0.0093742
2000-07-11,0.0131952
2000-07-18,0.0131952
2000-07-25,0.0084432
2000-08-01,0.0129648
2000-08-08,0.00888
2000-08-15,0.0129648
2000-08-22,0.01132
2000-09-12,0.0084688
2000-09-19,0.018
2000-09-26,0.0089568
2000-10-03,0.0140502
2000-10-10,0.0099072
2000-10-17,0.01132
2000-10-24,0.0121998
2000-10-31,0.0143062
2000-11-07,0.02532
2000-11-14,0.01132
2000-11-21,0.0097792
2000-11-28,0.0097792
2000-12-05,0.01132
2000-12-12,0.00888
2000-12-26,0.0084688
2001-01-02,0.0131952
2001-01-09,0.0155328
2001-01-16,0.0155328
2001-01-23,0.0183328
2001-01-30,0.0152512
2001-02-06,0.0099072
2001-02-13,0.0089568
2001-02-20,0.011995
2001-02-27,0.0099072
2001-03-06,0.0155328
2001-03-13,0.0183328
2001-03-20,0.016875
2001-03-27,0.0143062
2001-04-03,0.016875
2001-04-10,0.01132
2001-04-17,0.01132
2001-04-24,0.07092
2001-05-01,0.03868
2001-05-08,0.00888
2001-05-15,0.0089568
2001-05-22,0.0089568
2001-05-29,0.01132
2001-06-05,0.0084688
2001-06-12,0.016875
2001-06-19,0.0183328
2001-09-04,0.0084432
2001-09-11,0.0099072
2001-09-18,0.0121998
2001-09-25,0.0089568
2001-10-02,0.0183328
2001-10-09,0.0212112
2001-10-16,0.0290208
2001-10-23,0.0097792
2001-10-30,0.0099072
2001-11-06,0.0089568
2001-11-13,0.0129648
2001-11-20,0.0084688
2001-11-27,0.0084688
2001-12-04,0.0089568
2001-12-11,0.0111408
2001-12-18,0.17008
2001-12-26,0.0290208
2002-01-02,0.00888
2002-01-08,0.0092718
2002-01-15,0.0084688
2002-01-22,0.0111408
2002-01-29,0.0140502
2002-02-05,0.0086038
2002-02-12,0.0089568
2002-02-19,0.0099072
2002-02-26,0.0084432
2002-03-05,0.0099072
2002-03-12,0.0131952
2002-03-19,0.0084688
2002-03-26,0.0183328
2002-04-02,0.0155328
2002-04-09,0.11472
2002-04-16,0.7713312
2002-04-23,0.0501888
2002-04-30,0.0097792
2002-05-07,0.11472
2002-05-14,0.0097792
2002-05-21,0.008655
2002-05-28,0.0212112
2002-06-04,0.00888
2002-06-11,0.0089568
2002-06-18,0.03868
2002-06-25,0.0099072
2002-07-02,0.0099072
2002-07-09,0.01132
2002-07-16,0.0215952
2002-07-23,0.0084432
2002-07-30,0.0183328
2002-08-06,0.0183328
2002-08-13,0.0183328
2002-08-20,0.016875
2002-08-27,0.0199062
2002-09-03,0.01132
2002-09-10,0.01132
2002-09-17,0.00888
2002-09-24,0.0212112
2002-10-01,0.0093742
2002-10-08,0.01132
2002-10-15,0.0131952
2002-10-22,0.0212112
2002-10-29,0.00888
2002-11-05,0.0131952
2002-11-12,0.0129648
2002-11-19,0.0212112
2002-11-26,0.016875
2002-12-03,0.01132
2002-12-10,0.00888
2002-12-17,0.0155328
2002-12-24,0.01132
2002-12-31,0.016875
2003-01-07,0.016875
2003-01-14,0.0199062
2003-01-21,0.0215952
2003-01-28,0.0121998
2003-02-04,0.0958128
2003-02-11,0.0099072
2003-02-18,0.0105558
2003-02-25,0.0089568
2003-03-04,0.0105558
2003-03-11,0.0215952
2003-03-18,0.02532
2003-03-25,0.02532
2003-04-01,0.0131952
2003-04-08,0.0155328
2003-04-15,0.0097792
2003-04-22,0.0212112
2003-04-29,0.00888
2003-05-06,0.0084688
2003-05-13,0.0099072
2003-05-20,0.0099072
2003-05-27,0.0099072
