"Date","Q"
1998-05-01,1178.02
1998-05-02,1147.78
1998-05-03,998.43
1998-05-04,904.58
1998-05-05,852.9
1998-05-06,872.96
1998-05-07,1175.18
1998-05-08,971.41
1998-05-09,445.57
1998-05-10,926.41
1998-05-11,1207.87
1998-05-12,948.86
1998-05-13,618.95
1998-05-14,207.6
1998-05-15,83.88
1998-05-16,205.91
1998-05-17,205.36
1998-05-18,50.15
1998-05-19,0
1998-05-20,24.2
1998-05-21,125.03
1998-05-22,113.26
1998-05-23,44.38
1998-05-24,86.03
1998-05-25,184.14
1998-05-26,225.92
1998-05-27,439.6
1998-05-28,218.35
1998-05-29,0
1998-05-30,51.42
1998-05-31,282.15
1998-06-01,94.08
1998-06-02,0
1998-06-03,12.6
1998-06-04,12.24
1998-06-05,0
1998-06-06,94.1
1998-06-07,245.26
1998-06-08,216.99
1998-06-09,42.98
1998-06-10,0
1998-06-11,0
1998-06-12,163.09
1998-06-13,320.15
1998-06-14,113.48
1998-06-15,0
1998-06-16,152.62
1998-06-17,307.24
1998-06-18,311.05
1998-06-19,314.03
1998-06-20,378.87
1998-06-21,238.15
1998-06-22,399.44
1998-06-23,277.61
1998-06-24,31.16
1998-06-25,136.16
1998-06-26,281.57
1998-06-27,166.64
1998-06-28,16.75
1998-06-29,88.5
1998-06-30,152.32
1998-07-01,103.76
1998-07-02,99.22
1998-07-03,122.54
1998-07-04,179.82
1998-07-05,124.29
1998-07-06,0
1998-07-07,1.06
1998-07-08,67.05
1998-07-09,86.21
1998-07-10,21.07
1998-07-11,0
1998-07-12,0
1998-07-13,88.02
1998-07-14,152.33
1998-07-15,149.84
1998-07-16,149.99
1998-07-17,147.63
1998-07-18,230.11
1998-07-19,350.93
1998-07-20,412.64
1998-07-21,686.06
1998-07-22,571.11
1998-07-23,464.71
1998-07-24,358.59
1998-07-25,185.48
1998-07-26,120.84
1998-07-27,250.96
1998-07-28,239.29
1998-07-29,46.69
1998-07-30,312.7
1998-07-31,516.22
1998-08-01,174.4
1998-08-02,0
1998-08-03,69.44
1998-08-04,285.81
1998-08-05,464.97
1998-08-06,188.91
1998-08-07,544.1
1998-08-08,1069.97
1998-08-09,1110.78
1998-08-10,1352.54
1998-08-11,975.07
1998-08-12,795.03
1998-08-13,980.57
1998-08-14,552.11
1998-08-15,285.99
1998-08-16,543.17
1998-08-17,670.02
1998-08-18,668.12
1998-08-19,323.23
1998-08-20,346.39
1998-08-21,915.37
1998-08-22,974.22
1998-08-23,509.1
1998-08-24,575.52
1998-08-25,663.4
1998-08-26,437.99
1998-08-27,252.05
1998-08-28,215.07
1998-08-29,286.76
1998-08-30,189.14
1998-08-31,98.3
1998-09-01,98.59
1998-09-02,175.09
1998-09-03,78.72
1998-09-04,45.93
1998-09-05,228.93
1998-09-06,325.51
1998-09-07,98.99
1998-09-08,268.17
1998-09-09,704.6
1998-09-10,2428.72
1998-09-11,2096.72
1998-09-12,992.06
1998-09-13,648.94
1998-09-14,555.66
1998-09-15,589.85
1998-09-16,569.77
1998-09-17,368.31
1998-09-18,555.96
1998-09-19,1753.69
1998-09-20,2531.38
1998-09-21,2355.72
1998-09-22,2319.73
1998-09-23,1965.41
1998-09-24,1282.34
1998-09-25,1001.23
1998-09-26,2630.65
1998-09-27,3511.8
1998-09-28,2596.33
1998-09-29,1523.27
1998-09-30,1262.77
1998-10-01,1126.39
1998-10-02,966.3
1998-10-03,738.7
1998-10-04,161.64
1998-10-05,100.6
1998-10-06,354.06
1998-10-07,527.13
1998-10-08,386.3
1998-10-09,86.92
1998-10-10,0
1998-10-11,0
1998-10-12,122.05
1998-10-13,328.27
1998-10-14,393.86
1998-10-15,187.61
1998-10-16,23.66
1998-10-17,1.41
1998-10-18,134.91
1998-10-19,354.11
1998-10-20,384.51
1998-10-21,225.14
1998-10-22,80.81
1998-10-23,57.08
1998-10-24,57.71
1998-10-25,184.04
1998-10-26,257.62
1998-10-27,250.04
1998-10-28,151.69
1998-10-29,18.31
1998-10-30,0
1998-10-31,1.02
1998-11-01,2.46
1998-11-02,3.97
1998-11-03,33.34
1998-11-04,159.94
1998-11-05,1047.7
1998-11-06,1288.92
1998-11-07,946.82
1998-11-08,891.76
1998-11-09,810.67
1998-11-10,516.88
1998-11-11,286.7
1998-11-12,337.03
1998-11-13,352.24
1998-11-14,347.84
1998-11-15,345.75
1998-11-16,249.84
1998-11-17,45.49
1998-11-18,2.43
1998-11-19,150.52
1998-11-20,368.76
1998-11-21,346.13
1998-11-22,169.58
1998-11-23,43.02
1998-11-24,22
1998-11-25,114.8
1998-11-26,180.53
1998-11-27,178.58
1998-11-28,124.56
1998-11-29,12.12
1998-11-30,0
1998-12-01,76.19
1998-12-02,170.16
1998-12-03,136.41
1998-12-04,114.88
1998-12-05,113.41
1998-12-06,110.92
1998-12-07,108.06
1998-12-08,105.73
1998-12-09,59.96
1998-12-10,39.85
1998-12-11,86.26
1998-12-12,132.26
1998-12-13,100.08
1998-12-14,67.26
1998-12-15,67.67
1998-12-16,65.99
1998-12-17,18.41
1998-12-18,49.3
1998-12-19,68.17
1998-12-20,119.43
1998-12-21,155.73
1998-12-22,151.58
1998-12-23,128.1
1998-12-24,126.19
1998-12-25,125.58
1998-12-26,124.08
1998-12-27,123.55
1998-12-28,122.88
1998-12-29,121.63
1998-12-30,118.82
1998-12-31,117.36
1999-01-01,117.27
1999-01-02,55.94
1999-01-03,132.69
1999-01-04,214.23
1999-01-05,197.31
1999-01-06,121.95
1999-01-07,103.37
1999-01-08,124.61
1999-01-09,132.5
1999-01-10,137.72
1999-01-11,77.68
1999-01-12,21.53
1999-01-13,25.57
1999-01-14,93.39
1999-01-15,142.46
1999-01-16,88.29
1999-01-17,63.8
1999-01-18,97.1
1999-01-19,108.6
1999-01-20,71.27
1999-01-21,54.58
1999-01-22,53.12
1999-01-23,51.49
1999-01-24,153.77
1999-01-25,236.83
1999-01-26,173.39
1999-01-27,152.67
1999-01-28,106.79
1999-01-29,88.16
1999-01-30,72.12
1999-01-31,69.39
1999-02-01,124.94
1999-02-02,125.57
1999-02-03,145.82
1999-02-04,130.42
1999-02-05,120.59
1999-02-06,118.03
1999-02-07,116.97
1999-02-08,115.87
1999-02-09,69.05
1999-02-10,94.1
1999-02-11,108.45
1999-02-12,91.81
1999-02-13,110.56
1999-02-14,79.52
1999-02-15,64.87
1999-02-16,63.94
1999-02-17,107.29
1999-02-18,79.97
1999-02-19,63.59
1999-02-20,63.56
1999-02-21,62.49
1999-02-22,62.01
1999-02-23,17.31
1999-02-24,20.6
1999-02-25,70.72
1999-02-26,84.12
1999-02-27,54.35
1999-02-28,0
1999-03-01,22.73
1999-03-02,99.24
1999-03-03,32.05
1999-03-04,22.32
1999-03-05,60.13
1999-03-06,60.22
1999-03-07,15.2
1999-03-08,0
1999-03-09,0
1999-03-10,46.07
1999-03-11,62.82
1999-03-12,17.52
1999-03-13,0
1999-03-14,0
1999-03-15,318.75
1999-03-16,1051.43
1999-03-17,1241.25
1999-03-18,1162.44
1999-03-19,1174.59
1999-03-20,1179.33
1999-03-21,1147.95
1999-03-22,1118.61
1999-03-23,1176.05
1999-03-24,1141.56
1999-03-25,1101.16
1999-03-26,1114.49
1999-03-27,1145.03
1999-03-28,1123.54
1999-03-29,1083.35
1999-03-30,1077.9
1999-03-31,1045.87
1999-04-01,1032.37
1999-04-02,1060.41
1999-04-03,1080.66
1999-04-04,1072.9
1999-04-05,1058.96
1999-04-06,1017.9
1999-04-07,984.44
1999-04-08,1000.74
1999-04-09,1056.95
1999-04-10,1029.3
1999-04-11,1017.99
1999-04-12,1022.94
1999-04-13,1028.49
1999-04-14,995.16
1999-04-15,962.94
1999-04-16,700.81
1999-04-17,539.75
1999-04-18,581.77
1999-04-19,503.11
1999-04-20,492.39
1999-04-21,530.93
1999-04-22,464.17
1999-04-23,450.46
1999-04-24,528.49
