"Date","Q"
1999-04-29,435
1999-04-30,123
1999-05-01,86
1999-05-02,73
1999-05-03,421
1999-05-04,286
1999-05-05,121
1999-05-06,0
1999-05-07,0
1999-05-08,0
1999-05-09,0
1999-05-10,0
1999-05-11,17
1999-05-12,25
1999-05-13,26
1999-05-14,16
1999-05-15,5
1999-05-16,0
1999-05-17,1
1999-05-18,3
1999-05-19,367
1999-05-20,0
1999-05-21,190
1999-05-22,372
1999-05-23,615
1999-05-24,98
1999-05-25,188
1999-05-26,177
1999-05-27,199
1999-05-28,909
1999-05-29,1603
1999-05-30,1430
1999-05-31,670
1999-06-01,379
1999-06-02,519
1999-06-03,512
1999-06-04,515
1999-06-05,327
1999-06-06,448
1999-06-07,772
1999-06-08,1124
1999-06-09,1107
1999-06-10,870
1999-06-11,821
1999-06-12,712
1999-06-13,863
1999-06-14,1315
1999-06-15,1766
1999-06-16,2280
1999-06-17,4640
1999-06-18,4529
1999-06-19,3623
1999-06-20,2879
1999-06-21,3040
1999-06-22,4005
1999-06-23,3710
1999-06-24,3071
1999-06-25,3312
1999-06-26,2248
1999-06-27,2215
1999-06-28,2115
1999-06-29,3394
1999-06-30,2456
1999-07-01,2307
1999-07-02,1908
1999-07-03,1804
1999-07-04,1515
1999-07-05,1267
1999-07-06,1051
1999-07-07,963
1999-07-08,927
1999-07-09,694
1999-07-10,537
1999-07-11,375
1999-07-12,282
1999-07-13,288
1999-07-14,311
1999-07-15,201
1999-07-16,240
1999-07-17,143
1999-07-18,83
1999-07-19,106
1999-07-20,166
1999-07-21,104
1999-07-22,163
1999-07-23,106
1999-07-24,442
1999-07-25,156
1999-07-26,82
1999-07-27,58
1999-07-28,566
1999-07-29,276
1999-07-30,311
1999-07-31,426
1999-08-01,260
1999-08-02,141
1999-08-03,63
1999-08-04,681
1999-08-05,472
1999-08-06,285
1999-08-07,196
1999-08-08,178
1999-08-09,186
1999-08-10,336
1999-08-11,224
1999-08-12,168
1999-08-13,163
1999-08-14,207
1999-08-15,169
1999-08-16,188
1999-08-17,202
1999-08-18,150
1999-08-19,307
1999-08-20,190
1999-08-21,196
1999-08-22,145
1999-08-23,133
1999-08-24,75
1999-08-25,128
1999-08-26,92
1999-08-27,84
1999-08-28,77
1999-08-29,71
1999-08-30,65
1999-08-31,59
1999-09-01,54
1999-09-02,50
1999-09-03,46
1999-09-04,42
1999-09-05,38
1999-09-06,35
1999-09-07,32
1999-09-08,30
1999-09-09,27
1999-09-10,25
1999-09-11,23
1999-09-12,21
1999-09-13,19
1999-09-14,18
1999-09-15,16
1999-09-16,15
1999-09-17,13
1999-09-18,12
1999-09-19,11
1999-09-20,10
1999-09-21,10
1999-09-22,9
1999-09-23,8
1999-09-24,7
1999-09-25,7
1999-09-26,6
1999-09-27,6
2000-04-20,0
2000-04-21,0
2000-04-22,0
2000-04-23,0
2000-04-24,0
2000-04-25,0
2000-04-26,0
2000-04-27,9
2000-04-28,5
2000-04-29,0
2000-04-30,0
2000-05-01,0
2000-05-02,101
2000-05-03,162
2000-05-04,403
2000-05-05,808
2000-05-06,353
2000-05-07,370
2000-05-08,132
2000-05-09,0
2000-05-10,59
2000-05-11,252
2000-05-12,164
2000-05-13,0
2000-05-14,0
2000-05-15,84
2000-05-16,255
2000-05-17,752
2000-05-18,2
2000-05-19,312
2000-05-20,219
2000-05-21,450
2000-05-22,600
2000-05-23,1475
2000-05-24,1964
2000-05-25,1443
2000-05-26,679
2000-05-27,995
2000-05-28,1767
2000-05-29,2552
2000-05-30,2744
2000-05-31,2105
2000-06-01,1706
2000-06-02,1608
2000-06-03,1804
2000-06-04,1856
2000-06-05,2107
2000-06-06,2269
2000-06-07,2206
2000-06-08,2028
2000-06-09,2107
2000-06-10,1421
2000-06-11,1213
2000-06-12,1308
2000-06-13,1372
2000-06-14,1490
2000-06-15,1528
2000-06-16,826
2000-06-17,735
2000-06-18,831
2000-06-19,1368
2000-06-20,1041
2000-06-21,1143
2000-06-22,1095
2000-06-23,971
2000-06-24,971
2000-06-25,851
2000-06-26,856
2000-06-27,731
2000-06-28,654
2000-06-29,639
2000-06-30,583
2000-07-01,541
2000-07-02,480
2000-07-03,437
2000-07-04,346
2000-07-05,424
2000-07-06,426
2000-07-07,378
2000-07-08,391
2000-07-09,463
2000-07-10,350
2000-07-11,249
2000-07-12,233
2000-07-13,230
2000-07-14,209
2000-07-15,213
2000-07-16,269
2000-07-17,269
2000-07-18,215
2000-07-19,162
2000-07-20,132
2000-07-21,96
2000-07-22,82
2000-07-23,51
2000-07-24,53
2000-07-25,37
2000-07-26,36
2000-07-27,11
2000-07-28,5
2000-07-29,3
2000-07-30,0
2000-07-31,0
2000-08-01,0
2000-08-02,0
2000-08-03,0
2000-08-04,0
2000-08-05,0
2000-08-06,0
2000-08-07,0
2000-08-08,0
2000-08-09,0
2000-08-10,0
2000-08-11,0
2001-05-03,0
2001-05-04,0
2001-05-05,0
2001-05-06,0
2001-05-07,5
2001-05-08,21
2001-05-09,3
2001-05-10,81
2001-05-11,157
2001-05-12,289
2001-05-13,325
2001-05-14,785
2001-05-15,522
2001-05-16,840
2001-05-17,283
2001-05-18,145
2001-05-19,365
2001-05-20,335
2001-05-21,38
2001-05-22,88
2001-05-23,151
2001-05-24,379
2001-05-25,354
2001-05-26,654
2001-05-27,1021
2001-05-28,418
2001-05-29,513
2001-05-30,500
2001-05-31,920
2001-06-01,1181
2001-06-02,1446
2001-06-03,864
2001-06-04,864
2001-06-05,986
2001-06-06,1580
2001-06-07,1690
2001-06-08,1715
2001-06-09,1192
2001-06-10,1500
2001-06-11,1530
2001-06-12,1090
2001-06-13,657
2001-06-14,497
2001-06-15,699
2001-06-16,912
2001-06-17,938
2001-06-18,761
2001-06-19,931
2001-06-20,866
2001-06-21,840
2001-06-22,751
2001-06-23,755
2001-06-24,837
2001-06-25,770
2001-06-26,720
2001-06-27,656
2001-06-28,593
2001-06-29,540
2001-06-30,487
2001-07-01,434
2001-07-02,381
2001-07-03,329
2001-07-04,339
2001-07-05,348
2001-07-06,364
2001-07-07,341
2001-07-08,336
2001-07-09,281
2001-07-10,285
2001-07-11,242
2001-07-12,257
2001-07-13,319
2001-07-14,262
2001-07-15,223
2001-07-16,179
2001-07-17,159
2001-07-18,152
2001-07-19,122
2001-07-20,112
2001-07-21,109
2001-07-22,79
2001-07-23,104
2001-07-24,68
2001-07-25,68
2001-07-26,69
2001-07-27,56
2001-07-28,40
2001-07-29,34
2001-07-30,25
2001-07-31,26
2001-08-01,30
2001-08-02,25
2001-08-03,26
2001-08-04,31
2001-08-05,3
2001-08-06,6
2001-08-07,189
2001-08-08,64
2001-08-09,36
2001-08-10,8
2001-08-11,0
2001-08-12,13
2001-08-13,35
2001-08-14,40
2001-08-15,4
2001-08-16,1
2001-08-17,0
2001-08-18,0
2001-08-19,0
2001-08-20,6
2001-08-21,0
2001-08-22,21
2001-08-23,1
2001-08-24,40
2001-08-25,0
2001-08-26,0
2001-08-27,0
2001-08-28,0
2001-08-29,0
2001-08-30,0
2001-08-31,0
2001-09-01,0
2001-09-02,0
2001-09-03,0
2001-09-04,0
2001-09-05,0
2002-04-27,0
2002-04-28,0
2002-04-29,66
2002-04-30,0
2002-05-01,66
2002-05-02,0
2002-05-03,115
2002-05-04,106
2002-05-05,62
2002-05-06,76
2002-05-07,0
2002-05-08,0
2002-05-09,0
2002-05-10,0
2002-05-11,0
2002-05-12,0
2002-05-13,0
2002-05-14,0
2002-05-15,0
2002-05-16,0
2002-05-17,0
2002-05-18,0
2002-05-19,0
2002-05-20,0
2002-05-21,194
2002-05-22,3
2002-05-23,0
2002-05-24,0
2002-05-25,0
2002-05-26,60
2002-05-27,204
2002-05-28,158
2002-05-29,351
2002-05-30,401
2002-05-31,291
2002-06-01,131
2002-06-02,69
2002-06-03,8
2002-06-04,38
2002-06-05,76
2002-06-06,205
2002-06-07,204
2002-06-08,217
2002-06-09,209
2002-06-10,142
2002-06-11,126
2002-06-12,86
2002-06-13,73
2002-06-14,25
2002-06-15,2
2002-06-16,31
2002-06-17,54
2002-06-18,45
2002-06-19,36
2002-06-20,58
2002-06-21,41
2002-06-22,13
2002-06-23,2
2002-06-24,0
2002-06-25,0
2002-06-26,0
2002-06-27,0
2002-06-28,0
2002-06-29,0
2002-06-30,0
2002-07-01,0
2002-07-02,0
2002-07-03,0
2002-07-04,0
2002-07-05,0
2002-07-06,0
2002-07-07,0
2002-07-08,0
2002-07-09,0
2002-07-10,0
2002-07-11,0
2002-07-12,0
2002-07-13,0
2002-07-14,0
2002-07-15,0
2002-07-16,0
2002-07-17,0
2002-07-18,0
2002-07-19,0
2002-07-20,0
2002-07-21,0
2002-07-22,0
2002-07-23,0
2002-07-24,0
2002-07-25,0
2002-07-26,0
2002-07-27,0
2002-07-28,0
2002-07-29,0
2003-04-29,2
2003-04-30,0
2003-05-01,0
2003-05-02,0
2003-05-03,0
2003-05-04,0
2003-05-05,0
2003-05-06,0
2003-05-07,2
2003-05-08,4
2003-05-09,0
2003-05-10,0
2003-05-11,0
2003-05-12,16
2003-05-13,0
2003-05-14,1
2003-05-15,0
2003-05-16,19
2003-05-17,133
2003-05-18,208
2003-05-19,98
2003-05-20,98
2003-05-21,189
2003-05-22,309
2003-05-23,564
2003-05-24,601
2003-05-25,864
2003-05-26,763
2003-05-27,350
2003-05-28,1723
2003-05-29,2749
2003-05-30,3586
2003-05-31,4022
2003-06-01,2282
2003-06-02,1897
2003-06-03,1739
2003-06-04,1264
2003-06-05,1157
2003-06-06,1132
2003-06-07,937
2003-06-08,1004
2003-06-09,1402
2003-06-10,1808
2003-06-11,2133
2003-06-12,1685
2003-06-13,1397
2003-06-14,2204
2003-06-15,1880
2003-06-16,1605
2003-06-17,1634
2003-06-18,1501
2003-06-19,1836
2003-06-20,1696
2003-06-21,1660
2003-06-22,1779
2003-06-23,1703
2003-06-24,1769
2003-06-25,1121
2003-06-26,1309
2003-06-27,1452
2003-06-28,1462
2003-06-29,1287
2003-06-30,1439
2003-07-01,1350
2003-07-02,1261
2003-07-03,1173
2003-07-04,1084
2003-07-05,996
2003-07-06,907
2003-07-07,819
2003-07-08,636
2003-07-09,566
2003-07-10,524
2003-07-11,433
2003-07-12,426
2003-07-13,383
2003-07-14,356
2003-07-15,357
2003-07-16,373
2003-07-17,265
2003-07-18,281
2003-07-19,281
2003-07-20,265
2003-07-21,243
2003-07-22,235
2003-07-23,204
2003-07-24,204
2003-07-25,146
2003-07-26,122
2003-07-27,102
2003-07-28,131
2003-07-29,110
2003-07-30,90
2003-07-31,65
2003-08-01,42
2003-08-02,41
2003-08-03,62
2003-08-04,34
2003-08-05,27
2003-08-06,12
2003-08-07,87
2003-08-08,23
2003-08-09,16
2003-08-10,29
2003-08-11,0
2003-08-12,0
2003-08-13,0
2003-08-14,0
2003-08-15,0
2003-08-16,107
2003-08-17,105
2003-08-18,0
2003-08-19,0
2003-08-20,0
2004-04-13,0
2004-04-14,0
2004-04-15,0
2004-04-16,0
2004-04-17,0
2004-04-18,0
2004-04-19,0
2004-04-20,0
2004-04-21,0
2004-04-22,0
2004-04-23,0
2004-04-24,0
2004-04-25,0
2004-04-26,0
2004-04-27,0
2004-04-28,0
2004-04-29,0
2004-04-30,0
2004-05-01,0
2004-05-02,0
2004-05-03,0
2004-05-04,221
2004-05-05,1064
2004-05-06,487
2004-05-07,340
2004-05-08,173
2004-05-09,191
2004-05-10,249
2004-05-11,509
2004-05-12,0
2004-05-13,0
2004-05-14,0
2004-05-15,0
2004-05-16,0
2004-05-17,5
2004-05-18,70
2004-05-19,143
2004-05-20,103
2004-05-21,103
2004-05-22,10
2004-05-23,32
2004-05-24,23
2004-05-25,4
2004-05-26,38
2004-05-27,97
2004-05-28,142
2004-05-29,120
2004-05-30,0
2004-05-31,3
2004-06-01,21
2004-06-02,74
2004-06-03,172
2004-06-04,160
2004-06-05,283
2004-06-06,204
2004-06-07,6
2004-06-08,0
2004-06-09,225
2004-06-10,1164
2004-06-11,896
2004-06-12,797
2004-06-13,885
2004-06-14,890
2004-06-15,954
2004-06-16,864
2004-06-17,1048
2004-06-18,1133
2004-06-19,1026
2004-06-20,960
2004-06-21,851
2004-06-22,814
2004-06-23,850
2004-06-24,864
2004-06-25,862
2004-06-26,862
2004-06-27,864
2004-06-28,909
2004-06-29,897
2004-06-30,884
2004-07-01,914
2004-07-02,462
2004-07-03,414
2004-07-04,402
2004-07-05,406
2004-07-06,436
2004-07-07,408
2004-07-08,423
2004-07-09,369
2004-07-10,350
2004-07-11,298
2004-07-12,257
2004-07-13,239
2004-07-14,239
2004-07-15,248
2004-07-16,247
2004-07-17,80
2004-07-18,33
2004-07-19,80
2004-07-20,32
2004-07-21,51
2004-07-22,262
2004-07-23,238
2004-07-24,179
2004-07-25,161
2004-07-26,115
2004-07-27,130
2004-07-28,136
2004-07-29,141
2004-07-30,122
2004-07-31,86
2004-08-01,73
2004-08-02,49
2004-08-03,59
2004-08-04,44
2004-08-05,21
2004-08-06,6
2004-08-07,14
2004-08-08,8
2004-08-09,41
2004-08-10,54
2004-08-11,47
2004-08-12,35
2004-08-13,40
2004-08-14,20
2004-08-15,22
2004-08-16,0
2004-08-17,0
2004-08-18,98
2004-08-19,88
2004-08-20,61
2004-08-21,42
2004-08-22,34
2004-08-23,13
2004-08-24,11
2004-08-25,0
2004-08-26,43
2004-08-27,71
2004-08-28,0
2004-08-29,0
2004-08-30,0
2004-08-31,0
2004-09-01,0
2005-05-06,0
2005-05-07,0
2005-05-08,0
2005-05-09,1
2005-05-10,0
2005-05-11,0
2005-05-12,0
2005-05-13,0
2005-05-14,0
2005-05-15,500
2005-05-16,601
2005-05-17,14
2005-05-18,113
2005-05-19,703
2005-05-20,1165
2005-05-21,1480
2005-05-22,1775
2005-05-23,1381
2005-05-24,807
2005-05-25,104
2005-05-26,1245
2005-05-27,1181
2005-05-28,1730
2005-05-29,1605
2005-05-30,1568
2005-05-31,1612
2005-06-01,1277
2005-06-02,1167
2005-06-03,941
2005-06-04,943
2005-06-05,861
2005-06-06,818
2005-06-07,850
2005-06-08,675
2005-06-09,674
2005-06-10,527
2005-06-11,494
2005-06-12,488
2005-06-13,467
2005-06-14,655
2005-06-15,436
2005-06-16,491
2005-06-17,562
2005-06-18,572
2005-06-19,638
2005-06-20,651
2005-06-21,797
2005-06-22,793
2005-06-23,879
2005-06-24,790
2005-06-25,869
2005-06-26,1200
2005-06-27,1141
2005-06-28,1361
2005-06-29,1559
2005-06-30,1418
2005-07-01,1398
2005-07-02,784
2005-07-03,737
2005-07-04,694
2005-07-05,477
2005-07-06,430
2005-07-07,543
2005-07-08,328
2005-07-09,343
2005-07-10,203
2005-07-11,193
2005-07-12,440
2005-07-13,365
2005-07-14,337
2005-07-15,134
2005-07-16,167
2005-07-17,273
2005-07-18,226
2005-07-19,217
2005-07-20,175
2005-07-21,153
2005-07-22,79
2005-07-23,92
2005-07-24,148
2005-07-25,92
2005-07-26,89
2005-07-27,48
2005-07-28,36
2005-07-29,41
2005-07-30,39
2005-07-31,35
2005-08-01,78
2005-08-02,143
2005-08-03,178
2005-08-04,222
2005-08-05,145
2005-08-06,92
2005-08-07,76
2005-08-08,43
2005-08-09,42
2005-08-10,90
2005-08-11,65
2005-08-12,45
2005-08-13,110
2005-08-14,43
2005-08-15,45
2005-08-16,50
2005-08-17,27
2005-08-18,1
2005-08-19,0
2005-08-20,0
2005-08-21,3
2005-08-22,0
2005-08-23,0
2005-08-24,0
2005-08-25,1
2005-08-26,0
2005-08-27,0
2005-08-28,0
2005-08-29,0
2005-08-30,0
2005-08-31,0
2006-05-05,0
2006-05-06,0
2006-05-07,0
2006-05-08,0
2006-05-09,0
2006-05-10,0
2006-05-11,0
2006-05-12,0
2006-05-13,78
2006-05-14,0
2006-05-15,197
2006-05-16,374
2006-05-17,482
2006-05-18,559
2006-05-19,469
2006-05-20,983
2006-05-21,681
2006-05-22,559
2006-05-23,580
2006-05-24,811
2006-05-25,939
2006-05-26,988
2006-05-27,840
2006-05-28,665
2006-05-29,524
2006-05-30,411
2006-05-31,706
2006-06-01,1174
2006-06-02,1257
2006-06-03,915
2006-06-04,1847
2006-06-05,2033
2006-06-06,2290
2006-06-07,2301
2006-06-08,3273
2006-06-09,3707
2006-06-10,2524
2006-06-11,2130
2006-06-12,2020
2006-06-13,2294
2006-06-14,2327
2006-06-15,1470
2006-06-16,1285
2006-06-17,1571
2006-06-18,1540
2006-06-19,1350
2006-06-20,1230
2006-06-21,1094
2006-06-22,973
2006-06-23,984
2006-06-24,852
2006-06-25,842
2006-06-26,835
2006-06-27,781
2006-06-28,764
2006-06-29,547
2006-06-30,562
2006-07-01,516
2006-07-02,672
2006-07-03,680
2006-07-04,584
2006-07-05,544
2006-07-06,564
2006-07-07,1097
2006-07-08,1188
2006-07-09,757
2006-07-10,763
2006-07-11,566
2006-07-12,582
2006-07-13,572
2006-07-14,500
2006-07-15,573
2006-07-16,415
2006-07-17,342
2006-07-18,334
2006-07-19,279
2006-07-20,206
2006-07-21,269
2006-07-22,369
2006-07-23,414
2006-07-24,267
2006-07-25,85
2006-07-26,224
2006-07-27,221
2006-07-28,150
2006-07-29,37
2006-07-30,2
2006-07-31,54
2006-08-01,32
2006-08-02,94
2006-08-03,171
2006-08-04,249
2006-08-05,237
2006-08-06,216
2006-08-07,117
2006-08-08,11
2006-08-09,1
2006-08-10,235
2006-08-11,413
2006-08-12,550
2006-08-13,441
2006-08-14,307
2006-08-15,391
2006-08-16,196
2006-08-17,196
2006-08-18,323
2006-08-19,317
2006-08-20,122
2006-08-21,0
2006-08-22,0
2006-08-23,0
2006-08-24,0
2006-08-25,44
2006-08-26,165
2006-08-27,23
2006-08-28,0
2006-08-29,0
2006-08-30,0
2006-08-31,0
2006-09-01,0
2006-09-02,0
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,0
2006-09-07,42
2006-09-08,555
2006-09-09,403
2006-09-10,0
2006-09-11,0
2007-04-26,0
2007-04-27,10
2007-04-28,6
2007-04-29,270
2007-04-30,522
2007-05-01,496
2007-05-02,536
2007-05-03,742
2007-05-04,167
2007-05-05,0
2007-05-06,0
2007-05-07,0
2007-05-08,1
2007-05-09,0
2007-05-10,200
2007-05-11,622
2007-05-12,831
2007-05-13,892
2007-05-14,1008
2007-05-15,1022
2007-05-16,988
2007-05-17,873
2007-05-18,1080
2007-05-19,1262
2007-05-20,1172
2007-05-21,1251
2007-05-22,720
2007-05-23,498
2007-05-24,432
2007-05-25,514
2007-05-26,513
2007-05-27,1159
2007-05-28,1419
2007-05-29,799
2007-05-30,653
2007-05-31,614
2007-06-01,552
2007-06-02,1034
2007-06-03,1012
2007-06-04,1127
2007-06-05,1180
2007-06-06,810
2007-06-07,615
2007-06-08,763
2007-06-09,988
2007-06-10,1155
2007-06-11,1132
2007-06-12,1069
2007-06-13,978
2007-06-14,1195
2007-06-15,1320
2007-06-16,1336
2007-06-17,1451
2007-06-18,1099
2007-06-19,1100
2007-06-20,1069
2007-06-21,1101
2007-06-22,1013
2007-06-23,1042
2007-06-24,1026
2007-06-25,1049
2007-06-26,797
2007-06-27,792
2007-06-28,736
2007-06-29,800
2007-06-30,773
2007-07-01,759
2007-07-02,722
2007-07-03,692
2007-07-04,752
2007-07-05,609
2007-07-06,608
2007-07-07,691
2007-07-08,604
2007-07-09,607
2007-07-10,516
2007-07-11,443
2007-07-12,425
2007-07-13,409
2007-07-14,385
2007-07-15,416
2007-07-16,361
2007-07-17,387
2007-07-18,443
2007-07-19,373
2007-07-20,356
2007-07-21,321
2007-07-22,353
2007-07-23,302
2007-07-24,274
2007-07-25,318
2007-07-26,375
2007-07-27,368
2007-07-28,319
2007-07-29,308
2007-07-30,260
2007-07-31,246
2007-08-01,240
2007-08-02,236
2007-08-03,244
2007-08-04,216
2007-08-05,216
2007-08-06,197
2007-08-07,245
2007-08-08,181
2007-08-09,159
2007-08-10,149
2007-08-11,131
2007-08-12,115
2007-08-13,110
2007-08-14,139
2007-08-15,98
2007-08-16,90
2007-08-17,73
2007-08-18,140
2007-08-19,81
2007-08-20,71
2007-08-21,35
2007-08-22,46
2007-08-23,72
2007-08-24,39
2007-08-25,18
2007-08-26,15
2007-08-27,44
2007-08-28,27
2007-08-29,25
2007-08-30,9
2007-08-31,15
2007-09-01,4
2007-09-02,4
2007-09-03,10
2007-09-04,1
2007-09-05,20
2007-09-06,6
2007-09-07,1
2007-09-08,1
2007-09-09,3
2007-09-10,6
2007-09-11,2
2007-09-12,0
2007-09-13,0
2007-09-14,1
2007-09-15,0
2007-09-16,52
2007-09-17,10
2007-09-18,0
2007-09-19,0
2008-04-15,2.1
2008-04-22,1.3
2008-04-23,0.3
2008-04-24,0.8
2008-04-25,0.01
2008-04-26,0
2008-04-27,0.01
2008-04-28,4.8
2008-04-29,4.9
2008-04-30,7.8
2008-05-01,0.2
2008-05-02,0
2008-05-03,10
2008-05-04,21
2008-05-05,14
2008-05-06,14
2008-05-07,27
2008-05-08,0
2008-05-09,0
2008-05-10,0
2008-05-11,1
2008-05-12,13
2008-05-13,0
2008-05-14,0
2008-05-15,0
2008-05-16,0
2008-05-17,0
2008-05-18,16
2008-05-19,175
2008-05-20,340
2008-05-21,455
2008-05-22,124
2008-05-23,30
2008-05-24,84
2008-05-25,78
2008-05-26,53
2008-05-27,35
2008-05-28,327
2008-05-29,832
2008-05-30,946
2008-05-31,1319
2008-06-01,1701
2008-06-02,1594
2008-06-03,1420
2008-06-04,874
2008-06-05,256
2008-06-06,232
2008-06-07,461
2008-06-08,206
2008-06-09,247
2008-06-10,1077
2008-06-11,310
2008-06-12,116
2008-06-13,276
2008-06-14,1184
2008-06-15,1421
2008-06-16,1398
2008-06-17,1288
2008-06-18,1180
2008-06-19,1375
2008-06-20,1408
2008-06-21,1294
2008-06-22,1260
2008-06-23,1371
2008-06-24,1490
2008-06-25,1367
2008-06-26,1466
2008-06-27,1441
2008-06-28,1065
2008-06-29,1182
2008-06-30,1098
2008-07-01,1056
2008-07-02,927
2008-07-03,938
2008-07-04,760
2008-07-05,793
2008-07-06,684
2008-07-07,640
2008-07-08,545
2008-07-09,558
2008-07-10,511
2008-07-11,464
2008-07-12,439
2008-07-13,386
2008-07-14,324
2008-07-15,335
2008-07-16,289
2008-07-17,285
2008-07-18,261
2008-07-19,255
2008-07-20,211
2008-07-21,197
2008-07-22,208
2008-07-23,306
2008-07-24,232
2008-07-25,179
2008-07-26,155
2008-07-27,134
2008-07-28,123
2008-07-29,112
2008-07-30,89
2008-07-31,71
2008-08-01,54
2008-08-02,54
2008-08-03,84
2008-08-04,41
2008-08-05,47
2008-08-06,110
2008-08-07,59
2008-08-08,43
2008-08-09,122
2008-08-10,76
2008-08-11,42
2008-08-12,25
2008-08-13,20
2008-08-14,34
2008-08-15,70
2008-08-16,122
2008-08-17,145
2008-08-18,115
2008-08-19,75
2008-08-20,46
2008-08-21,24
2008-08-22,21
2008-08-23,23
2008-08-24,23
2008-08-25,47
2008-08-26,15
2008-08-27,10
2008-08-28,15
2008-08-29,7
2008-08-30,4
2008-08-31,11
2008-09-01,2
2008-09-02,3
2008-09-03,1
2008-09-04,14
2008-09-05,11
2008-09-06,0
2008-09-07,0
2008-09-08,0
2008-09-09,0
2008-09-10,0
2008-09-11,11
2008-09-12,54
2008-09-13,75
2008-09-14,47
2008-09-15,12
2008-09-16,1
2008-09-17,0
2008-09-18,21
2008-09-19,24
2008-09-20,24
2008-09-21,7
2008-09-22,0
2009-04-16,0
2009-04-23,2.6
2009-04-24,0.4
2009-04-25,0.02
2009-04-26,0
2009-04-27,0
2009-04-28,4
2009-04-29,17
2009-04-30,16
2009-05-01,0
2009-05-02,7
2009-05-03,3
2009-05-04,1
2009-05-05,25
2009-05-06,161
2009-05-07,6
2009-05-08,14
2009-05-09,1
2009-05-10,4
2009-05-11,18
2009-05-12,50
2009-05-13,178
2009-05-14,106
2009-05-15,93
2009-05-16,177
2009-05-17,250
2009-05-18,395
2009-05-19,634
2009-05-20,1274
2009-05-21,741
