"Date","Q"
1994-01-02,0.02871
1994-01-13,0.09953
1994-01-26,0
1994-12-14,0
1995-01-14,0.00023
1995-01-23,0.00023
1995-12-28,0.01218
1996-01-12,0
1996-12-19,0.0028
1996-12-31,0.00212
1997-01-13,0.00161
1997-12-26,0.00326
1999-01-20,0.00161
1999-01-22,0.00161
2001-12-26,0.00882
2002-01-11,0.31291
2002-01-25,0
2003-01-01,0.0045
2003-01-24,0.00178
2003-01-30,0.0045
2003-12-27,0.00415
2004-01-21,0.00057
2004-11-23,0.02463
2004-12-02,0.02797
2004-12-07,0.25618
2004-12-14,0.00491
2004-12-22,0.00491
2004-12-30,0.00396
2005-01-11,0.00207
2005-01-23,0.00239
2005-12-08,0.00082
2005-12-13,0.0013
2005-12-20,0.00051
2006-01-03,0.00396
2007-01-03,0.00166
2007-01-09,0.00696
2007-01-15,0.00283
2007-12-17,0.07937
2007-12-26,0.00166
2008-01-01,0.00065
2008-01-07,0.00057
2008-01-15,0.00074
2008-12-15,0
2008-12-18,0.01767
2008-12-23,0.05989
2008-12-30,0.03115
2009-01-08,0.18552
2009-01-16,0
2009-12-14,0.00028
2009-12-17,0.05989
2009-12-22,0.00034
2009-12-27,0.20756
2009-12-29,0.00109
2010-01-05,0.00057
2010-01-17,0.0013
2010-01-21,0.11058
2010-01-23,0.00425
2010-01-25,0.00425
2010-12-08,0
2010-12-13,0.19631
2010-12-21,0.30441
2010-12-30,0.00283
2011-01-05,0.07937
2011-12-26,0
2012-01-03,0.00097
2012-01-12,0.1152
2012-01-17,0.00409
2013-01-11,0.00069
2013-01-17,0.00214
2013-12-18,0.00646
2013-12-28,0.05755
2014-01-18,0.00444
2014-01-24,0.00207
2014-12-29,0.00147
2015-01-07,0.00139
2015-01-13,0.00026
2015-01-16,0.00013
2015-12-04,0.00455
2015-12-11,0.00065
2015-12-14,0.00193
2015-12-29,0.00062
2016-01-06,0.00177
2016-01-14,0.00141
2016-01-20,0.00057
2016-01-22,0.00023
2016-12-13,0.00076
2016-12-22,0.00041
2016-12-27,4e-05
2017-01-03,0.00541
2017-01-10,0.00299
2017-01-18,0.001135
2017-01-26,0.00019
2017-02-03,0.00014
2018-01-04,0.00973
