"Date","Q"
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,0
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,0
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,0
2015-01-28,0
2015-01-29,0
2015-01-30,0
2015-01-31,0
2015-02-01,0
2015-02-02,0
2015-02-03,0
2015-02-04,0
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-13,0
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-02-28,0
2015-03-01,0
2015-03-02,0
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,0
2015-03-08,0
2015-03-09,0
2015-03-10,0
2015-03-11,0
2015-03-12,0
2015-03-13,0
2015-03-14,0
2015-03-15,0
2015-03-16,0
2015-03-17,0
2015-03-18,0
2015-03-19,0
2015-03-20,0
2015-03-21,0
2015-03-22,0
2015-03-23,0
2015-03-24,0
2015-03-25,0
2015-03-26,0
2015-03-27,0
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,0
2015-04-01,0
2015-04-02,0
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,0
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,0
2015-04-28,0
2015-04-29,0
2015-04-30,0
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,0
2015-05-06,0
2015-05-07,0.004336725
2015-05-08,0.003882887
2015-05-09,0.00310326
2015-05-10,0.088531131
2015-05-11,0.012405165
2015-05-12,0.007887546
2015-05-13,0.007629677
2015-05-14,0.009175038
2015-05-15,0.008696586
2015-05-16,0.012420859
2015-05-17,0.016159828
2015-05-18,0.011268601
2015-05-19,0.010680898
2015-05-20,0.017781689
2015-05-21,0.01199407
2015-05-22,0.011368912
2015-05-23,0.026976617
2015-05-24,0.02479077
2015-05-25,0.032210299
2015-05-26,0.033808832
2015-05-27,0.024463907
2015-05-28,0.055991524
2015-05-29,0.031873728
2015-05-30,0.026125096
2015-05-31,0.022314512
2015-06-01,0.01911676
2015-06-02,0.017397032
2015-06-03,0.016155108
2015-06-04,0.016129066
2015-06-05,0.122006499
2015-06-06,0.025241695
2015-06-07,0.020776051
2015-06-08,0.017544948
2015-06-09,0.015584415
2015-06-10,0.012742779
2015-06-11,0.017210446
2015-06-12,0.013146515
2015-06-13,0.011694284
2015-06-14,0.017540675
2015-06-15,0.020336918
2015-06-16,0.015083501
2015-06-17,0.012847361
2015-06-18,0.011338407
2015-06-19,0.009550636
2015-06-20,0.007925161
2015-06-21,0.006749456
2015-06-22,0.005554494
2015-06-23,0.004537363
2015-06-24,0.003802132
2015-06-25,0.003536507
2015-06-26,0.005533256
2015-06-27,0.002667559
2015-06-28,0.002130642
2015-06-29,0.00172138
2015-06-30,0.001391944
2015-07-01,0.001108925
2015-07-02,0.001255884
2015-07-03,0.001023627
2015-07-04,0.000760794
2015-07-05,0.000571864
2015-07-06,0.015762899
2015-07-07,0.00373473
2015-07-08,0.00214515
2015-07-09,0.001546189
2015-07-10,0.001435249
2015-07-11,0.001081426
2015-07-12,0.00081589
2015-07-13,0.000608376
2015-07-14,0.00042109
2015-07-15,0.000382752
2015-07-16,0.000184684
2015-07-17,4.09e-05
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,5.74e-05
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0.001444138
2015-09-11,6.64e-08
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,0
2015-11-11,0
2015-11-12,0
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,0
2015-11-17,0
2015-11-18,0
2015-11-19,0
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,0
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,2.42e-05
2015-12-04,0.000464152
2015-12-05,0.000653219
2015-12-06,0.000570959
2015-12-07,0.000440339
2015-12-08,0.000244529
2015-12-09,0.000142091
2015-12-10,0.000102326
2015-12-11,5.94e-05
2015-12-12,7.01e-06
2015-12-13,0.028040888
2015-12-14,0.015964029
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0.002637331
2015-12-22,0.003910437
2015-12-23,0.004988635
2015-12-24,0.003531345
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,0
2016-01-06,0.001678666
2016-01-07,0.001950739
2016-01-08,0.001924324
2016-01-09,0.000156817
2016-01-10,1.73e-05
2016-01-11,0.000742092
2016-01-12,0.000495028
2016-01-13,0.001049768
2016-01-14,0.001722511
2016-01-15,0.001045551
2016-01-16,0.000483416
2016-01-17,3.56e-06
2016-01-18,0.000209191
2016-01-19,6.56e-05
2016-01-20,0.00028106
2016-01-21,0.000269535
2016-01-22,0.000113919
2016-01-23,0.000248193
2016-01-24,0.00056217
2016-01-25,0.000577984
2016-01-26,0.000462829
2016-01-27,0.000409745
2016-01-28,0.000426787
2016-01-29,0.000455472
2016-01-30,0.000368228
2016-01-31,0.000345012
2016-02-01,0.000275202
2016-02-02,0.000606486
2016-02-03,0.000349122
2016-02-04,0.000174098
2016-02-05,0.000188281
2016-02-06,0.000247993
2016-02-07,0.000454475
2016-02-08,0.000542052
2016-02-09,0.000340556
2016-02-10,0.000335217
2016-02-11,0.000271787
2016-02-12,0.000224448
2016-02-13,0.000105468
2016-02-14,0.000204225
2016-02-15,0.000321926
2016-02-16,0.000253075
2016-02-17,0.000218973
2016-02-18,0.000316338
2016-02-19,0.000204723
2016-02-20,0.000148589
2016-02-21,3.24e-05
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,0
2016-04-22,0
2016-04-23,0
2016-04-24,0.061647084
2016-04-25,0.0294588
2016-04-26,0.417984174
2016-04-27,0.105283437
2016-04-28,0.038791769
2016-04-29,0.03949713
2016-04-30,0.041962211
2016-05-01,0.030489309
2016-05-02,0.026576105
2016-05-03,0.023256895
2016-05-04,0.020368363
2016-05-05,0.018262231
2016-05-06,0.01635059
2016-05-07,0.014735743
2016-05-08,0.014127918
2016-05-09,0.012978327
2016-05-10,0.011217447
2016-05-11,0.010639963
2016-05-12,0.008905051
2016-05-13,0.007990454
2016-05-14,0.006901815
2016-05-15,0.006419029
2016-05-16,0.006935491
2016-05-17,0.0060385
2016-05-18,0.005128178
2016-05-19,0.004569926
2016-05-20,0.00407258
2016-05-21,0.003374181
2016-05-22,0.002847728
2016-05-23,0.00264569
2016-05-24,0.003998234
2016-05-25,0.024781996
2016-05-26,0.120257271
2016-05-27,0.118427064
2016-05-28,0.050729769
2016-05-29,0.035999926
2016-05-30,0.066362261
2016-05-31,0.02505921
2016-06-01,0.021542925
2016-06-02,0.018789532
2016-06-03,0.016555693
2016-06-04,0.014943224
2016-06-05,0.012936409
2016-06-06,0.011266233
2016-06-07,0.009743021
2016-06-08,0.008321641
2016-06-09,0.006803501
2016-06-10,0.005554764
2016-06-11,0.004445918
2016-06-12,0.003616978
2016-06-13,0.003149199
2016-06-14,0.002694197
2016-06-15,0.00210538
2016-06-16,0.00155107
2016-06-17,0.001148853
2016-06-18,0.000936924
2016-06-19,0.0005793
2016-06-20,0.000266999
2016-06-21,6.24e-05
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,0
2016-07-13,0
2016-07-14,0
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,0
2016-07-21,0
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0.001663214
2016-08-08,0.001407184
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,0
2016-08-17,0
2016-08-18,0
2016-08-19,0
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,0
2016-08-31,0
2016-09-01,0
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,0
2016-09-12,0
2016-09-13,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,0.004961895
2016-09-25,0
2016-09-26,0
2016-09-27,0
2016-09-28,0
