"Date","Q"
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,0
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,0
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,0
2015-01-28,0
2015-01-29,0
2015-01-30,0
2015-01-31,0
2015-02-01,0
2015-02-02,0
2015-02-03,0
2015-02-04,0
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-13,0
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-02-28,0
2015-03-01,0
2015-03-02,0
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,0
2015-03-08,0
2015-03-09,0
2015-03-10,0
2015-03-11,0
2015-03-12,0
2015-03-13,0
2015-03-14,0
2015-03-15,0
2015-03-16,0
2015-03-17,0
2015-03-18,0
2015-03-19,0
2015-03-20,0
2015-03-21,0
2015-03-22,0
2015-03-23,0
2015-03-24,0
2015-03-25,0
2015-03-26,0
2015-03-27,0
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,0
2015-04-01,0
2015-04-02,0
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,0
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,0
2015-04-28,0
2015-04-29,0
2015-04-30,0
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,0.004764516
2015-05-06,0.004986252
2015-05-07,0.003352773
2015-05-08,0.002380641
2015-05-09,0.001360481
2015-05-10,0.106089509
2015-05-11,0.02116519
2015-05-12,0.011841103
2015-05-13,0.008106032
2015-05-14,0.009210193
2015-05-15,0.00789077
2015-05-16,0.010079645
2015-05-17,0.019586729
2015-05-18,0.01414031
2015-05-19,0.012253342
2015-05-20,0.02016303
2015-05-21,0.015256882
2015-05-22,0.013680417
2015-05-23,0.03424003
2015-05-24,0.039792593
2015-05-25,0.03921292
2015-05-26,0.049050845
2015-05-27,0.035853796
2015-05-28,0.077962829
2015-05-29,0.053932261
2015-05-30,0.045052205
2015-05-31,0.038440223
2015-06-01,0.033088214
2015-06-02,0.030180036
2015-06-03,0.028902377
2015-06-04,0.027845411
2015-06-05,0.233964189
2015-06-06,0.054269057
2015-06-07,0.043605927
2015-06-08,0.036349571
2015-06-09,0.032749927
2015-06-10,0.026976858
2015-06-11,0.034265648
2015-06-12,0.026310799
2015-06-13,0.023262099
2015-06-14,0.021401042
2015-06-15,0.028665714
2015-06-16,0.023157115
2015-06-17,0.019751911
2015-06-18,0.017676124
2015-06-19,0.015228917
2015-06-20,0.013128815
2015-06-21,0.011378397
2015-06-22,0.009998434
2015-06-23,0.008686374
2015-06-24,0.007513141
2015-06-25,0.007302087
2015-06-26,0.00962162
2015-06-27,0.005938277
2015-06-28,0.005003767
2015-06-29,0.004367891
2015-06-30,0.003884203
2015-07-01,0.003792431
2015-07-02,0.005899334
2015-07-03,0.004943492
2015-07-04,0.004164663
2015-07-05,0.003078858
2015-07-06,0.020577259
2015-07-07,0.011109887
2015-07-08,0.007345543
2015-07-09,0.005829716
2015-07-10,0.005930721
2015-07-11,0.005142427
2015-07-12,0.004432208
2015-07-13,0.003848255
2015-07-14,0.003556147
2015-07-15,0.004583565
2015-07-16,0.004760095
2015-07-17,0.004010026
2015-07-18,0.00356014
2015-07-19,0.004374189
2015-07-20,0.004107845
2015-07-21,0.003814803
2015-07-22,0.003353472
2015-07-23,0.003245416
2015-07-24,0.002663501
2015-07-25,0.002730945
2015-07-26,0.003235004
2015-07-27,0.003841339
2015-07-28,0.003295213
2015-07-29,0.003220846
2015-07-30,0.003179369
2015-07-31,0.001802
2015-08-01,0.000107752
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0.003636943
2015-08-09,0.00153725
2015-08-10,0.000770344
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0.019905781
2015-09-11,0.006770197
2015-09-12,0.001792911
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,0
2015-11-11,0
2015-11-12,0
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,0
2015-11-17,0
2015-11-18,0
2015-11-19,0
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,0
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,0.00011681
2015-11-29,0.002200875
2015-11-30,0.011945407
2015-12-01,0.008155864
2015-12-02,0.005290767
2015-12-03,0.003654163
2015-12-04,0.003158102
2015-12-05,0.002703275
2015-12-06,0.002239001
2015-12-07,0.002012754
2015-12-08,0.001820488
2015-12-09,0.001537634
2015-12-10,0.001311681
2015-12-11,0.001135084
2015-12-12,0.001007602
2015-12-13,0.075111014
2015-12-14,0.034105504
2015-12-15,0.023662971
2015-12-16,0.018960404
2015-12-17,0.016324038
2015-12-18,0.017645346
2015-12-19,0.018267521
2015-12-20,0.017897223
2015-12-21,0.016818367
2015-12-22,0.015957649
2015-12-23,0.014987995
2015-12-24,0.013176611
2015-12-25,0.012365461
2015-12-26,0.012377985
2015-12-27,0.012341409
2015-12-28,0.011782331
2015-12-29,0.010609853
2015-12-30,0.009989705
2015-12-31,0.009394156
2016-01-01,0.008879858
2016-01-02,0.008601472
2016-01-03,0.007974932
2016-01-04,0.007458194
2016-01-05,0.007401738
2016-01-06,0.007530171
2016-01-07,0.008103782
2016-01-08,0.008268834
2016-01-09,0.00732406
2016-01-10,0.006506502
2016-01-11,0.006772748
2016-01-12,0.006496816
2016-01-13,0.006614465
2016-01-14,0.006975665
2016-01-15,0.006589371
2016-01-16,0.005972966
2016-01-17,0.005336649
2016-01-18,0.005230593
2016-01-19,0.005297037
2016-01-20,0.00545213
2016-01-21,0.005329304
2016-01-22,0.004956506
2016-01-23,0.004970659
2016-01-24,0.005159785
2016-01-25,0.005043559
2016-01-26,0.004406308
2016-01-27,0.004269877
2016-01-28,0.004243207
2016-01-29,0.004228231
2016-01-30,0.004075756
2016-01-31,0.00374576
2016-02-01,0.003460223
2016-02-02,0.00575694
2016-02-03,0.005302231
2016-02-04,0.004946816
2016-02-05,0.004972285
2016-02-06,0.005112197
2016-02-07,0.005363132
2016-02-08,0.0052564
2016-02-09,0.004955677
2016-02-10,0.005074454
2016-02-11,0.005008867
2016-02-12,0.004804708
2016-02-13,0.004658472
2016-02-14,0.004828215
2016-02-15,0.004931411
2016-02-16,0.004734132
2016-02-17,0.00439712
2016-02-18,0.004573133
2016-02-19,0.004085864
2016-02-20,0.003830122
2016-02-21,0.003575388
2016-02-22,0.003443719
2016-02-23,0.00337127
2016-02-24,0.003207994
2016-02-25,0.002950325
2016-02-26,0.002778173
2016-02-27,0.002842612
2016-02-28,0.002737679
2016-02-29,0.002527156
2016-03-01,0.002399035
2016-03-02,0.002360968
2016-03-03,0.002264705
2016-03-04,0.002155155
2016-03-05,0.002002859
2016-03-06,0.002066353
2016-03-07,0.002056762
2016-03-08,0.001925349
2016-03-09,0.001823739
2016-03-10,0.001684195
2016-03-11,0.001565044
2016-03-12,0.00169895
2016-03-13,0.001684816
2016-03-14,0.001704758
2016-03-15,0.001781098
2016-03-16,0.001580402
2016-03-17,0.001451518
2016-03-18,0.001473423
2016-03-19,0.001489782
2016-03-20,0.001408932
2016-03-21,0.001451101
2016-03-22,0.001475013
2016-03-23,0.00134641
2016-03-24,0.001422521
2016-03-25,0.001347911
2016-03-26,0.001508798
2016-03-27,0.001345923
2016-03-28,0.001304477
2016-03-29,0.001261809
2016-03-30,0.001246266
2016-03-31,0.001192807
2016-04-01,0.001167826
2016-04-02,0.00108337
2016-04-03,0.000988776
2016-04-04,0.000887569
2016-04-05,0.00092111
2016-04-06,0.000989039
2016-04-07,0.000936494
2016-04-08,0.000916712
2016-04-09,0.000890645
2016-04-10,0.000865796
2016-04-11,0.000739981
2016-04-12,0.000761595
2016-04-13,0.000646099
2016-04-14,0.000465398
2016-04-15,0.000486473
2016-04-16,0.000468675
2016-04-17,0.000637239
2016-04-18,0.001067441
2016-04-19,0.000997653
2016-04-20,0.012674795
2016-04-21,0.011988004
2016-04-22,0.010424172
2016-04-23,0.009947289
2016-04-24,0.087212301
2016-04-25,0.059094384
2016-04-26,0.442524149
2016-04-27,0.190783372
2016-04-28,0.071878065
2016-04-29,0.072711933
2016-04-30,0.081482409
2016-05-01,0.062373671
2016-05-02,0.055152596
2016-05-03,0.049105433
2016-05-04,0.043566991
2016-05-05,0.090129983
2016-05-06,0.0353014
2016-05-07,0.032114177
2016-05-08,0.030515321
2016-05-09,0.028152091
2016-05-10,0.024883459
2016-05-11,0.023759771
2016-05-12,0.020686601
2016-05-13,0.01876111
2016-05-14,0.016901044
2016-05-15,0.015975488
2016-05-16,0.016941569
2016-05-17,0.015567741
2016-05-18,0.013817627
2016-05-19,0.012909406
2016-05-20,0.012265726
2016-05-21,0.011110627
2016-05-22,0.010045906
2016-05-23,0.009659767
2016-05-24,0.012876345
2016-05-25,0.051914573
2016-05-26,0.213140854
2016-05-27,0.213203819
2016-05-28,0.090798594
2016-05-29,0.06524103
2016-05-30,0.104188547
2016-05-31,0.047484827
2016-06-01,0.041598967
2016-06-02,0.036924978
2016-06-03,0.033194253
2016-06-04,0.030403328
2016-06-05,0.026898439
2016-06-06,0.024076224
2016-06-07,0.021548533
2016-06-08,0.01918606
2016-06-09,0.016817443
2016-06-10,0.015074039
2016-06-11,0.013442399
2016-06-12,0.012033319
2016-06-13,0.011169594
2016-06-14,0.01029552
2016-06-15,0.009149166
2016-06-16,0.007720944
2016-06-17,0.006879694
2016-06-18,0.00712875
2016-06-19,0.005796844
2016-06-20,0.004924552
2016-06-21,0.004206392
2016-06-22,0.003544457
2016-06-23,0.003075577
2016-06-24,0.003287865
2016-06-25,0.002939818
2016-06-26,0.002498206
2016-06-27,0.00227571
2016-06-28,0.002648401
2016-06-29,0.002338076
2016-06-30,0.002113677
2016-07-01,0.001917294
2016-07-02,0.003582694
2016-07-03,0.004346122
2016-07-04,0.003369573
2016-07-05,0.002605794
2016-07-06,0.002089406
2016-07-07,0.00205904
2016-07-08,0.00172217
2016-07-09,0.001469037
2016-07-10,0.001183231
2016-07-11,0.00083621
2016-07-12,0.001739841
2016-07-13,0.002223716
2016-07-14,0.002262355
2016-07-15,0.001945296
2016-07-16,0.001486046
2016-07-17,0.000919656
2016-07-18,0.000410459
2016-07-19,0
2016-07-20,0
2016-07-21,0
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,0.000807942
2016-07-26,0
2016-07-27,0
2016-07-28,0.001247703
2016-07-29,0.001971122
2016-07-30,0.000984438
2016-07-31,0
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,2.79e-05
2016-08-08,0
2016-08-09,0.000435486
2016-08-10,0
2016-08-11,0.000214684
2016-08-12,0.001084016
2016-08-13,0.00051229
2016-08-14,0
2016-08-15,0
2016-08-16,0
2016-08-17,0
2016-08-18,0
2016-08-19,0.000822776
2016-08-20,2.59e-05
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,0.000750365
2016-08-26,0.001526499
2016-08-27,0.001981004
2016-08-28,0.001057852
2016-08-29,1.49e-08
2016-08-30,0
2016-08-31,0
2016-09-01,0
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,0
2016-09-12,0
2016-09-13,0
2016-09-14,0.001742242
2016-09-15,0.002053205
2016-09-16,0.001123467
2016-09-17,5.71e-05
2016-09-18,0
2016-09-19,0
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
